# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.5 0.00369854089206841
1024 1 0.00369024697161224
1536 1.5 0.00368249312753773
2048 2 0.00367521865711094
2560 2.5 0.00366845828823768
3072 3 0.00366227280611204
3584 3.5 0.00365713810969339
4096 4 0.00365296490827521
4608 4.5 0.00364979097043182
5120 5 0.00364762398968125
5632 5.5 0.00364643868337926
6144 6 0.00364618346214205
6656 6.5 0.00364678993381962
7168 7 0.00364818282868107
7680 7.5 0.00365028540124357
8192 8 0.00365301401765155
8704 8.5 0.00365626210715506
9216 9 0.00365988804811024
9728 9.5 0.003663728967405
10240 10 0.0036676404511114
10752 10.5 0.00367153381246615
11264 11 0.00367537184320694
11776 11.5 0.00367912478721583
12288 12 0.00368273409090297
12800 12.5 0.00368612311282571
13312 13 0.00368923611526725
13824 13.5 0.00369205532007478
14336 14 0.00369458235182425
14848 14.5 0.00369681258749942
15360 15 0.00369873470871955
15872 15.5 0.00370034886710074
16384 16 0.0037016736811626
16896 16.5 0.00370273269224655
17408 17 0.00370354074453151
17920 17.5 0.00370410808666754
18432 18 0.00370445319689935
18944 18.5 0.00370460518365501
19456 19 0.00370459462604479
19968 19.5 0.00370444773314281
20480 20 0.00370419061262588
20992 20.5 0.00370385451472376
21504 21 0.00370347264894827
22016 21.5 0.00370307071426364
22528 22 0.00370265894251964
23040 22.5 0.00370222968759773
23552 23 0.003701759881705
24064 23.5 0.00370121628339285
24576 24 0.00370056223282957
25088 24.5 0.003699766351246
25600 25 0.00369881283789536
26112 25.5 0.00369770743468096
26624 26 0.00369647028761304
27136 26.5 0.0036951163895679
27648 27 0.00369363889970975
28160 27.5 0.00369201088491475
28672 28 0.00369020331531983
29184 28.5 0.00368820184716978
29696 29 0.00368600918323812
30208 29.5 0.00368363555952452
30720 30 0.00368108818532449
31232 30.5 0.00367836735764903
31744 31 0.00367547074302697
32256 31.5 0.00367240242902824
32768 32 0.00366917942849114
33280 32.5 0.00366582852755317
33792 33 0.00366237446897425
34304 33.5 0.00365883025963941
34816 34 0.00365519988440203
35328 34.5 0.00365149137099336
35840 35 0.00364772702173887
36352 35.5 0.00364394001963361
36864 36 0.00364016005473991
37376 36.5 0.00363640190257219
37888 37 0.00363266837327537
38400 37.5 0.00362896523810325
38912 38 0.00362531283187306
39424 38.5 0.00362174078585591
39936 39 0.00361827135411528
40448 39.5 0.00361490916041716
40960 40 0.00361164893735167
41472 40.5 0.00360849301350016
41984 41 0.00360545858805583
42496 41.5 0.0036025661419257
43008 42 0.00359982268065968
43520 42.5 0.00359722013619786
44032 43 0.00359475100157652
44544 43.5 0.00359242176601994
45056 44 0.00359024727069284
45568 44.5 0.00358823375858303
46080 45 0.00358637306671748
46592 45.5 0.00358465521158728
47104 46 0.00358308204918576
47616 46.5 0.00358166331593178
48128 47 0.00358040099100853
48640 47.5 0.00357928383368436
49152 48 0.00357829922643122
49664 48.5 0.00357744548651179
50176 49 0.00357672794730202
50688 49.5 0.00357614496649196
51200 50 0.00357568333139347
51712 50.5 0.00357532892062327
52224 51 0.00357507784907967
52736 51.5 0.00357493361281434
53248 52 0.00357489507800129
53760 52.5 0.00357495162578116
54272 53 0.00357509097091294
54784 53.5 0.00357530828449485
55296 54 0.00357560498778464
55808 54.5 0.00357598045946555
56320 55 0.00357642844244707
56832 55.5 0.00357694162452341
57344 56 0.00357751619813524
57856 56.5 0.00357814984472886
58368 57 0.00357883756865966
58880 57.5 0.00357957283961262
59392 58 0.0035803524314145
59904 58.5 0.0035811769754482
60416 59 0.0035820458948538
60928 59.5 0.00358295448490444
