# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
38400 37.5 4.7114654552812e-05 4.71146545504333e-05 4.71146545539232e-05
38912 38 3.93034010558398e-05 3.93034010532378e-05 3.93034010532617e-05
39424 38.5 3.9066523790929e-05 3.90665237911288e-05 3.90665237928146e-05
39936 39 3.57018935824074e-05 3.57018935818583e-05 3.57018935792117e-05
40448 39.5 3.70000487691211e-05 3.70000487701875e-05 3.70000487724537e-05
40960 40 4.31155207414659e-05 4.31155207401474e-05 4.31155207418342e-05
41472 40.5 5.05820495534504e-05 5.05820495518034e-05 5.0582049556005e-05
41984 41 4.75386747992793e-05 4.75386747994491e-05 4.75386747989493e-05
42496 41.5 4.19818535632473e-05 4.19818535617428e-05 4.1981853563046e-05
43008 42 5.60173123173067e-05 5.6017312314209e-05 5.60173123177897e-05
43520 42.5 6.13923091445935e-05 6.1392309144297e-05 6.13923091454927e-05
44032 43 6.06584040221345e-05 6.0658404025695e-05 6.06584040264569e-05
44544 43.5 6.04553205593968e-05 6.04553205632036e-05 6.0455320565343e-05
45056 44 6.29402002634586e-05 6.29402002644125e-05 6.29402002646396e-05
45568 44.5 6.3906638982901e-05 6.39066389815519e-05 6.39066389773851e-05
46080 45 5.9905752579286e-05 5.99057525764625e-05 5.99057525723934e-05
46592 45.5 5.36855384273241e-05 5.36855384230121e-05 5.36855384238535e-05
47104 46 5.40568471374191e-05 5.40568471423839e-05 5.40568471396029e-05
47616 46.5 5.59559288398334e-05 5.59559288408739e-05 5.59559288399048e-05
48128 47 5.30845792410255e-05 5.30845792402721e-05 5.30845792386658e-05
48640 47.5 5.30024010278713e-05 5.30024010392229e-05 5.30024010357055e-05
49152 48 4.77265767976518e-05 4.77265768019548e-05 4.77265767950152e-05
49664 48.5 4.48495755668417e-05 4.48495755694862e-05 4.48495755683725e-05
50176 49 5.68131309779103e-05 5.68131309836146e-05 5.68131309786577e-05
50688 49.5 6.88063936801532e-05 6.88063936812068e-05 6.88063936835291e-05
51200 50 7.24246137545182e-05 7.24246137485604e-05 7.24246137569991e-05
51712 50.5 6.70441990399769e-05 6.70441990318923e-05 6.70441990384428e-05
52224 51 5.57869952502034e-05 5.57869952463083e-05 5.57869952454854e-05
52736 51.5 4.51515953272534e-05 4.51515953257323e-05 4.51515953269918e-05
53248 52 4.25443734671626e-05 4.25443734682899e-05 4.25443734671718e-05
53760 52.5 4.13303298302495e-05 4.13303298295109e-05 4.13303298305918e-05
54272 53 3.86173982673789e-05 3.86173982641497e-05 3.86173982666164e-05
54784 53.5 3.62191529991461e-05 3.62191529969247e-05 3.62191530031718e-05
55296 54 4.56607273823365e-05 4.56607273767185e-05 4.56607273820229e-05
55808 54.5 5.50352631803282e-05 5.50352631768372e-05 5.50352631789086e-05
56320 55 5.63288596634954e-05 5.63288596652008e-05 5.63288596637498e-05
56832 55.5 5.09354952713275e-05 5.09354952752053e-05 5.09354952723754e-05
57344 56 4.05233235373679e-05 4.05233235391107e-05 4.05233235364566e-05
57856 56.5 3.76224299873467e-05 3.76224299865051e-05 3.76224299869525e-05
58368 57 3.70090900143036e-05 3.70090900143011e-05 3.70090900141619e-05
58880 57.5 3.37375531174912e-05 3.37375531174531e-05 3.37375531183434e-05
59392 58 2.90396281786315e-05 2.90396281796307e-05 2.9039628177459e-05
59904 58.5 4.22067536467656e-05 4.22067536463582e-05 4.22067536480168e-05
60416 59 5.03183421859224e-05 5.03183421885948e-05 5.03183421873349e-05
60928 59.5 5.00068603340564e-05 5.00068603392465e-05 5.00068603333367e-05
61440 60 4.34691676536692e-05 4.34691676583362e-05 4.34691676508444e-05
61952 60.5 3.49682878560489e-05 3.49682878551614e-05 3.49682878563908e-05
62464 61 3.55972105255479e-05 3.55972105255693e-05 3.55972105250056e-05
62976 61.5 3.28223618768153e-05 3.28223618757663e-05 3.28223618735309e-05
63488 62 2.98246210223632e-05 2.98246210215813e-05 2.98246210194196e-05
64000 62.5 3.88818391834889e-05 3.88818391886055e-05 3.88818391864136e-05
64512 63 4.94845034619259e-05 4.94845034703087e-05 4.94845034672109e-05
65024 63.5 5.07741205670396e-05 5.07741205728704e-05 5.07741205704011e-05
65536 64 4.25057396456567e-05 4.2505739646103e-05 4.2505739642665e-05
66048 64.5 3.222508801583e-05 3.22250880174636e-05 3.22250880165907e-05
66560 65 3.40787452322303e-05 3.40787452329346e-05 3.40787452329195e-05
67072 65.5 3.37014878181783e-05 3.37014878192314e-05 3.37014878170779e-05
67584 66 3.29726574281811e-05 3.2972657424845e-05 3.29726574275549e-05
68096 66.5 3.96749357357488e-05 3.96749357352911e-05 3.96749357371344e-05
68608 67 4.65912364910486e-05 4.65912364924278e-05 4.6591236494733e-05
69120 67.5 4.96839472157696e-05 4.96839472174224e-05 4.96839472186105e-05
69632 68 4.51893672879343e-05 4.51893672902922e-05 4.51893672873031e-05
70144 68.5 3.5030112997155e-05 3.50301130017422e-05 3.50301129961609e-05
70656 69 3.02522180647897e-05 3.02522180641497e-05 3.02522180654193e-05
71168 69.5 3.16660758649635e-05 3.16660758631859e-05 3.16660758576618e-05
71680 70 3.1004260162411e-05 3.10042601595144e-05 3.10042601634327e-05
72192 70.5 3.81290094123831e-05 3.81290094082319e-05 3.81290094081256e-05
72704 71 4.26371517747012e-05 4.26371517722839e-05 4.26371517700565e-05
73216 71.5 4.31562558149451e-05 4.31562558148832e-05 4.31562558131205e-05
73728 72 4.04020073530879e-05 4.04020073543035e-05 4.04020073536706e-05
74240 72.5 3.6848058234936e-05 3.6848058236604e-05 3.68480582377177e-05
74752 73 3.58151916345051e-05 3.58151916372021e-05 3.58151916385783e-05
75264 73.5 3.84411055663141e-05 3.84411055698208e-05 3.84411055687393e-05
75776 74 4.18317242207891e-05 4.18317242225332e-05 4.18317242187949e-05
76288 74.5 4.19694700223777e-05 4.19694700203934e-05 4.19694700179309e-05
76800 75 3.81832660016606e-05 3.81832659993629e-05 3.81832660000159e-05
77312 75.5 3.31976201759317e-05 3.31976201760775e-05 3.31976201772717e-05
77824 76 2.96125906433798e-05 2.96125906436269e-05 2.96125906459761e-05
78336 76.5 2.80618741743819e-05 2.80618741761127e-05 2.80618741755358e-05
78848 77 2.80093660602959e-05 2.80093660599593e-05 2.80093660606567e-05
79360 77.5 2.90133026052415e-05 2.90133026047082e-05 2.90133026114338e-05
79872 78 3.52551730717484e-05 3.52551730727511e-05 3.52551730735994e-05
80384 78.5 4.06892774125647e-05 4.06892774139977e-05 4.06892774075567e-05
80896 79 4.07541956948177e-05 4.07541956968311e-05 4.07541956888113e-05
81408 79.5 3.61678518840578e-05 3.61678518860605e-05 3.61678518815181e-05
81920 80 3.26603249961983e-05 3.26603249961955e-05 3.26603249954988e-05
82432 80.5 3.43832712424466e-05 3.4383271240138e-05 3.43832712429008e-05
82944 81 3.92928988131383e-05 3.92928988109062e-05 3.92928988175619e-05
83456 81.5 4.21788906401723e-05 4.21788906398405e-05 4.21788906466224e-05
83968 82 4.09467934867824e-05 4.09467934877374e-05 4.0946793488151e-05
84480 82.5 3.82059214968374e-05 3.82059214982127e-05 3.8205921492193e-05
84992 83 3.71613509668435e-05 3.71613509675031e-05 3.71613509627271e-05
85504 83.5 3.79232001217563e-05 3.7923200122541e-05 3.79232001223998e-05
86016 84 3.84709489534061e-05 3.84709489558867e-05 3.84709489553145e-05
86528 84.5 3.77282901546887e-05 3.77282901561915e-05 3.77282901542506e-05
87040 85 3.63578786072671e-05 3.63578786037644e-05 3.63578786058915e-05
87552 85.5 3.52400979467062e-05 3.52400979410075e-05 3.52400979478467e-05
88064 86 3.46115063578007e-05 3.4611506357097e-05 3.46115063609054e-05
88576 86.5 3.46641734885694e-05 3.46641734930366e-05 3.46641734887152e-05
89088 87 3.58152158208018e-05 3.58152158223761e-05 3.58152158159798e-05
89600 87.5 3.79916641406123e-05 3.79916641380212e-05 3.79916641370007e-05
90112 88 4.02928271003816e-05 4.02928271009838e-05 4.02928271036673e-05
90624 88.5 4.16827681959934e-05 4.16827682011195e-05 4.16827682034517e-05
91136 89 4.17157470569082e-05 4.17157470579968e-05 4.17157470597631e-05
91648 89.5 4.05872717414015e-05 4.05872717356771e-05 4.05872717359156e-05
92160 90 3.89203523098372e-05 3.89203523051173e-05 3.89203523019023e-05
92672 90.5 3.75679889833011e-05 3.75679889846611e-05 3.75679889812963e-05
93184 91 3.71837014898858e-05 3.71837014928136e-05 3.71837014933387e-05
93696 91.5 3.7719808480723e-05 3.77198084814437e-05 3.77198084831545e-05
94208 92 3.84311977870478e-05 3.84311977884399e-05 3.84311977880766e-05
94720 92.5 3.84772284584503e-05 3.84772284615312e-05 3.84772284623313e-05
95232 93 3.76553047318807e-05 3.76553047309509e-05 3.76553047365632e-05
95744 93.5 3.67635688627312e-05 3.67635688543624e-05 3.67635688596405e-05
96256 94 3.71221495742698e-05 3.71221495662458e-05 3.7122149563351e-05
96768 94.5 3.92063861136608e-05 3.92063861150218e-05 3.92063861053108e-05
97280 95 4.16467381194157e-05 4.16467381283025e-05 4.1646738121246e-05
97792 95.5 4.22405315227384e-05 4.22405315288992e-05 4.22405315301972e-05
98304 96 4.03472300036517e-05 4.03472300031642e-05 4.03472300082085e-05
98816 96.5 3.77528510729539e-05 3.77528510714284e-05 3.77528510730103e-05
99328 97 3.6686821286468e-05 3.66868212886762e-05 3.66868212855209e-05
99840 97.5 3.74865672714808e-05 3.74865672723922e-05 3.74865672698103e-05
100352 98 3.87833887185229e-05 3.87833887127681e-05 3.87833887152028e-05
100864 98.5 3.94585443568777e-05 3.9458544349926e-05 3.94585443539737e-05
101376 99 3.9558138924215e-05 3.95581389254664e-05 3.95581389252025e-05
101888 99.5 3.95193200554244e-05 3.9519320062477e-05 3.95193200595717e-05
102400 100 3.94422339743908e-05 3.94422339793157e-05 3.94422339780638e-05
102912 100.5 3.93098947306948e-05 3.93098947313779e-05 3.93098947326613e-05
103424 101 3.9256053558451e-05 3.92560535549025e-05 3.92560535574564e-05
103936 101.5 3.92626399943681e-05 3.92626399866972e-05 3.92626399890514e-05
104448 102 3.89383946234382e-05 3.89383946169013e-05 3.89383946168049e-05
104960 102.5 3.79431125275979e-05 3.79431125282058e-05 3.79431125251309e-05
105472 103 3.65760403495798e-05 3.65760403553191e-05 3.65760403535413e-05
105984 103.5 3.70491690837592e-05 3.70491690869444e-05 3.70491690857734e-05
106496 104 3.71522397722924e-05 3.71522397795183e-05 3.71522397759085e-05
107008 104.5 3.81514186404081e-05 3.81514186401148e-05 3.81514186417414e-05
107520 105 4.04741325043855e-05 4.04741325026867e-05 4.04741325032061e-05
108032 105.5 4.21373868306028e-05 4.21373868259899e-05 4.21373868251896e-05
108544 106 4.25687746751961e-05 4.2568774668783e-05 4.25687746666259e-05
109056 106.5 4.20124859645692e-05 4.20124859627127e-05 4.20124859600003e-05
109568 107 4.11559951318127e-05 4.11559951387842e-05 4.11559951359201e-05
110080 107.5 4.03902166001314e-05 4.03902166100847e-05 4.03902166087857e-05
110592 108 3.94247633638071e-05 3.94247633664514e-05 3.94247633709464e-05
111104 108.5 3.78784349384443e-05 3.78784349332268e-05 3.7878434942279e-05
111616 109 3.63304437032456e-05 3.63304436981865e-05 3.63304437028457e-05
112128 109.5 3.66765193445867e-05 3.66765193482296e-05 3.66765193454849e-05
112640 110 3.87553711782677e-05 3.8755371176759e-05 3.87553711672987e-05
113152 110.5 4.23677889358722e-05 4.23677889343375e-05 4.23677889299414e-05
113664 111 4.44355281447091e-05 4.44355281469651e-05 4.44355281494746e-05
114176 111.5 4.33374214720078e-05 4.33374214769252e-05 4.33374214804359e-05
114688 112 4.01361191162806e-05 4.01361191188416e-05 4.01361191193356e-05
115200 112.5 3.94474910996566e-05 3.94474910986902e-05 3.94474911000772e-05
115712 113 4.04722940861614e-05 4.04722940877031e-05 4.04722940881473e-05
116224 113.5 4.12011877117274e-05 4.12011877104852e-05 4.12011877133157e-05
116736 114 4.08518436732463e-05 4.08518436692048e-05 4.08518436701182e-05
117248 114.5 4.16207981303994e-05 4.16207981291944e-05 4.16207981324565e-05
117760 115 4.28368478613455e-05 4.28368478613338e-05 4.28368478668027e-05
118272 115.5 4.23161895422574e-05 4.23161895442973e-05 4.23161895457745e-05
118784 116 3.99424016660421e-05 3.99424016706018e-05 3.9942401664028e-05
119296 116.5 4.01250389938003e-05 4.01250389926734e-05 4.01250389946589e-05
119808 117 4.07014001818396e-05 4.0701400179903e-05 4.07014001800281e-05
120320 117.5 4.06055789674694e-05 4.06055789690486e-05 4.06055789651469e-05
120832 118 4.03681380879956e-05 4.03681380876548e-05 4.03681380900097e-05
121344 118.5 4.20512271773985e-05 4.20512271763654e-05 4.20512271826418e-05
121856 119 4.20185039374355e-05 4.20185039354577e-05 4.20185039436615e-05
122368 119.5 4.1016953570608e-05 4.10169535707004e-05 4.10169535735835e-05
122880 120 4.01267317251084e-05 4.01267317236127e-05 4.01267317214924e-05
123392 120.5 4.02088630997394e-05 4.02088630973773e-05 4.02088630973056e-05
123904 121 3.9662393175408e-05 3.96623931751871e-05 3.96623931790156e-05
124416 121.5 3.89856815383511e-05 3.89856815414624e-05 3.89856815409225e-05
124928 122 3.94260024003304e-05 3.94260024009469e-05 3.94260024008248e-05
