# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235231730899377
512 0.5 0.0235231730909798
1024 1 0.0235231730950024
1536 1.5 0.0235231731026574
2048 2 0.0235231731148031
2560 2.5 0.0235231731316847
3072 3 0.0235231731541771
3584 3.5 0.0235231731834002
4096 4 0.0235231732178363
4608 4.5 0.0235231732570488
5120 5 0.0235231733017994
5632 5.5 0.0235231733526077
6144 6 0.0235231734094627
6656 6.5 0.0235231734754021
7168 7 0.0235231735475476
7680 7.5 0.0235231736267229
8192 8 0.0235231737103964
8704 8.5 0.0235231738005896
9216 9 0.0235231738934332
9728 9.5 0.0235231739893687
10240 10 0.0235231740892182
10752 10.5 0.0235231741932694
11264 11 0.0235231743055181
11776 11.5 0.0235231744266522
12288 12 0.0235231745513839
12800 12.5 0.0235231746770284
13312 13 0.0235231748055986
13824 13.5 0.0235231749387934
14336 14 0.023523175076584
14848 14.5 0.0235231752231641
15360 15 0.0235231753779703
15872 15.5 0.0235231755369688
16384 16 0.0235231756979018
16896 16.5 0.0235231758623863
17408 17 0.0235231760269183
17920 17.5 0.023523176196528
18432 18 0.0235231763725402
18944 18.5 0.0235231765570248
19456 19 0.023523176751624
19968 19.5 0.0235231769554738
20480 20 0.0235231771654106
20992 20.5 0.0235231773755331
21504 21 0.0235231775894315
22016 21.5 0.0235231778076698
22528 22 0.0235231780241762
23040 22.5 0.0235231782438569
23552 23 0.0235231784647485
24064 23.5 0.0235231786881666
24576 24 0.0235231789176267
25088 24.5 0.023523179154918
25600 25 0.0235231794002764
26112 25.5 0.0235231796504829
26624 26 0.0235231799027562
27136 26.5 0.0235231801586136
27648 27 0.0235231804164137
28160 27.5 0.0235231806774382
28672 28 0.0235231809408769
29184 28.5 0.0235231812072028
29696 29 0.0235231814749007
30208 29.5 0.0235231817442803
30720 30 0.0235231820187137
31232 30.5 0.0235231822979666
31744 31 0.0235231825804083
32256 31.5 0.0235231828642953
32768 32 0.0235231831517042
33280 32.5 0.0235231834402866
33792 33 0.0235231837318868
34304 33.5 0.0235231840233137
34816 34 0.0235231843155436
35328 34.5 0.0235231846066307
35840 35 0.0235231848958753
36352 35.5 0.0235231851829725
36864 36 0.0235231854693089
37376 36.5 0.0235231857539985
37888 37 0.023523186040075
38400 37.5 0.0235231863293938
38912 38 0.0235231866232546
39424 38.5 0.0235231869187566
39936 39 0.0235231872161129
40448 39.5 0.023523187516534
40960 40 0.0235231878204847
41472 40.5 0.0235231881280767
41984 41 0.0235231884364497
42496 41.5 0.023523188745008
43008 42 0.0235231890507894
43520 42.5 0.0235231893574345
44032 43 0.0235231896611016
44544 43.5 0.0235231899592043
45056 44 0.0235231902530246
45568 44.5 0.0235231905407609
46080 45 0.0235231908267474
46592 45.5 0.0235231911128096
47104 46 0.02352319139792
47616 46.5 0.0235231916845845
48128 47 0.0235231919744096
48640 47.5 0.0235231922655542
49152 48 0.0235231925626605
49664 48.5 0.0235231928622576
50176 49 0.0235231931637749
50688 49.5 0.0235231934635687
51200 50 0.0235231937618479
51712 50.5 0.0235231940627667
52224 51 0.0235231943634332
52736 51.5 0.023523194666607
53248 52 0.0235231949702656
53760 52.5 0.0235231952735551
54272 53 0.0235231955718903
54784 53.5 0.0235231958642467
55296 54 0.023523196152409
55808 54.5 0.0235231964402023
