# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.5 0.00369535157592574
1024 1 0.00368053326602856
1536 1.5 0.00366313931426408
2048 2 0.00364345545234452
2560 2.5 0.00362213642944027
3072 3 0.00359983011600096
3584 3.5 0.00357709349305294
4096 4 0.00355436593268625
4608 4.5 0.00353197417313942
5120 5 0.00351008449126756
5632 5.5 0.00348869727847496
6144 6 0.00346768199053719
6656 6.5 0.0034468075191762
7168 7 0.00342576987726929
7680 7.5 0.00340422124436564
8192 8 0.0033817959547488
8704 8.5 0.00335812212818923
9216 9 0.00333283253638197
9728 9.5 0.00330561403104847
10240 10 0.00327624945541187
10752 10.5 0.00324465625975396
11264 11 0.00321082741650607
11776 11.5 0.00317476970895002
12288 12 0.00313648007774047
12800 12.5 0.00309593191318685
13312 13 0.00305317483907139
13824 13.5 0.00300838155164411
14336 14 0.00296176013683651
14848 14.5 0.00291352573501923
15360 15 0.00286389151079373
15872 15.5 0.00281307728887624
16384 16 0.00276131673234511
16896 16.5 0.00270884834133165
17408 17 0.0026558640796834
17920 17.5 0.00260257288431736
18432 18 0.00254920287633519
18944 18.5 0.00249597537749542
19456 19 0.00244309393541387
19968 19.5 0.00239073762692956
20480 20 0.00233906295728259
20992 20.5 0.00228820628674779
21504 21 0.00223828083824777
22016 21.5 0.00218937234938013
22528 22 0.00214153847354252
23040 22.5 0.00209481144131121
23552 23 0.00204920207130392
24064 23.5 0.00200470491429137
24576 24 0.00196130419712561
25088 24.5 0.00191897956724559
25600 25 0.00187770961491669
26112 25.5 0.00183747159323708
26624 26 0.00179823711474037
27136 26.5 0.00175996751159927
27648 27 0.00172261487750412
28160 27.5 0.00168612979587496
28672 28 0.00165046929600217
29184 28.5 0.00161559895871049
29696 29 0.00158149024516681
30208 29.5 0.00154811764610423
30720 30 0.00151545764841971
31232 30.5 0.00148348945433562
31744 31 0.00145219747809807
32256 31.5 0.00142157352751944
32768 32 0.00139161505588161
33280 32.5 0.00136231993753418
33792 33 0.00133368385382655
34304 33.5 0.0013057021279902
34816 34 0.0012783713030627
35328 34.5 0.00125168597045655
35840 35 0.00122563030309897
36352 35.5 0.00120020748353532
36864 36 0.00117541816362433
37376 36.5 0.00115125995819251
37888 37 0.00112773037169924
38400 37.5 0.00110482868525692
38912 38 0.00108255444112556
39424 38.5 0.00106090300073417
39936 39 0.00103986360151914
40448 39.5 0.0010194234700688
40960 40 0.000999572838980725
41472 40.5 0.000980306306958461
41984 41 0.000961616097226437
42496 41.5 0.000943488789697725
43008 42 0.000925908930181873
43520 42.5 0.00090886413131563
44032 43 0.000892344769986282
44544 43.5 0.000876338640407661
45056 44 0.000860827947152051
45568 44.5 0.000845792836542081
46080 45 0.000831216215414278
46592 45.5 0.000817083391747646
47104 46 0.000803378074250937
47616 46.5 0.000790080984168673
48128 47 0.000777172813397676
48640 47.5 0.000764637269445211
49152 48 0.000752460535969422
49664 48.5 0.000740628590544106
50176 49 0.000729126457976204
50688 49.5 0.000717940348750602
51200 50 0.000707059588871284
51712 50.5 0.000696475902713258
52224 51 0.000686181439270688
52736 51.5 0.000676167511054824
53248 52 0.00066642560659998
53760 52.5 0.000656949601157374
54272 53 0.000647734631912951
54784 53.5 0.00063877080613271
55296 54 0.000630028211007926
55808 54.5 0.000621505047265382
56320 55 0.000613208777168262
56832 55.5 0.000605146589197303
57344 56 0.000597324181283949
57856 56.5 0.000589750409023593
58368 57 0.000582433759605057
58880 57.5 0.000575379952989984
59392 58 0.000568589707017397
59904 58.5 0.00056205888112277
60416 59 0.000555780474919902
60928 59.5 0.000549746228875367
61440 60 0.000543945753976377
61952 60.5 0.000538365662755808
62464 61 0.000532990850766748
62976 61.5 0.000527806322142949
63488 62 0.000522797269600257
64000 62.5 0.000517950060394481
64512 63 0.000513253129311398
65024 63.5 0.000508695625919144
65536 64 0.00050426709951912
66048 64.5 0.000499955895432523
66560 65 0.000495749254114782
67072 65.5 0.000491627650570399
67584 66 0.000487562727422618
68096 66.5 0.000483547419978176
68608 67 0.000479577455595175
69120 67.5 0.000475649243562717
69632 68 0.000471761028610468
70144 68.5 0.000467913220221371
70656 69 0.000464107971484831
71168 69.5 0.000460348340230987
71680 70 0.000456638414648567
72192 70.5 0.000452983017508292
72704 71 0.000449386075653415
73216 71.5 0.00044584795009007
73728 72 0.000442367590053571
74240 72.5 0.000438945592143159
74752 73 0.000435583675710457
75264 73.5 0.00043228296490467
75776 74 0.000429043541391972
76288 74.5 0.000425865510651546
76800 75 0.000422749813853542
77312 75.5 0.00041969798107124
77824 76 0.000416711662948948
78336 76.5 0.000413792476529806
78848 77 0.000410941823091875
79360 77.5 0.000408160760099493
79872 78 0.000405450396435053
80384 78.5 0.000402812641920989
80896 79 0.000400250151906355
81408 79.5 0.000397765010163922
81920 80 0.000395358266044656
82432 80.5 0.000393030897090769
82944 81 0.00039078463348004
83456 81.5 0.00038861891036227
83968 82 0.000386526266062029
84480 82.5 0.000384499559408049
84992 83 0.000382526352767023
85504 83.5 0.000380636489562817
86016 84 0.000378844961736147
86528 84.5 0.000377164134210658
87040 85 0.000375603880981606
87552 85.5 0.000374167839752123
88064 86 0.000372842549405423
88576 86.5 0.000371625680240324
89088 87 0.000370516145822135
89600 87.5 0.00036951154571443
90112 88 0.000368608536371747
90624 88.5 0.000367802978424293
91136 89 0.000367075441656578
91648 89.5 0.000366398285265109
92160 90 0.000365767931272941
92672 90.5 0.000365207130771717
93184 91 0.000364736331143592
93696 91.5 0.000364342839367246
94208 92 0.000364014050001973
94720 92.5 0.000363738159655969
95232 93 0.000363504260107469
95744 93.5 0.000363303606913009
96256 94 0.000363131249315119
96768 94.5 0.000362984444513931
97280 95 0.00036286086617011
97792 95.5 0.000362758878497104
98304 96 0.000362677559539429
98816 96.5 0.000362616282016153
99328 97 0.000362574474250402
99840 97.5 0.000362551857750961
100352 98 0.000362515356881051
100864 98.5 0.000362426587939173
101376 99 0.000362289697099969
101888 99.5 0.000362141404679191
102400 100 0.000362007994685303
102912 100.5 0.000361891645220718
103424 101 0.000361793977712566
103936 101.5 0.000361716545684778
104448 102 0.000361661071897351
104960 102.5 0.000361629562448736
105472 103 0.000361624223690408
105984 103.5 0.000361647428360866
106496 104 0.000361701671478534
107008 104.5 0.000361789369623733
107520 105 0.000361912709084267
108032 105.5 0.000362073783192636
108544 106 0.00036227481139139
109056 106.5 0.000362518082957488
109568 107 0.000362805677001728
110080 107.5 0.00036313930201178
110592 108 0.000363520418469495
111104 108.5 0.000363950452920171
111616 109 0.00036443079523375
112128 109.5 0.00036496255627619
112640 110 0.000365546423240688
113152 110.5 0.000366182807612328
113664 111 0.000366871996221925
114176 111.5 0.000367614094965689
114688 112 0.00036840892400994
115200 112.5 0.00036925607303309
115712 113 0.000370155047714403
116224 113.5 0.000371105285013093
116736 114 0.000372106055990102
117248 114.5 0.000373156440926056
117760 115 0.000374255426675074
118272 115.5 0.000375401975099988
118784 116 0.000376595044153763
119296 116.5 0.00037783358184345
119808 117 0.000379116472537426
120320 117.5 0.000380442565302132
120832 118 0.00038181079140477
121344 118.5 0.000383220235246875
121856 119 0.000384670082324519
122368 119.5 0.000386159570341461
122880 120 0.000387688066169625
123392 120.5 0.000389255150246229
123904 121 0.000390860561861938
124416 121.5 0.000392504125573739
124928 122 0.000394185770761683
125440 122.5 0.000395905610918448
125952 123 0.000397663956285777
126464 123.5 0.000399461249503661
126976 124 0.000401298029624352
127488 124.5 0.000403174950256295
128000 125 0.000405092753877931
128512 125.5 0.000407052189823346
129024 126 0.00040905401942263
129536 126.5 0.000411099145019181
130048 127 0.000413188647080752
130560 127.5 0.000415323581674437
131072 128 0.000417504772008633
