# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.46804636221205e-06 2.46804636221205e-06 2.46804636221205e-06
1024 1 4.79555848242655e-06 4.79555848242653e-06 4.79555848242652e-06
1536 1.5 7.0333221278476e-06 7.03332212784759e-06 7.0333221278476e-06
2048 2 8.92458488045857e-06 8.92458488045855e-06 8.9245848804585e-06
2560 2.5 1.05517415502225e-05 1.05517415502226e-05 1.05517415502224e-05
3072 3 1.19910629574623e-05 1.19910629574623e-05 1.19910629574621e-05
3584 3.5 1.31163663393689e-05 1.31163663393689e-05 1.31163663393688e-05
4096 4 1.39636724634252e-05 1.3963672463425e-05 1.39636724634252e-05
4608 4.5 1.4576124794771e-05 1.45761247947709e-05 1.45761247947712e-05
5120 5 1.4933078339222e-05 1.49330783392218e-05 1.49330783392219e-05
5632 5.5 1.50506788805896e-05 1.50506788805893e-05 1.50506788805894e-05
6144 6 1.4958574252357e-05 1.49585742523565e-05 1.49585742523569e-05
6656 6.5 1.46884142652337e-05 1.46884142652334e-05 1.46884142652345e-05
7168 7 1.42843173754532e-05 1.42843173754532e-05 1.42843173754536e-05
7680 7.5 1.38234676205031e-05 1.38234676205028e-05 1.38234676205032e-05
8192 8 1.33848085685326e-05 1.33848085685322e-05 1.33848085685313e-05
8704 8.5 1.30273808287784e-05 1.30273808287781e-05 1.30273808287767e-05
9216 9 1.2775332021533e-05 1.27753320215327e-05 1.27753320215316e-05
9728 9.5 1.26328624396273e-05 1.26328624396282e-05 1.26328624396267e-05
10240 10 1.25875964599749e-05 1.25875964599772e-05 1.25875964599756e-05
10752 10.5 1.26173365476578e-05 1.26173365476613e-05 1.26173365476577e-05
11264 11 1.27117797081647e-05 1.2711779708167e-05 1.27117797081634e-05
11776 11.5 1.28611324448296e-05 1.28611324448292e-05 1.28611324448305e-05
12288 12 1.30196526597075e-05 1.30196526597078e-05 1.30196526597103e-05
12800 12.5 1.31518370349441e-05 1.31518370349432e-05 1.3151837034943e-05
13312 13 1.3282817591161e-05 1.32828175911585e-05 1.32828175911576e-05
13824 13.5 1.34216541323931e-05 1.34216541323912e-05 1.34216541323914e-05
14336 14 1.35520546553849e-05 1.35520546553843e-05 1.35520546553877e-05
14848 14.5 1.36742189949744e-05 1.36742189949764e-05 1.36742189949776e-05
15360 15 1.37891575774818e-05 1.37891575774879e-05 1.37891575774849e-05
15872 15.5 1.38857581924292e-05 1.38857581924361e-05 1.38857581924313e-05
16384 16 1.39542961756659e-05 1.39542961756688e-05 1.39542961756681e-05
16896 16.5 1.39915515017526e-05 1.39915515017506e-05 1.39915515017526e-05
17408 17 1.39944364456329e-05 1.39944364456276e-05 1.39944364456294e-05
17920 17.5 1.39675973566646e-05 1.39675973566616e-05 1.39675973566636e-05
18432 18 1.39053122429113e-05 1.39053122429078e-05 1.39053122429085e-05
18944 18.5 1.3808975385954e-05 1.38089753859552e-05 1.3808975385947e-05
19456 19 1.37157216528683e-05 1.37157216528775e-05 1.37157216528672e-05
19968 19.5 1.36367961932428e-05 1.36367961932496e-05 1.36367961932424e-05
20480 20 1.35521540064487e-05 1.35521540064477e-05 1.35521540064435e-05
20992 20.5 1.34629325278542e-05 1.34629325278522e-05 1.346293252785e-05
21504 21 1.33812330384612e-05 1.33812330384634e-05 1.33812330384636e-05
22016 21.5 1.33256208799773e-05 1.33256208799799e-05 1.33256208799821e-05
22528 22 1.32980399982127e-05 1.32980399982126e-05 1.32980399982168e-05
23040 22.5 1.32697264944925e-05 1.32697264944911e-05 1.32697264944953e-05
23552 23 1.32281457493654e-05 1.3228145749366e-05 1.32281457493618e-05
24064 23.5 1.31928436501301e-05 1.31928436501275e-05 1.31928436501199e-05
24576 24 1.31969260879625e-05 1.31969260879619e-05 1.31969260879542e-05
25088 24.5 1.32777052035861e-05 1.32777052035931e-05 1.32777052035879e-05
25600 25 1.34567629080753e-05 1.34567629080778e-05 1.34567629080797e-05
26112 25.5 1.37126084719697e-05 1.3712608471964e-05 1.37126084719719e-05
26624 26 1.40194391488865e-05 1.40194391488853e-05 1.40194391488879e-05
27136 26.5 1.43693489786837e-05 1.43693489786938e-05 1.43693489786822e-05
27648 27 1.47245794158757e-05 1.47245794158843e-05 1.47245794158707e-05
28160 27.5 1.50476821994726e-05 1.50476821994749e-05 1.50476821994771e-05
28672 28 1.53342564524981e-05 1.53342564525005e-05 1.53342564525111e-05
29184 28.5 1.55830072309833e-05 1.55830072309842e-05 1.55830072309883e-05
29696 29 1.57773208775087e-05 1.57773208775069e-05 1.57773208775004e-05
30208 29.5 1.58893757866281e-05 1.58893757866273e-05 1.58893757866201e-05
30720 30 1.58940536950971e-05 1.58940536950962e-05 1.58940536950912e-05
31232 30.5 1.57903136942811e-05 1.57903136942759e-05 1.5790313694277e-05
31744 31 1.55963217797507e-05 1.55963217797435e-05 1.559632177975e-05
32256 31.5 1.53407608159737e-05 1.53407608159672e-05 1.53407608159737e-05
32768 32 1.50632691963385e-05 1.5063269196338e-05 1.50632691963365e-05
33280 32.5 1.47910648496642e-05 1.47910648496666e-05 1.47910648496599e-05
33792 33 1.45298057861662e-05 1.45298057861707e-05 1.45298057861639e-05
34304 33.5 1.42741987944595e-05 1.4274198794466e-05 1.42741987944609e-05
34816 34 1.40075343507638e-05 1.40075343507692e-05 1.40075343507655e-05
35328 34.5 1.37146119237805e-05 1.37146119237878e-05 1.37146119237839e-05
35840 35 1.33869425791665e-05 1.33869425791721e-05 1.33869425791718e-05
36352 35.5 1.30164935264757e-05 1.30164935264737e-05 1.30164935264764e-05
36864 36 1.26063050796391e-05 1.2606305079636e-05 1.26063050796286e-05
37376 36.5 1.21790919865888e-05 1.21790919865864e-05 1.21790919865752e-05
37888 37 1.17619074945384e-05 1.17619074945357e-05 1.17619074945347e-05
38400 37.5 1.13555913306512e-05 1.13555913306536e-05 1.13555913306563e-05
38912 38 1.09459995158967e-05 1.09459995159026e-05 1.09459995159e-05
39424 38.5 1.05468556585542e-05 1.05468556585544e-05 1.05468556585546e-05
39936 39 1.01995011736545e-05 1.01995011736499e-05 1.01995011736568e-05
40448 39.5 9.93304113681773e-06 9.93304113681441e-06 9.93304113681899e-06
40960 40 9.74472382117346e-06 9.74472382117404e-06 9.74472382116858e-06
41472 40.5 9.6156741797263e-06 9.61567417972878e-06 9.61567417970991e-06
41984 41 9.54251988812277e-06 9.54251988812354e-06 9.54251988810557e-06
42496 41.5 9.54014510135441e-06 9.54014510135885e-06 9.54014510135068e-06
43008 42 9.61119712833997e-06 9.61119712835084e-06 9.61119712835202e-06
43520 42.5 9.71744418069545e-06 9.71744418071009e-06 9.71744418071054e-06
44032 43 9.81638417384319e-06 9.81638417385215e-06 9.81638417384836e-06
44544 43.5 9.90588778383615e-06 9.90588778383027e-06 9.9058877838286e-06
45056 44 9.9844652905274e-06 9.98446529051082e-06 9.98446529051819e-06
45568 44.5 1.00408411406418e-05 1.00408411406325e-05 1.00408411406369e-05
46080 45 1.00568968655673e-05 1.00568968655717e-05 1.0056896865562e-05
46592 45.5 1.002322686146e-05 1.00232268614684e-05 1.00232268614608e-05
47104 46 9.95992601133302e-06 9.95992601133107e-06 9.95992601133784e-06
47616 46.5 9.89688970230548e-06 9.89688970229794e-06 9.89688970230557e-06
48128 47 9.83851558023459e-06 9.83851558023381e-06 9.83851558023104e-06
48640 47.5 9.76841315943382e-06 9.76841315943682e-06 9.76841315942773e-06
49152 48 9.7009270664551e-06 9.70092706645901e-06 9.70092706645227e-06
49664 48.5 9.64995367660979e-06 9.64995367661631e-06 9.64995367661162e-06
50176 49 9.61810410589331e-06 9.61810410589387e-06 9.61810410589261e-06
50688 49.5 9.62767283565818e-06 9.62767283564698e-06 9.62767283565438e-06
51200 50 9.68552309811349e-06 9.68552309810732e-06 9.68552309811255e-06
51712 50.5 9.78260793338262e-06 9.78260793338795e-06 9.78260793338583e-06
52224 51 9.89889414498184e-06 9.89889414499214e-06 9.8988941449867e-06
52736 51.5 9.99962097971791e-06 9.9996209797264e-06 9.99962097971875e-06
