# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 7.0188482212248e-05 7.01884822122416e-05 7.01884822122351e-05
1024 1 0.000138480924226484 0.000138480924226488 0.000138480924226488
1536 1.5 0.000203552132693072 0.000203552132693078 0.00020355213269308
2048 2 0.000262587357416633 0.000262587357416623 0.000262587357416623
2560 2.5 0.000311452015615813 0.000311452015615789 0.000311452015615718
3072 3 0.000344710135528467 0.000344710135528455 0.000344710135528473
3584 3.5 0.000364776002511835 0.000364776002511835 0.000364776002511782
4096 4 0.000381214179626083 0.000381214179626077 0.000381214179626021
4608 4.5 0.000382203909027911 0.000382203909028015 0.000382203909028017
5120 5 0.000372769316844798 0.000372769316844647 0.000372769316844798
5632 5.5 0.000358727996109972 0.000358727996109723 0.000358727996109962
6144 6 0.000339794616090137 0.000339794616090087 0.000339794616090337
6656 6.5 0.00031101055416072 0.000311010554160866 0.000311010554160451
7168 7 0.000271666954762897 0.000271666954763336 0.000271666954762247
7680 7.5 0.000228251266907478 0.000228251266907857 0.000228251266906896
8192 8 0.00019176975117697 0.000191769751177809 0.000191769751176817
8704 8.5 0.000181839885637904 0.000181839885636939 0.000181839885638359
9216 9 0.000166013668747458 0.000166013668748367 0.00016601366874697
9728 9.5 0.000173503590402082 0.000173503590400375 0.000173503590398368
10240 10 0.000161895624058045 0.000161895624058008 0.000161895624057507
10752 10.5 0.000196184255438057 0.000196184255438382 0.000196184255438123
11264 11 0.000234630056159713 0.000234630056159389 0.000234630056158812
11776 11.5 0.000276802232826509 0.000276802232825691 0.000276802232826264
12288 12 0.000305321160576094 0.000305321160574583 0.000305321160574729
12800 12.5 0.000309022760597657 0.000309022760596585 0.000309022760596486
13312 13 0.000285789619266255 0.000285789619266573 0.000285789619266447
13824 13.5 0.00024199226015213 0.000241992260153019 0.000241992260153421
14336 14 0.000197009239179257 0.000197009239179655 0.00019700923917904
14848 14.5 0.000182872028081882 0.000182872028082576 0.000182872028083592
15360 15 0.000190131012950484 0.000190131012953023 0.00019013101295209
