# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0405755878089055 0.0405755878089055 0.0405755878089055
1024 1 0.0410594296151055 0.0410594296151055 0.0410594296151055
1536 1.5 0.041706037258946 0.041706037258946 0.0417060372589459
2048 2 0.0430617283025523 0.0430617283025523 0.0430617283025523
2560 2.5 0.0450884030956244 0.0450884030956244 0.0450884030956244
3072 3 0.0471593872813381 0.0471593872813381 0.0471593872813381
3584 3.5 0.049283230482198 0.049283230482198 0.049283230482198
4096 4 0.0514486572383899 0.0514486572383899 0.0514486572383899
4608 4.5 0.0535828727260036 0.0535828727260036 0.0535828727260036
5120 5 0.0556333723360818 0.0556333723360818 0.0556333723360818
5632 5.5 0.0575361063265886 0.0575361063265887 0.0575361063265887
6144 6 0.0592235073527587 0.0592235073527586 0.0592235073527588
6656 6.5 0.060767302476466 0.0607673024764658 0.060767302476466
7168 7 0.0622281917625857 0.0622281917625857 0.0622281917625857
7680 7.5 0.063657908196155 0.063657908196155 0.0636579081961548
8192 8 0.0651016565384452 0.0651016565384453 0.0651016565384453
8704 8.5 0.0665885452797756 0.0665885452797758 0.0665885452797759
9216 9 0.0681375215456645 0.0681375215456648 0.0681375215456649
9728 9.5 0.0698045135367452 0.0698045135367454 0.0698045135367453
10240 10 0.0716349841003314 0.0716349841003313 0.0716349841003315
10752 10.5 0.0736633345532943 0.0736633345532942 0.0736633345532945
11264 11 0.0759096936982581 0.0759096936982583 0.0759096936982585
11776 11.5 0.0783629444024414 0.0783629444024418 0.0783629444024421
12288 12 0.0810009750510909 0.0810009750510914 0.0810009750510913
12800 12.5 0.0838126955691245 0.0838126955691247 0.0838126955691245
13312 13 0.0867757438682172 0.0867757438682171 0.0867757438682173
13824 13.5 0.0897568771769409 0.0897568771769407 0.0897568771769413
14336 14 0.0926602388142381 0.0926602388142377 0.0926602388142383
14848 14.5 0.0954769436988208 0.0954769436988202 0.0954769436988206
15360 15 0.0982027474260212 0.0982027474260206 0.0982027474260212
15872 15.5 0.100903058299689 0.100903058299689 0.10090305829969
16384 16 0.103636070030851 0.103636070030851 0.103636070030851
16896 16.5 0.106237168762371 0.106237168762371 0.106237168762371
17408 17 0.108855599433638 0.108855599433638 0.108855599433639
17920 17.5 0.111353465643094 0.111353465643095 0.111353465643095
18432 18 0.1136853591556 0.1136853591556 0.1136853591556
18944 18.5 0.115846192761237 0.115846192761237 0.115846192761237
19456 19 0.117832571612472 0.117832571612473 0.117832571612473
19968 19.5 0.119643747490557 0.119643747490557 0.119643747490557
20480 20 0.121249718576401 0.1212497185764 0.121249718576399
20992 20.5 0.122580472026686 0.122580472026686 0.122580472026686
21504 21 0.123642214237223 0.123642214237223 0.123642214237224
22016 21.5 0.12445924283695 0.124459242836951 0.124459242836951
22528 22 0.125074012211849 0.12507401221185 0.125074012211849
23040 22.5 0.125507621476715 0.125507621476715 0.125507621476715
23552 23 0.125780351998082 0.125780351998082 0.125780351998082
24064 23.5 0.126173425875303 0.126173425875304 0.126173425875303
24576 24 0.127985220578332 0.127985220578332 0.127985220578332
25088 24.5 0.1297412041116 0.1297412041116 0.129741204111601
25600 25 0.131416770405526 0.131416770405527 0.131416770405527
26112 25.5 0.132985983121638 0.132985983121639 0.132985983121638
26624 26 0.134402880105057 0.134402880105057 0.134402880105057
27136 26.5 0.135661112722328 0.135661112722328 0.135661112722329
27648 27 0.136762476962216 0.136762476962216 0.136762476962215
28160 27.5 0.137709851970727 0.137709851970729 0.137709851970726
28672 28 0.138490873035296 0.138490873035296 0.138490873035296
29184 28.5 0.139100253489741 0.13910025348974 0.139100253489742
