# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 7.5 2535.93110348741 2522.68345221985 12.7987101078033 10.6469769477844 9.79988241195679 0 3.00102090835571 45 337177.399519686 337177.399519686 3589920 3589920 165545.582435658 165545.582435658 1762560 1762560 434.169659631762 597289.40161544 11844.6285023964 585444.773113044 1306 1791366 35718 1755648 0 0 0 0 12.6862185001373 1717451730.97052 9851
8192 8 2531.24887787321 2523.21446783257 13.5295159816742 11.3777828216553 10.4315736293793 0 3.1907057762146 48 336554.850802022 336554.850802022 3829248 3829248 165239.926747563 165239.926747563 1880064 1880064 453.849633114848 615459.160686954 11930.8223965561 603528.338290398 1488 2217888 37152 2180736 0 0 0 0 13.4096021652222 1717451731.70133 10490
8704 8.5 2524.32574447288 2522.71760818347 14.2737820148468 12.1220488548279 11.0730738639832 0 3.2029550075531 51 335634.350985114 335634.350985114 4068576 4068576 164787.98459919 164787.98459919 1997568 1997568 471.770598513506 693310.322405129 11981.0986170834 681329.223788046 1514 2219284 38548 2180736 0 0 0 0 14.146721124649 1717451732.44559 11129
9216 9 2533.35192305466 2522.9895034122 14.9411129951477 12.7893798351288 11.688916683197 0 3.29443120956421 54 336834.471689348 336834.471689348 4307904 4307904 165377.213537008 165377.213537008 2115072 2115072 483.36565484176 684371.048519211 12234.5012980272 672136.547221184 1612 2234539 39979 2194560 0 0 0 0 14.8066139221191 1717451733.11292 11768
9728 9.5 2539.59882873923 2523.33752149643 15.6184270381927 13.4666938781738 12.3086853027344 0 3.31199765205383 57 337665.060269168 337665.060269168 4547232 4547232 165785.011540097 165785.011540097 2232576 2232576 493.694109874015 675501.346841604 12440.5477197445 663060.79912186 1638 2235935 41375 2194560 0 0 0 0 15.4767696857452 1717451733.79024 12407
10240 10 2536.57637137958 2524.0376636952 16.3440911769867 14.1923580169678 12.9361879825592 0 3.50092649459839 60 337263.194338629 337263.194338629 4786560 4786560 165587.705523659 165587.705523659 2350080 2350080 509.991012315705 689930.102429154 12502.4091264299 677427.693302724 1820 2662455 42807 2619648 0 0 0 0 16.1950294971466 1717451734.5159 13046
10752 10.5 2529.64621581453 2523.92939186326 17.0945341587067 14.9428009986877 13.5839128494263 0 3.51282596588135 63 336341.7608547 336341.7608547 5025888 5025888 165135.304968372 165135.304968372 2467584 2467584 524.693448174156 758752.586887818 12546.212228464 746206.374659354 1846 2663901 44253 2619648 0 0 0 0 16.9383192062378 1717451735.26634 13685
11264 11 2536.00504787255 2524.25649814273 17.7668440341949 15.615110874176 14.2023439407349 0 3.60484552383423 66 337187.231165135 337187.231165135 5265216 5265216 165550.40952512 165550.40952512 2585088 2585088 534.156249145101 749155.822691495 12774.3018112253 736381.52088027 1944 2679204 45732 2633472 0 0 0 0 17.6032195091248 1717451735.93865 14324
11776 11.5 2541.33414748512 2524.59591030712 18.4423890113831 16.2906558513641 14.8258438110352 0 3.61880302429199 69 337895.788249622 337895.788249622 5504544 5504544 165898.293147829 165898.293147829 2702592 2702592 543.612727365021 741160.65236573 12987.2564555482 728173.395910182 1970 2680650 47178 2633472 0 0 0 0 18.2718675136566 1717451736.6142 14963
12288 12 2538.14251054793 2525.21717351467 19.1720540523529 17.020320892334 15.4549996852875 0 3.80836892127991 72 337471.428202453 337471.428202453 5743872 5743872 165689.943088569 165689.943088569 2820096 2820096 556.892580948242 752203.95611469 13038.0121499974 739165.943964692 2152 3107224 48664 3058560 0 0 0 0 18.9934465885162 1717451737.34386 15602
12800 12.5 2529.06715688039 2525.05866144378 19.9448549747467 17.7931218147278 16.1268544197083 0 3.82024741172791 75 336264.769178816 336264.769178816 5983200 5983200 165097.504001152 165097.504001152 2937600 2937600 569.407984273618 814159.651155078 13070.1919186854 801089.459236393 2178 3108670 50110 3058560 0 0 0 0 19.7594623565674 1717451738.11666 16241
13312 13 2533.37425413958 2525.23043833321 20.625118970871 18.4733858108521 16.7538201808929 0 3.91427230834961 78 336837.440830398 336837.440830398 6222528 6222528 165378.671310232 165378.671310232 3055104 3055104 577.583937925053 804675.425225362 13275.9063012782 791399.518924084 2276 3123980 51596 3072384 0 0 0 0 20.4323716163635 1717451738.79693 16880
13824 13.5 2535.58573861212 2525.35714382818 21.318902015686 19.1671688556671 17.3929669857025 0 3.92821502685547 81 337131.479805868 337131.479805868 6461856 6461856 165523.037016599 165523.037016599 3172608 3172608 585.338265266618 796044.248346392 13457.6857733231 782586.562573069 2302 3125426 53042 3072384 0 0 0 0 21.1189107894897 1717451739.49071 17519
14336 14 2533.25322680339 2525.67502145997 22.0470991134644 19.8953659534454 18.0112476348877 0 4.12908840179443 84 336821.349035779 336821.349035779 6701184 6701184 165370.770645725 165370.770645725 3290112 3290112 595.165608236684 802991.888379136 13460.3565786218 789531.531800514 2484 3551996 54524 3497472 0 0 0 0 21.8398203849792 1717451740.21891 18158
14848 14.5 2531.71015387254 2525.65275689538 22.7702071666718 20.6184740066528 18.631516456604 0 4.14094758033752 87 336616.182058893 336616.182058893 6940512 6940512 165270.038844799 165270.038844799 3407616 3407616 605.505502961099 858541.081931159 13473.8263635765 845067.255567582 2510 3553445 55973 3497472 0 0 0 0 22.5559062957764 1717451740.94202 18797
15360 15 2535.33662304555 2525.84315913357 23.4506800174713 21.2989468574524 19.2618539333344 0 4.22886443138123 90 337098.357400136 337098.357400136 7179840 7179840 165506.774752414 165506.774752414 3525120 3525120 613.059589588832 849857.437023065 13667.0749393968 836190.362083668 2608 3568746 57450 3511296 0 0 0 0 23.2289659976959 1717451741.62249 19436
15872 15.5 2537.66050833563 2526.0572241862 24.1404900550842 21.9887568950653 19.9002163410187 0 4.24249076843262 93 337407.341188305 337407.341188305 7419168 7419168 165658.47798415 165658.47798415 3642624 3642624 620.242978955802 841923.243812748 13840.8517840065 828082.392028742 2634 3570193 58897 3511296 0 0 0 0 23.9115564823151 1717451742.3123 20075
16384 16 2535.59952852642 2526.38076246819 24.8682541847229 22.716521024704 20.5287761688232 0 4.4303777217865 96 337133.313312873 337133.313312873 7658496 7658496 165523.937222205 165523.937222205 3760128 3760128 630.029692507427 849299.1522244 13865.9534118012 835433.198812599 2816 3996756 60372 3936384 0 0 0 0 24.6215977668762 1717451743.04006 20714
16896 16.5 2533.24014276544 2526.41975758307 25.5999641418457 23.4482309818268 21.1597335338593 0 4.4424135684967 99 336819.609382094 336819.609382094 7897824 7897824 165369.916519728 165369.916519728 3877632 3877632 639.155992235046 900401.207272656 13874.27938747 886526.927885186 2842 3998198 61814 3936384 0 0 0 0 25.3567526340485 1717451743.77177 21353
17408 17 2536.14064422995 2526.63953675545 26.2828869819641 24.1311538219452 21.788122177124 0 4.53704738616943 102 337205.260056814 337205.260056814 8137152 8137152 165559.261255331 165559.261255331 3995136 3995136 645.195049333215 890961.635119966 14037.4419440273 876924.193175939 2940 4013502 63294 3950208 0 0 0 0 26.0321807861328 1717451744.4547 21992
