# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
74752 73 4.7022485746303e-05
75264 73.5 4.72716411338872e-05
75776 74 4.74992341116309e-05
76288 74.5 4.77270728948629e-05
76800 75 4.79413124492421e-05
77312 75.5 4.81467444137918e-05
77824 76 4.83857606464718e-05
78336 76.5 4.85970509785562e-05
78848 77 4.88568107682668e-05
79360 77.5 4.90508473642741e-05
79872 78 4.92912972795033e-05
80384 78.5 4.94991050631514e-05
80896 79 4.97423872459141e-05
81408 79.5 4.99732575700224e-05
81920 80 5.01970264312029e-05
82432 80.5 5.04396652101454e-05
82944 81 5.06654080562741e-05
83456 81.5 5.09169507506779e-05
83968 82 5.11357021666345e-05
84480 82.5 5.1369031298732e-05
84992 83 5.16098083126069e-05
85504 83.5 5.18613176585833e-05
86016 84 5.20931950770366e-05
86528 84.5 5.23198527834786e-05
87040 85 5.25431139594463e-05
87552 85.5 5.28054810471378e-05
88064 86 5.30473579000549e-05
88576 86.5 5.33034007011537e-05
89088 87 5.35231449389978e-05
89600 87.5 5.37706680201736e-05
90112 88 5.40229968008247e-05
90624 88.5 5.42623998530304e-05
91136 89 5.45092998569489e-05
91648 89.5 5.47192723208486e-05
92160 90 5.49908288612457e-05
92672 90.5 5.52237100527744e-05
93184 91 5.54973615089047e-05
93696 91.5 5.57144571421036e-05
94208 92 5.59725132105234e-05
94720 92.5 5.62205470639861e-05
95232 93 5.64844425838153e-05
95744 93.5 5.67332577318779e-05
96256 94 5.69621139844057e-05
96768 94.5 5.72235148506708e-05
97280 95 5.74701921530425e-05
97792 95.5 5.77565440626002e-05
98304 96 5.79828285279908e-05
98816 96.5 5.82400326285494e-05
99328 97 5.84660881779459e-05
99840 97.5 5.87389234325646e-05
100352 98 5.89883507592765e-05
100864 98.5 5.92412587503544e-05
101376 99 5.9493251795853e-05
101888 99.5 5.97359490242248e-05
102400 100 6.0001188033321e-05
102912 100.5 6.02365779577792e-05
103424 101 6.04948637253772e-05
103936 101.5 6.07380403733774e-05
104448 102 6.0999064713559e-05
104960 102.5 6.12494020855449e-05
105472 103 6.14956017082297e-05
105984 103.5 6.17406353540187e-05
106496 104 6.19804123194187e-05
107008 104.5 6.22345410012071e-05
107520 105 6.24743334949629e-05
108032 105.5 6.273765376339e-05
108544 106 6.29697706960536e-05
109056 106.5 6.32169634305689e-05
109568 107 6.3448057886935e-05
110080 107.5 6.36978225863793e-05
110592 108 6.39453959142597e-05
111104 108.5 6.41839092027354e-05
111616 109 6.4431473864118e-05
112128 109.5 6.46536185720767e-05
112640 110 6.49040998009213e-05
113152 110.5 6.5129437288825e-05
113664 111 6.53789928613321e-05
114176 111.5 6.56153624438936e-05
114688 112 6.58478147478602e-05
115200 112.5 6.60801447966514e-05
115712 113 6.63011077676819e-05
116224 113.5 6.65468819113697e-05
116736 114 6.6775695621614e-05
117248 114.5 6.70120483482915e-05
117760 115 6.72354214273041e-05
118272 115.5 6.74682222699071e-05
118784 116 6.77048371464092e-05
119296 116.5 6.79311739317671e-05
119808 117 6.81582864279322e-05
120320 117.5 6.83809636284015e-05
120832 118 6.86145955966658e-05
121344 118.5 6.88421331254343e-05
121856 119 6.90663704530361e-05
122368 119.5 6.92903371924282e-05
122880 120 6.95162190785474e-05
123392 120.5 6.97457817167636e-05
123904 121 6.99686122062709e-05
124416 121.5 7.01910003258809e-05
124928 122 7.04171287516952e-05
125440 122.5 7.06433128998853e-05
125952 123 7.08692194581719e-05
126464 123.5 7.10820560569191e-05
126976 124 7.13098897137607e-05
127488 124.5 7.15368355987907e-05
128000 125 7.17654438449262e-05
128512 125.5 7.19749030981949e-05
129024 126 7.2189343797745e-05
129536 126.5 7.24102585642147e-05
130048 127 7.26368041251509e-05
130560 127.5 7.28632083815782e-05
131072 128 7.30648520701431e-05
131584 128.5 7.32876578072092e-05
132096 129 7.34964024190198e-05
132608 129.5 7.37264715742619e-05
133120 130 7.39351130917151e-05
133632 130.5 7.41526608509498e-05
134144 131 7.43716214612503e-05
134656 131.5 7.45864407573115e-05
135168 132 7.48021330100045e-05
135680 132.5 7.50090902717144e-05
136192 133 7.52270927666424e-05
136704 133.5 7.54437859907991e-05
137216 134 7.56589545003435e-05
137728 134.5 7.58685015312966e-05
138240 135 7.6080429428317e-05
138752 135.5 7.62964825451568e-05
139264 136 7.6510121153951e-05
139776 136.5 7.67196370987042e-05
140288 137 7.69317276460218e-05
140800 137.5 7.71449892178603e-05
141312 138 7.7358495685094e-05
141824 138.5 7.75681811384483e-05
142336 139 7.77772700002424e-05
142848 139.5 7.79933144258651e-05
143360 140 7.82047351132722e-05
143872 140.5 7.84129500088813e-05
144384 141 7.86203379364895e-05
144896 141.5 7.88344856364446e-05
145408 142 7.90556220605285e-05
145920 142.5 7.9267629996212e-05
146432 143 7.94773125241931e-05
146944 143.5 7.96885764723467e-05
147456 144 7.99096520752156e-05
147968 144.5 8.01296803585299e-05
148480 145 8.03402437762078e-05
148992 145.5 8.05572280624091e-05
149504 146 8.07741408098419e-05
150016 146.5 8.09975478604516e-05
150528 147 8.12109870641276e-05
151040 147.5 8.1428108580571e-05
151552 148 8.16575831915889e-05
152064 148.5 8.18887659492314e-05
152576 149 8.21149928743557e-05
153088 149.5 8.23324537908708e-05
153600 150 8.25567618291279e-05
154112 150.5 8.27846287068452e-05
154624 151 8.30148767513292e-05
155136 151.5 8.32326828345076e-05
155648 152 8.34574320154426e-05
156160 152.5 8.36826270887614e-05
156672 153 8.39131596845098e-05
157184 153.5 8.4131048244702e-05
157696 154 8.43521059280921e-05
158208 154.5 8.45769240466328e-05
158720 155 8.48058581464924e-05
159232 155.5 8.50317935571347e-05
159744 156 8.52486338056561e-05
160256 156.5 8.5472594644323e-05
160768 157 8.5696365100682e-05
161280 157.5 8.59237230828884e-05
161792 158 8.61400025214055e-05
162304 158.5 8.6365658452751e-05
162816 159 8.65855194232988e-05
163328 159.5 8.68125921095271e-05
163840 160 8.7022363221285e-05
164352 160.5 8.72445268080087e-05
164864 161 8.74659330232544e-05
165376 161.5 8.76927425883943e-05
165888 162 8.79102170395354e-05
166400 162.5 8.8118767751675e-05
166912 163 8.83390928052614e-05
167424 163.5 8.85567596210572e-05
167936 164 8.87852972269166e-05
168448 164.5 8.89921758026021e-05
168960 165 8.92128771187167e-05
169472 165.5 8.94220627694161e-05
169984 166 8.96471893047883e-05
170496 166.5 8.98572225032306e-05
171008 167 9.00774666579761e-05
171520 167.5 9.0290884837746e-05
172032 168 9.05095078370037e-05
172544 168.5 9.07215448433574e-05
173056 169 9.09343568088565e-05
173568 169.5 9.11548357287921e-05
174080 170 9.13689587878675e-05
174592 170.5 9.15870667332373e-05
175104 171 9.17949560786787e-05
175616 171.5 9.20160063809553e-05
176128 172 9.2230593410769e-05
