# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.20078711152962e-07
512 0.125 4.78443253824989e-06
1024 0.25 8.09537277721248e-06
1536 0.375 1.07122610601492e-05
2048 0.5 1.2813269077703e-05
2560 0.625 1.43334720857617e-05
3072 0.75 1.52034542766113e-05
3584 0.875 1.55340739165276e-05
4096 1 1.54240189424216e-05
4608 1.125 1.51985117761796e-05
5120 1.25 1.50631626062099e-05
5632 1.375 1.51725937565422e-05
6144 1.5 1.56273308010275e-05
6656 1.625 1.61220532596294e-05
7168 1.75 1.64865686235638e-05
7680 1.875 1.66484739669462e-05
8192 2 1.66038349416768e-05
8704 2.125 1.64329724567896e-05
9216 2.25 1.62259365469503e-05
9728 2.375 1.60682403345148e-05
10240 2.5 1.60754596027001e-05
10752 2.625 1.63872690446291e-05
11264 2.75 1.66786695926556e-05
11776 2.875 1.68606899402225e-05
12288 3 1.68813610785133e-05
12800 3.125 1.68000335915369e-05
13312 3.25 1.67123605702097e-05
13824 3.375 1.6599391631643e-05
14336 3.5 1.65357728430596e-05
14848 3.625 1.65643708967503e-05
15360 3.75 1.68034982983009e-05
15872 3.875 1.6978272129697e-05
16384 4 1.69988600527852e-05
16896 4.125 1.69780407509268e-05
17408 4.25 1.69192224860867e-05
17920 4.375 1.68603022526456e-05
18432 4.5 1.67917606112647e-05
18944 4.625 1.67791659033768e-05
19456 4.75 1.68582591244445e-05
19968 4.875 1.70073433465096e-05
20480 5 1.71128186295634e-05
