# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.125 0.00370669485175449
1024 0.25 0.00370617398788208
1536 0.375 0.00370565644916574
2048 0.5 0.00370515801273856
2560 0.625 0.00370470218133185
3072 0.75 0.00370427903307747
3584 0.875 0.00370390218936236
4096 1 0.00370357926588227
4608 1.125 0.00370331321234139
5120 1.25 0.00370310495555186
5632 1.375 0.00370295362942426
6144 1.5 0.00370285683598763
6656 1.625 0.00370281092086549
7168 1.75 0.00370281125138609
7680 1.875 0.00370285248607801
8192 2 0.00370292882763349
8704 2.125 0.00370303424539736
9216 2.25 0.00370316266778833
9728 2.375 0.00370330815247567
10240 2.5 0.00370346500251046
10752 2.625 0.00370362788675379
11264 2.75 0.00370379194681912
11776 2.875 0.00370395287732849
12288 3 0.00370410698083918
12800 3.125 0.00370425119959042
13312 3.25 0.00370438312689963
13824 3.375 0.00370450099962587
14336 3.5 0.00370460367257737
14848 3.625 0.00370469057701859
15360 3.75 0.00370476166731308
15872 3.875 0.00370481735999493
16384 4 0.00370485847090896
16896 4.125 0.00370488615586085
17408 4.25 0.00370490182836531
17920 4.375 0.00370490708531591
18432 4.5 0.00370490364000321
18944 4.625 0.0037048932588738
19456 4.75 0.00370487770423332
19968 4.875 0.00370485868517498
20480 5 0.00370483781718427
20992 5.125 0.00370481658891329
21504 5.25 0.00370479633469581
22016 5.375 0.00370477821310731
22528 5.5 0.0037047631929911
23040 5.625 0.00370475204773642
23552 5.75 0.00370474535710934
24064 5.875 0.00370474351484669
24576 6 0.00370474673995267
25088 6.125 0.00370475509020208
25600 6.25 0.00370476847754849
26112 6.375 0.00370478668611896
26624 6.5 0.00370480939321526
27136 6.625 0.00370483619230658
27648 6.75 0.00370486661572731
28160 6.875 0.00370490015488737
28672 7 0.00370493627716214
29184 7.125 0.00370497444017803
29696 7.25 0.00370501410489565
30208 7.375 0.00370505474839484
30720 7.5 0.00370509587630232
31232 7.625 0.00370513703479655
31744 7.75 0.00370517782384513
32256 7.875 0.00370521791531903
32768 8 0.0037052570782825
33280 8.125 0.00370529520583769
33792 8.25 0.00370533232447464
34304 8.375 0.0037053685566473
34816 8.5 0.00370540401585787
35328 8.625 0.0037054386535002
35840 8.75 0.00370547213840814
36352 8.875 0.00370550388771953
36864 9 0.00370553331889526
37376 9.125 0.00370556024087792
37888 9.25 0.00370558513579416
38400 9.375 0.00370560911454425
38912 9.5 0.00370563369894929
39424 9.625 0.00370565989210837
39936 9.75 0.00370568766406653
