# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:05:52+0200
# parameter filename: "TOV_0_subgrid_2.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
# Run ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 7.5 2330.57822666137 2452.70359532415 13.8290019035339 11.5851078033447 10.5693349838257 0 3.26190376281738 45 309873.681016896 309873.681016896 3589920 3589920 152140.146636455 152140.146636455 1762560 1762560 399.427313302468 549495.713556008 10898.3527688711 538597.360787137 1306 1791371 35723 1755648 0 0 0 0 13.7085444927216 1717520763.88935 9851
8192 8 2293.89163866541 2441.42579998522 14.7989771366119 12.5550830364227 11.4230699539185 0 3.48213219642639 48 304995.832276953 304995.832276953 3829248 3829248 149745.246172078 149745.246172078 1880064 1880064 416.480644730942 564785.373772854 10950.2418163362 553835.131956518 1488 2217894 37158 2180736 0 0 0 0 14.6703605651855 1717520764.85932 10490
8704 8.5 2280.41692356641 2430.6188079706 15.6624929904938 13.4185988903046 12.1688807010651 0 3.49585843086243 51 303204.23415739 303204.23415739 4068576 4068576 148865.616770415 148865.616770415 1997568 1997568 432.217394176536 635185.251298413 10978.6080487689 624206.643249644 1514 2219291 38555 2180736 0 0 0 0 15.5255098342896 1717520765.72284 11129
9216 9 2244.00865294932 2418.02409979759 16.6823410987854 14.4384469985962 13.1047427654266 0 3.64859580993652 54 298363.390496142 298363.390496142 4307904 4307904 146488.884864532 146488.884864532 2115072 2115072 439.400920260424 622126.016564421 11123.9430175599 611002.073546861 1612 2234547 39987 2194560 0 0 0 0 16.5350806713104 1717520766.74269 11768
9728 9.5 2206.71002300947 2403.773684902 17.7420790195465 15.4981849193573 14.0769515037537 0 3.66809678077698 57 293404.164659339 293404.164659339 4547232 4547232 144054.030302058 144054.030302058 2232576 2232576 445.823506265247 610004.969913403 11237.2625024727 598767.70741093 1638 2235946 41386 2194560 0 0 0 0 17.5859386920929 1717520767.80242 12407
10240 10 2204.72432758949 2393.81485535267 18.572466135025 16.3285720348358 14.7974479198456 0 3.87609648704529 60 293140.146596299 293140.146596299 4786560 4786560 143924.404105042 143924.404105042 2350080 2350080 460.395129488769 622837.789376928 11288.9521509168 611548.837226011 1820 2662464 42816 2619648 0 0 0 0 18.4084942340851 1717520768.63281 13046
10752 10.5 2171.27662686448 2380.83015835521 19.6530070304871 17.4091129302979 15.7661612033844 0 3.88976693153381 63 288692.940307902 288692.940307902 5025888 5025888 141740.938201714 141740.938201714 2467584 2467584 473.906113578234 685312.234775615 11334.3831887563 673977.851586859 1846 2663911 44263 2619648 0 0 0 0 19.4795682430267 1717520769.71335 13685
11264 11 2156.90986875667 2369.2152725923 20.603492975235 18.3595988750458 16.6544787883759 0 3.99685096740723 66 286782.736149886 286782.736149886 5265216 5265216 140803.076232435 140803.076232435 2585088 2585088 482.145646965719 676214.587652292 11534.2710470806 664680.316605212 1944 2679219 45747 2633472 0 0 0 0 20.4221880435944 1717520770.66384 14324
11776 11.5 2148.88157456801 2358.80466882627 21.5097301006317 19.2658360004425 17.5003893375397 0 4.01186394691467 69 285715.294154563 285715.294154563 5504544 5504544 140278.9891878 140278.9891878 2702592 2702592 490.354927697341 668553.300501404 11719.1335873791 656834.166914025 1970 2680667 47195 2633472 0 0 0 0 21.3201937675476 1717520771.57007 14963
12288 12 2145.33759846728 2349.61240837789 22.3805849552155 20.1366908550262 18.2537250518799 0 4.2305850982666 72 285244.087092209 285244.087092209 5743872 5743872 140047.638427944 140047.638427944 2820096 2820096 501.592021170116 677512.216428794 11746.9458948236 665765.27053397 2152 3107239 48679 3058560 0 0 0 0 22.1832580566406 1717520772.44093 15602
12800 12.5 2142.31983834733 2340.91371044413 23.2491610050201 21.0052669048309 19.0063128471375 0 4.24726295471191 75 284842.845706661 284842.845706661 5983200 5983200 139850.639047314 139850.639047314 2937600 2937600 512.391657467396 732639.228256338 11764.9744092916 720874.253847046 2178 3108685 50125 3058560 0 0 0 0 23.0419101715088 1717520773.3095 16241
13312 13 2142.74882507827 2333.32658525265 24.0849981307983 21.8411040306091 19.769998550415 0 4.36093187332153 78 284899.883782407 284899.883782407 6222528 6222528 139878.64330111 139878.64330111 3055104 3055104 518.192402651723 721935.875535654 11914.0220160655 710021.853519589 2276 3123994 51610 3072384 0 0 0 0 23.8675084114075 1717520774.14534 16880
13824 13.5 2152.76537119607 2327.25506665516 24.8195080757141 22.5756139755249 20.4477646350861 0 4.37399840354919 81 286231.683754229 286231.683754229 6461856 6461856 140532.523431679 140532.523431679 3172608 3172608 525.648412631887 714870.40409467 12088.083556982 702782.320537688 2302 3125438 53054 3072384 0 0 0 0 24.5942935943604 1717520774.87985 17519
14336 14 2156.02845281797 2321.42885190693 25.620208978653 23.3763148784637 21.1364696025848 0 4.58165645599365 84 286665.543086678 286665.543086678 6701184 6701184 140745.537399957 140745.537399957 3290112 3290112 535.713563732235 722782.197666872 12118.2333411286 710663.964325743 2484 3552007 54535 3497472 0 0 0 0 25.3873977661133 1717520775.68055 18158
14848 14.5 2160.12189119119 2316.01368621099 26.4091970920563 24.1653029918671 21.8170545101166 0 4.59530663490295 87 287209.806652781 287209.806652781 6940512 6940512 141012.757056961 141012.757056961 3407616 3407616 545.714762833317 773766.479720045 12145.5288037771 761620.950916268 2510 3553455 55983 3497472 0 0 0 0 26.1679949760437 1717520776.46954 18797
15360 15 2167.90565586568 2311.4879934571 27.1527271270752 24.908833026886 22.5019855499268 0 4.6951322555542 90 288244.736003901 288244.736003901 7179840 7179840 141520.881214912 141520.881214912 3525120 3525120 552.170005019833 765451.259965025 12312.0149873192 753139.244977706 2608 3568757 57461 3511296 0 0 0 0 26.9044826030731 1717520777.21307 19436
15872 15.5 2174.92841453403 2307.40180578911 27.8999109268188 25.6560168266296 23.1921715736389 0 4.70997643470764 93 289178.481996445 289178.481996445 7419168 7419168 141979.326900781 141979.326900781 3642624 3642624 558.654547903872 758324.268226231 12468.192394796 745856.075831435 2634 3570201 58905 3511296 0 0 0 0 27.6425380706787 1717520777.96025 20075
16384 16 2176.08288991683 2303.39711221237 28.7134740352631 26.4695799350739 23.896030664444 0 4.91956567764282 96 289331.981043342 289331.981043342 7658496 7658496 142054.691053771 142054.691053771 3760128 3760128 567.52094203344 765037.742285565 12492.5184101889 752545.223875376 2816 3996767 60383 3936384 0 0 0 0 28.4382991790771 1717520778.77382 20714
16896 16.5 2173.43992429214 2299.2777406174 29.573842048645 27.3299479484558 24.6438887119293 0 4.93365144729614 99 288980.572333883 288980.572333883 7897824 7897824 141882.158257791 141882.158257791 3877632 3877632 575.664677972521 810961.428422656 12498.6984239996 798462.729998656 2842 3998211 61827 3936384 0 0 0 0 29.2955191135406 1717520779.63419 21353
17408 17 2165.89901496475 2294.94394943222 30.5000591278076 28.2561650276184 25.496978521347 0 5.05899786949158 102 287977.933029713 287977.933029713 8137152 8137152 141389.887696899 141389.887696899 3995136 3995136 579.642869686164 800442.230498682 12614.028228629 787828.202270053 2940 4013516 63308 3950208 0 0 0 0 30.2142510414124 1717520780.5604 21992
17920 17.5 2175.65754627655 2291.93156623786 31.2006571292877 28.9567630290985 26.1298449039459 0 5.07308506965637 105 289275.42735293 289275.42735293 8376480 8376480 142026.924620933 142026.924620933 4112640 4112640 584.127328793041 791736.475654921 12727.5468173444 779008.928837576 2966 4014956 64748 3950208 0 0 0 0 30.9073178768158 1717520781.261 22631
18432 18 2183.02274952938 2289.23560711038 31.9275059700012 29.683611869812 26.7581448554993 0 5.26623320579529 108 290254.704777427 290254.704777427 8615808 8615808 142507.725089278 142507.725089278 4230144 4230144 593.110044372552 798992.15947848 12771.9844943278 786220.174984153 3148 4441519 66223 4375296 0 0 0 0 31.6259591579437 1717520781.98785 23270
18944 18.5 2188.01414982516 2286.5889003534 32.6824541091919 30.4385600090027 27.4060077667236 0 5.27873229980469 111 290918.361360753 290918.361360753 8855136 8855136 142833.563700586 142833.563700586 4347648 4347648 600.783139683575 841998.707395502 12786.0676715307 829212.639723971 3174 4442968 67672 4375296 0 0 0 0 32.373494386673 1717520782.7428 23909
19456 19 2194.67195975928 2284.41575777691 33.4102830886841 31.1663889884949 28.0756216049194 0 5.37959718704224 114 291803.583769594 291803.583769594 9094464 9094464 143268.185533086 143268.185533086 4465152 4465152 605.849126479004 834061.545149825 12926.0310536777 821135.514096147 3272 4458277 69157 4389120 0 0 0 0 33.0932972431183 1717520783.47063 24548
19968 19.5 2194.90506749397 2282.0714227734 34.2270541191101 31.9831600189209 28.8367652893066 0 5.39277291297913 117 291834.577773998 291834.577773998 9333792 9333792 143283.402806006 143283.402806006 4582656 4582656 611.098978924308 827324.869001982 13060.5246254618 814264.34437652 3298 4459729 70609 4389120 0 0 0 0 33.9012567996979 1717520784.2874 25187
20480 20 2192.53602638821 2279.79711211164 35.0825791358948 32.8386850357056 29.5699079036713 0 5.61361384391785 120 291519.590068577 291519.590068577 9573120 9573120 143128.751802623 143128.751802623 4700160 4700160 616.398086673025 829917.077814682 13041.2275594753 816875.850255207 3480 4886300 72092 4814208 0 0 0 0 34.7474055290222 1717520785.14292 25826
20992 20.5 2187.2527193733 2277.19597163975 35.9848511219025 33.7409570217133 30.3590114116669 0 5.62804770469666 123 290817.121567874 290817.121567874 9812448 9812448 142783.857520689 142783.857520689 4817664 4817664 622.484852106344 868767.375491991 13035.9206407125 855731.454851278 3506 4887755 73547 4814208 0 0 0 0 35.642237663269 1717520786.0452 26465
21504 21 2193.92664100847 2275.42118930597 36.7026579380035 34.4587638378143 31.0229117870331 0 5.73114275932312 126 291704.486188486 291704.486188486 10051776 10051776 143219.531125033 143219.531125033 4935168 4935168 627.492832472987 861697.489625264 13175.0606472464 848522.428978018 3604 4903064 75032 4828032 0 0 0 0 36.3507137298584 1717520786.763 27104
