# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
172544 84.25 0.00127373690761337
173056 84.5 0.00127370922197239
173568 84.75 0.00127368181338532
174080 85 0.00127365474117889
174592 85.25 0.00127362790153122
175104 85.5 0.00127360113921858
175616 85.75 0.00127357447394105
176128 86 0.00127354815084903
176640 86.25 0.0012735224434481
177152 86.5 0.00127349744039006
177664 86.75 0.00127347304393091
178176 87 0.00127344914712894
178688 87.25 0.00127342578521228
179200 87.5 0.00127340312384039
179712 87.75 0.00127338131212407
180224 88 0.00127336033930012
180736 88.25 0.00127334004305722
181248 88.5 0.00127332029460124
181760 88.75 0.00127330118436093
182272 89 0.00127328298285223
182784 89.25 0.00127326589391567
183296 89.5 0.00127324988611639
183808 89.75 0.00127323479814727
184320 90 0.00127322056232066
184832 90.25 0.00127320726964517
185344 90.5 0.00127319505486943
185856 90.75 0.00127318399379196
186368 91 0.00127317409427068
186880 91.25 0.00127316530373848
187392 91.5 0.00127315753217476
187904 91.75 0.00127315077091505
188416 92 0.0012731452091183
188928 92.25 0.00127314110655739
189440 92.5 0.00127313846441585
189952 92.75 0.00127313692533292
190464 93 0.00127313615607885
190976 93.25 0.00127313631349419
191488 93.5 0.0012731379698966
192000 93.75 0.00127314150244357
192512 94 0.00127314666092488
193024 94.25 0.0012731528581501
193536 94.5 0.00127315985224427
194048 94.75 0.00127316801061808
194560 95 0.0012731778533913
195072 95.25 0.001273189430591
195584 95.5 0.0012732022648124
196096 95.75 0.0012732159164007
196608 96 0.0012732305187858
197120 96.25 0.00127324668492376
197632 96.5 0.00127326489246335
198144 96.75 0.00127328500474359
198656 97 0.00127330640917998
199168 97.25 0.00127332860124396
199680 97.5 0.00127335161940499
200192 97.75 0.00127337593797755
200704 98 0.00127340198379414
201216 98.25 0.00127342977847686
201728 98.5 0.00127345902112066
202240 98.75 0.00127348945429483
202752 99 0.00127352109807406
203264 99.25 0.00127355413583282
203776 99.5 0.00127358863906886
204288 99.75 0.00127362446984269
204800 100 0.00127366145436215
205312 100.25 0.00127369959716229
205824 100.5 0.00127373908293617
206336 100.75 0.00127378008253812
206848 101 0.00127382259172675
207360 101.25 0.00127386645678626
207872 101.5 0.0012739115242663
208384 101.75 0.00127395775993605
208896 102 0.00127400525649813
209408 102.25 0.0012740541421361
209920 102.5 0.00127410444682053
210432 102.75 0.00127415602776528
210944 103 0.0012742086571614
211456 103.25 0.00127426223004327
211968 103.5 0.0012743168699305
212480 103.75 0.00127437278146909
212992 104 0.00127443001488564
213504 104.25 0.00127448843912472
214016 104.5 0.0012745479311672
214528 104.75 0.00127460848091997
215040 105 0.00127467006860798
215552 105.25 0.00127473256471633
216064 105.5 0.00127479588816308
216576 105.75 0.00127486021446226
217088 106 0.00127492585479469
217600 106.25 0.00127499286626714
218112 106.5 0.00127506088800717
218624 106.75 0.00127512945606476
219136 107 0.00127519843320738
219648 107.25 0.00127526804937908
220160 107.5 0.00127533855979167
220672 107.75 0.00127540997497522
221184 108 0.00127548213739149
221696 108.25 0.00127555493806773
222208 108.5 0.00127562835313985
222720 108.75 0.00127570231327777
223232 109 0.00127577666995273
223744 109.25 0.00127585135041459
224256 109.5 0.00127592648225333
224768 109.75 0.00127600227351685
225280 110 0.00127607875111913
225792 110.25 0.0012761556647561
226304 110.5 0.00127623268729053
226816 110.75 0.00127630969889804
227328 111 0.00127638684395548
227840 111.25 0.00127646431408578
228352 111.5 0.00127654212361469
228864 111.75 0.00127662012478484
229376 112 0.00127669818617626
229888 112.25 0.00127677626188192
230400 112.5 0.00127685428398261
230912 112.75 0.00127693211054395
231424 113 0.00127700968020659
231936 113.25 0.00127708715923237
232448 113.5 0.0012771647991397
232960 113.75 0.00127724261875637
233472 114 0.00127732031347924
233984 114.25 0.00127739752273707
234496 114.5 0.00127747413335958
235008 114.75 0.00127755029591575
235520 115 0.00127762621972919
236032 115.25 0.00127770200626664
236544 115.5 0.00127777760595342
237056 115.75 0.00127785282853903
237568 116 0.00127792741259851
238080 116.25 0.00127800119979174
238592 116.5 0.00127807429208556
239104 116.75 0.00127814697446047
239616 117 0.0012782194131979
240128 117.25 0.00127829143958349
240640 117.5 0.00127836267783017
241152 117.75 0.00127843289643218
241664 118 0.00127850220704182
242176 118.25 0.00127857090507443
242688 118.5 0.00127863913776096
243200 118.75 0.00127870675559339
243712 119 0.00127877347774044
244224 119.25 0.00127883915420668
244736 119.5 0.00127890383518879
245248 119.75 0.00127896761991993
245760 120 0.00127903051067166
246272 120.25 0.00127909243789645
246784 120.5 0.00127915336975323
247296 120.75 0.00127921332839622
247808 121 0.00127927229944721
248320 121.25 0.00127933017663976
248832 121.5 0.00127938682185826
249344 121.75 0.00127944216426315
249856 122 0.00127949623118621
250368 122.25 0.00127954909741204
250880 122.5 0.00127960080884873
251392 122.75 0.00127965133389558
251904 123 0.00127970057497489
252416 123.25 0.00127974843694643
252928 123.5 0.00127979488626946
253440 123.75 0.00127983992814154
253952 124 0.00127988353502083
254464 124.25 0.00127992564099768
254976 124.5 0.00127996621922477
255488 124.75 0.00128000531187184
256000 125 0.0012800429386769
256512 125.25 0.00128007901362474
257024 125.5 0.0012801134163794
257536 125.75 0.00128014613038981
258048 126 0.00128017723400268
258560 126.25 0.00128020674046719
259072 126.5 0.00128023452325223
259584 126.75 0.00128026045380185
260096 127 0.00128028456736441
260608 127.25 0.00128030702029589
261120 127.5 0.00128032788534136
261632 127.75 0.00128034704302069
262144 128 0.00128036429092712
262656 128.25 0.00128037952691286
263168 128.5 0.00128039281216634
263680 128.75 0.00128040428928302
264192 129 0.00128041406403834
264704 129.25 0.00128042213681004
265216 129.5 0.00128042839912428
265728 129.75 0.00128043269264742
266240 130 0.00128043491681279
266752 130.25 0.00128043511615683
267264 130.5 0.00128043345413046
267776 130.75 0.00128043007370319
268288 131 0.00128042497793026
268800 131.25 0.00128041805773449
269312 131.5 0.00128040922686758
269824 131.75 0.0012803984984585
270336 132 0.00128038592380766
270848 132.25 0.0012803715026862
271360 132.5 0.00128035520757397
271872 132.75 0.0012803370904891
272384 133 0.00128031730146095
272896 133.25 0.00128029595200295
273408 133.5 0.00128027298020148
273920 133.75 0.00128024820590543
274432 134 0.00128022153613442
274944 134.25 0.00128019308476483
275456 134.5 0.00128016307411539
275968 134.75 0.00128013165337603
276480 135 0.00128009884142404
276992 135.25 0.00128006460380998
277504 135.5 0.00128002890960347
278016 135.75 0.00127999170725328
278528 136 0.00127995292985178
279040 136.25 0.00127991260328694
279552 136.5 0.00127987093770881
280064 136.75 0.00127982823716267
280576 137 0.00127978466308134
281088 137.25 0.00127974008815256
281600 137.5 0.00127969421980954
282112 137.75 0.00127964690318878
282624 138 0.00127959831591974
283136 138.25 0.00127954885741352
283648 138.5 0.00127949883628461
284160 138.75 0.00127944825997647
284672 139 0.00127939691081462
285184 139.25 0.00127934459427297
285696 139.5 0.0012792913118254
286208 139.75 0.00127923725109564
286720 140 0.00127918266803288
287232 140.25 0.00127912776013726
287744 140.5 0.00127907257925343
