# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -7.21209509786709e-05
512 0.25 -7.65133232164747e-05
1024 0.5 -8.39021596089768e-05
1536 0.75 -8.60766049828153e-05
2048 1 -0.000100454774608048
2560 1.25 -0.000124482845113356
3072 1.5 -0.00014489889870272
3584 1.75 -0.000162617873991648
4096 2 -0.000179637918946764
4608 2.25 -0.000197839240718124
5120 2.5 -0.00021724102172868
5632 2.75 -0.000236071152256786
6144 3 -0.000252256078507575
6656 3.25 -0.000265102274602381
7168 3.5 -0.000275839548110435
7680 3.75 -0.000286652759550879
8192 4 -0.000299010991441058
8704 4.25 -0.000312610706157921
9216 4.5 -0.000325752477214741
9728 4.75 -0.000336825066021436
10240 5 -0.000345685109606392
10752 5.25 -0.000353817835646026
11264 5.5 -0.000363157103959991
11776 5.75 -0.000374551551721174
12288 6 -0.000387148619767512
12800 6.25 -0.000399179352159293
13312 6.5 -0.000409459934484473
13824 6.75 -0.000418377456562878
14336 7 -0.000427610477237029
14848 7.25 -0.000438861920206546
15360 7.5 -0.00045257618584507
15872 7.75 -0.000467534655818621
16384 8 -0.00048162190443621
16896 8.25 -0.000493344807784576
17408 8.5 -0.000503089137503834
17920 8.75 -0.000512999935675011
18432 9 -0.0005253121342703
18944 9.25 -0.000540484052580239
19456 9.5 -0.000556864408687092
19968 9.75 -0.000572083055581978
20480 10 -0.000584741525368486
20992 10.25 -0.000595207354207106
21504 10.5 -0.00060537715428292
22016 10.75 -0.000617479647275075
22528 11 -0.000632303694835901
23040 11.25 -0.000648452680861151
23552 11.5 -0.000663767724139662
24064 11.75 -0.000677122482737424
24576 12 -0.000688280785362549
25088 12.25 -0.000697291034608958
25600 12.5 -0.00070578980963421
26112 12.75 -0.000717495447515666
26624 13 -0.000734250727897274
27136 13.25 -0.000752174255695425
27648 13.5 -0.000765427992426881
28160 13.75 -0.000773720989103153
28672 14 -0.000782074241232934
