# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 5.98656320631061e-08 5.98656323647879e-08 5.98656326456889e-08
1024 0.5 1.67857057045779e-07 1.67857057505437e-07 1.67857058108411e-07
1536 0.75 3.07709556232766e-07 3.07709555327346e-07 3.07709555031653e-07
2048 1 4.64176025341102e-07 4.64176026527035e-07 4.64176025594553e-07
2560 1.25 6.42965718834011e-07 6.42965718407682e-07 6.42965720162955e-07
3072 1.5 7.7800516420648e-07 7.7800516395346e-07 7.7800516488225e-07
3584 1.75 8.32579217403351e-07 8.32579218875115e-07 8.32579216147002e-07
4096 2 8.2769908597923e-07 8.27699084545317e-07 8.27699083023545e-07
4608 2.25 8.53621202058587e-07 8.5362119797618e-07 8.53621200484641e-07
5120 2.5 8.35744848240453e-07 8.35744852676103e-07 8.35744852380561e-07
5632 2.75 7.82192236240605e-07 7.82192245687641e-07 7.8219224231448e-07
6144 3 7.87674989535801e-07 7.87675015590345e-07 7.87675023551487e-07
6656 3.25 8.70222613761605e-07 8.70222606726539e-07 8.70222614266083e-07
7168 3.5 9.14699167082862e-07 9.14699165079103e-07 9.14699175805886e-07
7680 3.75 8.91605828823265e-07 8.91605807607339e-07 8.91605816299317e-07
8192 4 8.15168895708357e-07 8.15168868756844e-07 8.15168881333797e-07
8704 4.25 8.12166540803814e-07 8.12166552142868e-07 8.12166563920073e-07
9216 4.5 8.80852705330448e-07 8.80852709614978e-07 8.80852732034421e-07
9728 4.75 8.98322876637084e-07 8.98322866428956e-07 8.9832290332499e-07
10240 5 8.84878355473406e-07 8.8487834008915e-07 8.84878343847917e-07
10752 5.25 8.94268110230524e-07 8.9426808851428e-07 8.94268105724491e-07
11264 5.5 9.03921489500811e-07 9.03921487022782e-07 9.03921466991821e-07
11776 5.75 8.86070790631871e-07 8.86070789951301e-07 8.86070791107596e-07
12288 6 8.68260937658267e-07 8.68260923246394e-07 8.68260946795955e-07
12800 6.25 8.71482060184471e-07 8.71482057462424e-07 8.71482090240644e-07
13312 6.5 9.19355571074943e-07 9.19355524283399e-07 9.19355574869745e-07
