# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.25 0.000163659383218667
1024 0.5 0.000163476792407791
1536 0.75 0.000163295512827454
2048 1 0.000163121013871225
2560 1.25 0.000162959164559422
3072 1.5 0.00016281261961057
3584 1.75 0.000162684000400187
4096 2 0.000162575503532121
4608 2.25 0.000162488060902554
5120 2.5 0.000162421923238519
5632 2.75 0.000162376752566116
6144 3 0.000162351681170301
6656 3.25 0.00016234536158405
7168 3.5 0.000162356042595086
7680 3.75 0.000162381684743711
8192 4 0.000162420097872286
8704 4.25 0.000162469062779857
9216 4.5 0.0001625264012914
9728 4.75 0.000162589994666305
10240 5 0.00016265778528869
10752 5.25 0.000162727799669543
11264 5.5 0.000162798213236118
11776 5.75 0.000162867420302193
12288 6 0.000162934075038061
12800 6.25 0.000162997089644317
13312 6.5 0.000163055603256247
13824 6.75 0.000163108952134892
14336 7 0.000163156664374097
14848 7.25 0.000163198476938252
15360 7.5 0.000163234350523114
15872 7.75 0.000163264472406168
16384 8 0.000163289225085583
16896 8.25 0.000163309087702182
17408 8.5 0.000163324565467587
17920 8.75 0.000163336148777942
18432 9 0.000163344315612263
18944 9.25 0.000163349578698288
19456 9.5 0.000163352540759212
19968 9.75 0.000163353887698744
20480 10 0.000163354283959369
20992 10.25 0.000163354241875538
21504 10.5 0.000163354100870156
22016 10.75 0.000163354153137759
22528 11 0.000163354772818106
23040 11.25 0.000163356384509405
23552 11.5 0.000163359304393396
24064 11.75 0.000163363644281505
24576 12 0.000163369364744611
25088 12.25 0.000163376367991225
25600 12.5 0.000163384531325822
26112 12.75 0.000163393730080706
26624 13 0.000163403889682482
27136 13.25 0.00016341497379098
27648 13.5 0.000163426867814322
28160 13.75 0.000163439316601181
28672 14 0.000163452035874927
29184 14.25 0.000163464839541222
29696 14.5 0.000163477591803562
30208 14.75 0.000163490102540577
30720 15 0.000163502192199848
31232 15.25 0.000163513832779047
31744 15.5 0.000163525088497802
32256 15.75 0.000163535898629239
32768 16 0.000163546029472623
33280 16.25 0.000163555266269203
33792 16.5 0.000163563556067797
34304 16.75 0.000163570945498219
34816 17 0.00016357749252492
35328 17.25 0.000163583280745867
35840 17.5 0.000163588409430096
36352 17.75 0.000163592893871002
36864 18 0.000163596639847072
37376 18.25 0.000163599571970338
37888 18.5 0.00016360174038488
38400 18.75 0.000163603279152607
38912 19 0.000163604332865879
39424 19.25 0.000163605052112071
39936 19.5 0.000163605566621284
40448 19.75 0.000163605895305703
40960 20 0.000163605952910269
41472 20.25 0.000163605733919018
41984 20.5 0.000163605469710611
42496 20.75 0.000163605542329119
43008 21 0.00016360623881662
43520 21.25 0.000163607603240735
44032 21.5 0.000163609506823025
44544 21.75 0.000163611826306462
45056 22 0.000163614547345232
45568 22.25 0.000163617715798083
46080 22.5 0.000163621268048616
46592 22.75 0.000163624901429394
47104 23 0.000163628144755456
47616 23.25 0.000163630531063545
48128 23.5 0.000163631742006528
48640 23.75 0.000163631636915756
49152 24 0.000163630206390803
49664 24.25 0.000163627517616791
50176 24.5 0.000163623657506927
50688 24.75 0.000163618704704957
51200 25 0.000163612781322627
51712 25.25 0.000163606132251312
52224 25.5 0.000163599096364155
52736 25.75 0.000163591943357082
53248 26 0.00016358472757453
53760 26.25 0.000163577311775144
54272 26.5 0.000163569540533271
54784 26.75 0.000163561402170902
55296 27 0.000163553036609899
55808 27.25 0.000163544589725168
56320 27.5 0.000163536068323935
56832 27.75 0.000163527364716997
57344 28 0.000163518431142972
57856 28.25 0.000163509378907685
58368 28.5 0.000163500343411922
58880 28.75 0.000163491258430401
59392 29 0.000163481824544731
59904 29.25 0.000163471724649318
60416 29.5 0.000163460839819936
60928 29.75 0.000163449245459775
61440 30 0.000163437047275213
61952 30.25 0.00016342426307244
62464 30.5 0.000163410837068977
62976 30.75 0.000163396714928663
63488 31 0.000163381891775507
64000 31.25 0.00016336640291461
64512 31.5 0.000163350258998119
65024 31.75 0.000163333363492846
65536 32 0.00016331549998973
66048 32.25 0.000163296441291343
66560 32.5 0.000163276092798038
67072 32.75 0.000163254510912998
67584 33 0.000163231762222069
68096 33.25 0.000163207774513794
68608 33.5 0.000163182341031697
69120 33.75 0.000163155262783527
69632 34 0.000163126467325237
70144 34.25 0.000163095981769962
70656 34.5 0.000163063797976936
71168 34.75 0.000163029782111498
71680 35 0.000162993743076983
72192 35.25 0.00016295560677344
72704 35.5 0.000162915500806161
73216 35.75 0.000162873620450915
73728 36 0.000162829998846113
74240 36.25 0.000162784450619538
74752 36.5 0.000162736774599009
75264 36.75 0.000162686984759401
75776 37 0.000162635301104146
76288 37.25 0.000162581933847163
76800 37.5 0.000162526936498705
77312 37.75 0.000162470279911325
77824 38 0.000162412009291029
78336 38.25 0.000162352279709784
78848 38.5 0.000162291260833456
79360 38.75 0.00016222905663521
79872 39 0.000162165723505275
80384 39.25 0.000162101334702329
80896 39.5 0.000162036017581078
81408 39.75 0.000161969955106261
81920 40 0.000161903367254511
82432 40.25 0.000161836466309236
82944 40.5 0.000161769398183638
83456 40.75 0.000161702231149177
83968 41 0.000161635026919587
84480 41.25 0.00016156792104308
84992 41.5 0.000161501107830396
85504 41.75 0.000161434754180173
86016 42 0.000161368982421388
86528 42.25 0.00016130396197618
87040 42.5 0.000161239956735499
87552 42.75 0.000161177206303627
88064 43 0.000161115773479119
88576 43.25 0.000161055584211635
89088 43.5 0.000160996639512025
89600 43.75 0.000160939136686973
90112 44 0.000160883355384626
90624 44.25 0.000160829461639999
91136 44.5 0.00016077744877602
91648 44.75 0.000160727243000722
92160 45 0.000160678850222677
92672 45.25 0.000160632427859302
93184 45.5 0.000160588225962861
93696 45.75 0.000160546429737349
94208 46 0.00016050705724071
94720 46.25 0.000160470052969863
95232 46.5 0.000160435476068042
95744 46.75 0.000160403512262018
96256 47 0.0001603742564179
96768 47.25 0.000160347559498702
97280 47.5 0.000160323178344036
97792 47.75 0.000160301048086281
98304 48 0.000160281322618596
98816 48.25 0.000160264153751174
99328 48.5 0.000160249520781979
99840 48.75 0.00016023730453219
100352 49 0.000160227446216866
100864 49.25 0.0001602199645324
101376 49.5 0.00016021486052921
101888 49.75 0.000160212090534715
102400 50 0.000160211632367251
102912 50.25 0.000160213500000735
103424 50.5 0.000160217654213828
103936 50.75 0.000160223949438494
104448 51 0.000160232230920169
104960 51.25 0.000160242479456732
105472 51.5 0.000160254813159297
105984 51.75 0.000160269324120947
106496 52 0.000160285925816947
107008 52.25 0.000160304373425361
107520 52.5 0.000160324432000144
108032 52.75 0.000160346021834405
108544 53 0.000160369204117056
109056 53.25 0.000160394036461099
109568 53.5 0.000160420455157957
110080 53.75 0.000160448293289997
110592 54 0.000160477382913212
111104 54.25 0.000160507617912283
111616 54.5 0.000160538941540381
112128 54.75 0.000160571312758607
112640 55 0.0001606046796213
113152 55.25 0.000160638946422217
113664 55.5 0.000160673963756076
114176 55.75 0.000160709591613645
114688 56 0.00016074578668634
115200 56.25 0.000160782588982477
115712 56.5 0.000160819993207532
116224 56.75 0.000160857857954556
116736 57 0.000160895977494501
117248 57.25 0.000160934236824869
117760 57.5 0.000160972662985689
118272 57.75 0.000161011311378745
118784 58 0.00016105012191108
119296 58.25 0.000161088914701432
119808 58.5 0.000161127533441413
120320 58.75 0.000161165968031655
120832 59 0.000161204305065327
121344 59.25 0.000161242563662231
121856 59.5 0.000161280624847846
122368 59.75 0.000161318345456717
122880 60 0.000161355701336374
123392 60.25 0.000161392766809763
123904 60.5 0.000161429566875346
124416 60.75 0.000161466009218027
124928 61 0.00016150197313133
125440 61.25 0.000161537404281346
125952 61.5 0.000161572278410808
126464 61.75 0.000161606517407319
126976 62 0.000161640016150232
127488 62.25 0.000161672749225496
128000 62.5 0.00016170477851988
128512 62.75 0.000161736128688774
129024 63 0.000161766720033655
129536 63.25 0.000161796481799659
130048 63.5 0.000161825492215673
130560 63.75 0.000161853934546505
131072 64 0.000161881921751215
131584 64.25 0.000161909421660399
132096 64.5 0.000161936345386359
132608 64.75 0.000161962635375019
133120 65 0.000161988250561166
133632 65.25 0.000162013135077185
134144 65.5 0.000162037239491892
134656 65.75 0.000162060523216067
