# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00512965356521087 -0.00512965376919714 -0.00512965377577155
1024 1 -0.0101396246021126 -0.0101396247439885 -0.0101396246432223
1536 1.5 -0.0151037089378197 -0.0151037102377465 -0.0151037045380351
2048 2 -0.0200728390998806 -0.0200728440060509 -0.020072835396976
2560 2.5 -0.0249573112686065 -0.0249573257287663 -0.0249573226954969
3072 3 -0.0297342885250989 -0.029734323433745 -0.0297343327430507
3584 3.5 -0.0343851945183871 -0.0343852551830508 -0.0343852334983763
4096 4 -0.0388718331110908 -0.0388724626083785 -0.0388719510238041
4608 4.5 -0.042978127057301 -0.0429812213178355 -0.042978393700378
5120 5 -0.0468342701014816 -0.0468417748771472 -0.0468347384528355
5632 5.5 -0.0504198769624199 -0.0504341754022707 -0.0504206194260288
6144 6 -0.0538710419460573 -0.0538257203576625 -0.0538266476814727
6656 6.5 -0.0571279984626067 -0.0570837428681409 -0.0570849720787901
7168 7 -0.060539198175428 -0.0605362873626846 -0.0605367153760593
7680 7.5 -0.063903785779312 -0.0639037880305777 -0.0639037921469879
8192 8 -0.0675853849607264 -0.0675853922892989 -0.0675833057837144
8704 8.5 -0.0711796652265827 -0.0711796842274982 -0.071177433195249
9216 9 -0.0748235729057384 -0.0747865938804367 -0.0748406044567841
9728 9.5 -0.0790157677859944 -0.0789994504128628 -0.0790452887621888
10240 10 -0.0831164850530811 -0.0831252625742681 -0.0831460281069116
10752 10.5 -0.087121438886669 -0.0871510430768294 -0.0871352619699486
11264 11 -0.0910182698208447 -0.0910643735272529 -0.0910014425543724
11776 11.5 -0.0947973728360077 -0.0948573832394368 -0.0947363831582703
12288 12 -0.0984537036174661 -0.0985181892750817 -0.0983327940724887
12800 12.5 -0.102096139971402 -0.102042999417658 -0.102038584393452
13312 13 -0.106252379705944 -0.106174794835833 -0.106179902959133
13824 13.5 -0.110118473171539 -0.110046963055238 -0.110033848602634
14336 14 -0.11385484125945 -0.113786613284121 -0.113758053455902
14848 14.5 -0.117467702544675 -0.117398720232425 -0.117357063470364
15360 15 -0.12093939949009 -0.12086475631747 -0.120813007794554
15872 15.5 -0.124258597792207 -0.124175085666082 -0.124114985319197
16384 16 -0.127417739615727 -0.127335006760518 -0.12725673599267
16896 16.5 -0.130412729434426 -0.130334359524558 -0.130234546644394
17408 17 -0.13324223027011 -0.13315859191788 -0.13304453104536
17920 17.5 -0.135903237545741 -0.135789242346191 -0.135686960044472
18432 18 -0.138363181645894 -0.138241499373871 -0.138164821620564
18944 18.5 -0.140642268911294 -0.140531280246781 -0.140480825980484
19456 19 -0.142765822976477 -0.142665089751836 -0.142638517557477
19968 19.5 -0.144740102325728 -0.144659363636866 -0.144642106576342
20480 20 -0.146568099845757 -0.146511507940732 -0.146494695855095
20992 20.5 -0.148254833955312 -0.148225084109343 -0.148201589566914
21504 21 -0.149810009169156 -0.149809310354156 -0.149773361780034
22016 21.5 -0.151244684066507 -0.151271889719917 -0.151220261401996
22528 22 -0.152572786324537 -0.152620123918405 -0.152559125501207
23040 22.5 -0.15379812157499 -0.153861372742348 -0.15379642337664
23552 23 -0.154927849466787 -0.155005241850823 -0.154940126647941
