# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.023560744353674
512 0.5 0.0235607044909319
1024 1 0.0235606688019095
1536 1.5 0.0235606368976726
2048 2 0.0235606095955331
2560 2.5 0.0235605851435206
3072 3 0.0235605616248175
3584 3.5 0.0235605388627206
4096 4 0.0235605156612076
4608 4.5 0.0235604910629133
5120 5 0.02356046468737
5632 5.5 0.0235604377530681
6144 6 0.0235604095363641
6656 6.5 0.0235603791027546
7168 7 0.0235603477721981
7680 7.5 0.023560316228188
8192 8 0.0235602833026452
8704 8.5 0.0235602477042735
9216 9 0.0235602119775391
9728 9.5 0.0235601773612504
10240 10 0.0235601440929415
10752 10.5 0.0235601118908477
11264 11 0.0235600807774548
11776 11.5 0.0235600509894336
12288 12 0.0235600212719686
12800 12.5 0.0235599905008251
13312 13 0.0235599586143818
13824 13.5 0.0235599257548834
14336 14 0.0235598920683684
14848 14.5 0.0235598574312313
15360 15 0.0235598221060436
15872 15.5 0.0235597858370857
16384 16 0.0235597485088786
16896 16.5 0.0235597104760756
17408 17 0.0235596724048772
17920 17.5 0.0235596343182649
18432 18 0.023559596781142
18944 18.5 0.0235595604286453
19456 19 0.0235595244824173
19968 19.5 0.0235594875829148
20480 20 0.0235594489912253
20992 20.5 0.0235594077262932
21504 21 0.0235593639416399
22016 21.5 0.0235593191415902
22528 22 0.0235592722317867
23040 22.5 0.02355922193211
23552 23 0.0235591667118362
24064 23.5 0.0235591065208402
24576 24 0.0235590437832611
25088 24.5 0.023558980107337
25600 25 0.0235589149946957
26112 25.5 0.0235588475932216
26624 26 0.0235587777727848
27136 26.5 0.0235587059683642
27648 27 0.0235586339606028
28160 27.5 0.0235585621407224
28672 28 0.02355848796972
29184 28.5 0.0235584110300576
29696 29 0.0235583342061862
30208 29.5 0.0235582593563417
30720 30 0.0235581859455766
31232 30.5 0.0235581146168912
31744 31 0.0235580459731021
32256 31.5 0.0235579814138071
32768 32 0.0235579190723621
33280 32.5 0.0235578582086966
33792 33 0.023557799933038
34304 33.5 0.0235577444894942
34816 34 0.0235576887391874
35328 34.5 0.0235576289108478
35840 35 0.0235575641584885
36352 35.5 0.0235574960811103
36864 36 0.0235574258704418
37376 36.5 0.0235573527889838
37888 37 0.0235572755085218
38400 37.5 0.0235571928014067
38912 38 0.0235571035750387
39424 38.5 0.0235570088204003
39936 39 0.0235569092478029
40448 39.5 0.023556805418343
40960 40 0.0235566967107771
41472 40.5 0.0235565823590469
41984 41 0.0235564616334834
42496 41.5 0.0235563342452171
43008 42 0.0235561997739543
43520 42.5 0.0235560583975153
44032 43 0.023555910399013
44544 43.5 0.023555756261385
45056 44 0.0235555966872867
45568 44.5 0.0235554317947111
46080 45 0.0235552620425687
46592 45.5 0.023555088207485
47104 46 0.0235549112548935
47616 46.5 0.0235547315831333
48128 47 0.0235545495817771
48640 47.5 0.0235543660529432
49152 48 0.0235541819314184
49664 48.5 0.0235539981468858
50176 49 0.0235538157971712
50688 49.5 0.0235536359190113
51200 50 0.0235534594977678
51712 50.5 0.0235532875652456
52224 51 0.0235531206906688
52736 51.5 0.0235529592770465
53248 52 0.0235528033684282
53760 52.5 0.0235526533297007
54272 53 0.0235525100235427
54784 53.5 0.0235523737795961
55296 54 0.023552243508113
55808 54.5 0.0235521198574551
56320 55 0.0235520043967954
56832 55.5 0.023551898580202
57344 56 0.0235518042606975
57856 56.5 0.0235517230330308
58368 57 0.0235516533842411
58880 57.5 0.0235515931565634
59392 58 0.0235515397760087
59904 58.5 0.0235514904649513
60416 59 0.0235514443064594
60928 59.5 0.0235514000139482
61440 60 0.0235513557061943
61952 60.5 0.0235513086350179
62464 61 0.0235512558561928
62976 61.5 0.0235511949373626
63488 62 0.0235511237193946
64000 62.5 0.0235510400731649
64512 63 0.0235509430977888
65024 63.5 0.0235508318169618
65536 64 0.023550705097879
66048 64.5 0.0235505640580477
66560 65 0.0235504117872867
67072 65.5 0.0235502486466796
67584 66 0.0235500756244623
68096 66.5 0.0235498922218449
68608 67 0.0235496993085393
69120 67.5 0.0235494977816708
69632 68 0.0235492867227661
70144 68.5 0.0235490655906695
70656 69 0.023548834506205
71168 69.5 0.0235485948589155
71680 70 0.0235483479875299
72192 70.5 0.0235480941292928
72704 71 0.0235478332924651
73216 71.5 0.0235475658325193
73728 72 0.0235472925514439
74240 72.5 0.0235470144062595
74752 73 0.0235467328192619
75264 73.5 0.0235464486310614
75776 74 0.0235461622725291
76288 74.5 0.0235458742414349
76800 75 0.0235455850256022
77312 75.5 0.0235452954091847
77824 76 0.0235450067196946
78336 76.5 0.0235447197696724
78848 77 0.0235444340537768
79360 77.5 0.023544149075178
79872 78 0.023543865586987
80384 78.5 0.0235435845828469
80896 79 0.0235433057928723
81408 79.5 0.023543028346884
81920 80 0.0235427522119778
82432 80.5 0.0235424779458634
82944 81 0.0235422052224459
83456 81.5 0.0235419330172952
83968 82 0.0235416613354638
84480 82.5 0.0235413907670835
84992 83 0.0235411207330041
