# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
129536 126.5 1.0565439957541
130048 127 1.05679785148165
130560 127.5 1.05662099224689
131072 128 1.05577670746847
131584 128.5 1.05588937859114
132096 129 1.0561778740083
132608 129.5 1.05602172182103
133120 130 1.05533914505071
133632 130.5 1.05440420439245
134144 131 1.05526332159056
134656 131.5 1.0551165213704
135168 132 1.05137505449184
135680 132.5 1.05052045922871
136192 133 1.05024400573696
136704 133.5 1.04891772597465
137216 134 1.04657105161356
137728 134.5 1.04678455670445
138240 135 1.04853066783983
138752 135.5 1.05020800009475
139264 136 1.05154595189703
139776 136.5 1.05247716362946
140288 137 1.05321294260588
140800 137.5 1.05403155297725
141312 138 1.05479531816492
141824 138.5 1.05515416383196
142336 139 1.05540592464635
142848 139.5 1.05749339633195
143360 140 1.05922406638828
143872 140.5 1.06056553077623
144384 141 1.06130589908897
144896 141.5 1.06134136547666
145408 142 1.0624214068765
145920 142.5 1.06394850743706
146432 143 1.0651150041781
146944 143.5 1.06546377254656
147456 144 1.06489142399063
147968 144.5 1.06605444600434
148480 145 1.06863321845249
148992 145.5 1.07283101941265
149504 146 1.07628853157268
150016 146.5 1.07758014425309
150528 147 1.07763359197045
151040 147.5 1.07564147553759
151552 148 1.07190935759354
152064 148.5 1.06868286013315
152576 149 1.06671419792707
153088 149.5 1.06372450719379
153600 150 1.06341404618757
154112 150.5 1.06236719408606
154624 151 1.0599268955545
155136 151.5 1.06008257179175
155648 152 1.05993580032055
156160 152.5 1.05928756033613
156672 153 1.05953910343935
157184 153.5 1.0590621402708
157696 154 1.05730024474092
158208 154.5 1.05538229714134
158720 155 1.05569374955205
159232 155.5 1.05611736719859
159744 156 1.05474179396969
160256 156.5 1.05477004549414
160768 157 1.05386245790849
161280 157.5 1.05327439259225
161792 158 1.05070964589336
162304 158.5 1.04662163353729
162816 159 1.04625924560492
163328 159.5 1.04798588443135
163840 160 1.04969224760302
164352 160.5 1.05129491168715
164864 161 1.05257242991274
165376 161.5 1.05337198079446
165888 162 1.05398706142417
166400 162.5 1.05452514261272
166912 163 1.05580759370651
167424 163.5 1.05638534626104
167936 164 1.05626532117208
168448 164.5 1.05515624046554
168960 165 1.05598133073066
169472 165.5 1.05756017572212
169984 166 1.05871984287276
170496 166.5 1.05969951841127
171008 167 1.06041648675797
171520 167.5 1.06055591053292
172032 168 1.06021741493045
172544 168.5 1.06172032745656
173056 169 1.06349858743201
173568 169.5 1.06478604719102
174080 170 1.06550648265646
174592 170.5 1.06675874821436
175104 171 1.06929259013266
175616 171.5 1.07043320747877
176128 172 1.07341541456765
176640 172.5 1.07719063550487
177152 173 1.07999222810885
177664 173.5 1.0799203215215
178176 174 1.07767107886099
178688 174.5 1.07664264831289
179200 175 1.07432346730518
179712 175.5 1.07159381442554
180224 176 1.06763955182708
180736 176.5 1.06659984940808
181248 177 1.06426478985183
181760 177.5 1.06520285245001
182272 178 1.06449743537532
182784 178.5 1.06369328174504
183296 179 1.06297536961746
183808 179.5 1.06269991263034
184320 180 1.06124812346302
184832 180.5 1.06106816508134
185344 181 1.06077733069396
185856 181.5 1.05902365520236
186368 182 1.05988144478958
186880 182.5 1.05713504920749
187392 183 1.05619747223893
187904 183.5 1.05587861260575
188416 184 1.05476394375223
188928 184.5 1.05230084375372
189440 185 1.04984788626674
189952 185.5 1.04754255879975
190464 186 1.04850836811575
190976 186.5 1.05017588884737
191488 187 1.05182062722223
192000 187.5 1.0533254193905
192512 188 1.05442774633185
193024 188.5 1.05512480656535
193536 189 1.05561341980578
194048 189.5 1.05583355968367
194560 190 1.05573601352931
195072 190.5 1.05684544070345
195584 191 1.05802987614238
196096 191.5 1.05888911068552
196608 192 1.0581574288398
197120 192.5 1.05789704275706
197632 193 1.05943675607707
198144 193.5 1.06078419461682
198656 194 1.06174276871355
199168 194.5 1.06261556682446
199680 195 1.06312153147373
200192 195.5 1.06282358367729
200704 196 1.06280940452632
201216 196.5 1.06474174301805
201728 197 1.06643725348362
202240 197.5 1.0678652316873
202752 198 1.06945060055083
203264 198.5 1.07247609297324
203776 199 1.07400629216896
204288 199.5 1.07652243264973
204800 200 1.0803375773077
205312 200.5 1.08378451678633
205824 201 1.08584725011066
206336 201.5 1.08593749518488
206848 202 1.0844860525503
207360 202.5 1.07804664052252
207872 203 1.07323397560723
208384 203.5 1.0718359791775
208896 204 1.07023590981379
209408 204.5 1.0690496033637
209920 205 1.06846970414628
210432 205.5 1.06904439022063
210944 206 1.06865337611444
211456 206.5 1.06856778479909
211968 207 1.06766292911601
212480 207.5 1.06594787234317
212992 208 1.06607860694464
213504 208.5 1.06387019662928
214016 209 1.06222166836009
214528 209.5 1.06203341238574
215040 210 1.06081864819851
215552 210.5 1.05940567525298
216064 211 1.05843049384232
216576 211.5 1.05683112812299
217088 212 1.05710009662408
217600 212.5 1.05512068914883
218112 213 1.05230196972967
218624 213.5 1.05213337887201
219136 214 1.05280908145822
219648 214.5 1.05362894465246
220160 215 1.05461616015062
220672 215.5 1.05573687528552
221184 216 1.05691968380618
221696 216.5 1.0578824685623
222208 217 1.05884014076434
222720 217.5 1.05908771117374
223232 218 1.05884165404994
223744 218.5 1.05828655781026
224256 219 1.05878263795989
224768 219.5 1.0600842359293
225280 220 1.0611012278363
225792 220.5 1.0613794763513
226304 221 1.06056977856786
226816 221.5 1.0621761073418
227328 222 1.06339718328146
227840 222.5 1.06441178404562
228352 223 1.06525836110857
228864 223.5 1.0657005188831
229376 224 1.06512431606444
229888 224.5 1.06656287692627
230400 225 1.06852559929307
230912 225.5 1.07020834354606
231424 226 1.0711288186441
231936 226.5 1.0712499347391
232448 227 1.07172894058696
232960 227.5 1.07482000537744
233472 228 1.07636623102173
233984 228.5 1.07882651466787
234496 229 1.08251808189624
235008 229.5 1.0860722849048
235520 230 1.08818133081366
236032 230.5 1.08751015321496
236544 231 1.08521987387369
237056 231.5 1.07920360457411
237568 232 1.07544702975906
238080 232.5 1.07473410063491
238592 233 1.07379501647104
239104 233.5 1.07152426316637
239616 234 1.07050781783282
240128 234.5 1.07114001911358
240640 235 1.07163236770966
241152 235.5 1.07205906807287
241664 236 1.07140081473017
242176 236.5 1.07057753345973
242688 237 1.06962733914567
243200 237.5 1.07092493481718
243712 238 1.0712302818144
244224 238.5 1.06857653165994
244736 239 1.0655167074248
245248 239.5 1.06441658605009
245760 240 1.06322912590461
246272 240.5 1.06209959256216
246784 241 1.05878330171043
247296 241.5 1.05886870403101
247808 242 1.05953422018179
248320 242.5 1.05968117714398
248832 243 1.05986556597698
249344 243.5 1.06010060550389
249856 244 1.06020641958221
250368 244.5 1.06012401728
250880 245 1.05978070727152
251392 245.5 1.05926850668639
251904 246 1.05859618561857
252416 246.5 1.05979271761555
252928 247 1.06093011707452
253440 247.5 1.06181803611666
253952 248 1.06166363575508
254464 248.5 1.06121378468855
254976 249 1.06047642517732
255488 249.5 1.06195864886721
256000 250 1.0638251025875
256512 250.5 1.06555577771966
257024 251 1.06685071510741
257536 251.5 1.06794007418894
258048 252 1.06868307704608
258560 252.5 1.06855949489372
259072 253 1.07041345155512
259584 253.5 1.07247625720402
260096 254 1.07412047179123
260608 254.5 1.07516742305754
261120 255 1.07528858197087
261632 255.5 1.07621973766068
262144 256 1.07922522062482
262656 256.5 1.08043571827461
263168 257 1.08352701530434
263680 257.5 1.08745123252707
264192 258 1.09094311477169
264704 258.5 1.0928588542433
265216 259 1.09163677832574
265728 259.5 1.08887234524985
266240 260 1.08188887765637
266752 260.5 1.07837731157772
267264 261 1.0782027018514
267776 261.5 1.07673268964938
268288 262 1.07539479538309
268800 262.5 1.07414897750456
269312 263 1.07302502286607
269824 263.5 1.07215720480827
270336 264 1.07183994910996
270848 264.5 1.0721921920858
271360 265 1.07305963377349
271872 265.5 1.07456211740993
272384 266 1.07550816680539
272896 266.5 1.07538676113503
273408 267 1.07350048660236
273920 267.5 1.07376860653823
274432 268 1.07377549566817
274944 268.5 1.07178943037678
275456 269 1.07139985600361
275968 269.5 1.06923771491743
276480 270 1.06745418226892
276992 270.5 1.06599003447518
277504 271 1.06695009437535
278016 271.5 1.06790871988586
278528 272 1.06810246883501
279040 272.5 1.06843232490748
279552 273 1.06859366307733
280064 273.5 1.06826214049816
280576 274 1.06734382388327
281088 274.5 1.06582906194005
281600 275 1.06524406279302
282112 275.5 1.06536966222884
282624 276 1.06526727483433
283136 276.5 1.06490186206209
283648 277 1.06504111783881
284160 277.5 1.06588932134992
284672 278 1.06679781909208
285184 278.5 1.06768382628866
285696 279 1.06846831725624
286208 279.5 1.06914651841941
286720 280 1.06941657000018
287232 280.5 1.0704153101245
287744 281 1.07115441293906
288256 281.5 1.071560285542
288768 282 1.07251928854234
289280 282.5 1.07427434934227
289792 283 1.07587585151811
290304 283.5 1.07689225475159
290816 284 1.07742638117872
291328 284.5 1.0772098731857
291840 285 1.08058821414334
292352 285.5 1.08266222606712
292864 286 1.0852048198061
293376 286.5 1.08928666969619
293888 287 1.09313235218672
294400 287.5 1.0963196724893
294912 288 1.09648843483499
295424 288.5 1.09407694582528
295936 289 1.09026190021782
296448 289.5 1.08474142153738
296960 290 1.08202916166017
297472 290.5 1.08203991926578
297984 291 1.08119206871821
298496 291.5 1.07892118622359
299008 292 1.07860429269179
299520 292.5 1.07756482943705
300032 293 1.07709947063257
300544 293.5 1.07534536371645
301056 294 1.07464617560307
301568 294.5 1.07397232798703
302080 295 1.07458561695693
302592 295.5 1.07473501038964
303104 296 1.07456667097545
303616 296.5 1.07360654255339
304128 297 1.07387760345477
304640 297.5 1.07439271682455
305152 298 1.07458514091943
305664 298.5 1.07549494716007
306176 299 1.07538884789627
306688 299.5 1.0730161816475
307200 300 1.0725442751173
307712 300.5 1.07265439743747
308224 301 1.0720791280606
308736 301.5 1.0727788656099
309248 302 1.07290210140271
309760 302.5 1.07277388281199
310272 303 1.07266105636882
310784 303.5 1.07200826683994
311296 304 1.07094671963821
311808 304.5 1.07217710420741
312320 305 1.07313876549874
312832 305.5 1.07328708056182
313344 306 1.07303925896779
313856 306.5 1.07231282431999
314368 307 1.07107692021426
314880 307.5 1.07060464850041
315392 308 1.0712724345309
315904 308.5 1.07187407978578
316416 309 1.07259925228774
316928 309.5 1.07354236011496
317440 310 1.07429084857067
317952 310.5 1.07487391867579
318464 311 1.07504281489614
318976 311.5 1.07595418430098
319488 312 1.07669275450708
320000 312.5 1.07722680439498
320512 313 1.07753386104271
321024 313.5 1.07887177165351
321536 314 1.08077693796613
322048 314.5 1.08218058902837
322560 315 1.08311621317802
323072 315.5 1.08303900403082
323584 316 1.08398600873229
324096 316.5 1.08739049879461
324608 317 1.08913282715743
325120 317.5 1.08951305852525
325632 318 1.08860975121261
326144 318.5 1.08441530010669
326656 319 1.0841768033479
327168 319.5 1.08233949700165
327680 320 1.07992659015565
328192 320.5 1.0802608341216
328704 321 1.08006417798115
329216 321.5 1.07935945402837
329728 322 1.07749634703427
330240 322.5 1.07777748793883
330752 323 1.07845098273499
331264 323.5 1.07848907163383
331776 324 1.07838141899216
332288 324.5 1.07988316059949
332800 325 1.08193844939985
333312 325.5 1.08426250541456
333824 326 1.08611026558825
334336 326.5 1.08762888822723
334848 327 1.08882682021307
335360 327.5 1.08927948500441
335872 328 1.08729315015279
336384 328.5 1.07924188996307
336896 329 1.0785078799977
337408 329.5 1.07930117000572
337920 330 1.07916786291135
338432 330.5 1.07863699810249
338944 331 1.07801235100464
339456 331.5 1.07682993946041
339968 332 1.07700679191899
340480 332.5 1.07551418104515
340992 333 1.07631929343746
341504 333.5 1.0759789129739
342016 334 1.07523552859994
342528 334.5 1.07600166399297
343040 335 1.07761143894936
343552 335.5 1.07908694697205
344064 336 1.0804700758745
344576 336.5 1.08176634500935
345088 337 1.0829926158678
345600 337.5 1.08395476285202
