# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
155136 151.5 0.127039236218768
155648 152 0.127030250522479
156160 152.5 0.12702161605342
156672 153 0.127013483720971
157184 153.5 0.127006163664099
157696 154 0.126999402906992
158208 154.5 0.126992941226577
158720 155 0.126986889518704
159232 155.5 0.126981464143856
159744 156 0.126976532636501
160256 156.5 0.12697181845959
160768 157 0.126967490036497
161280 157.5 0.126963630356308
161792 158 0.126960108524146
162304 158.5 0.126956848729848
162816 159 0.12695392416075
163328 159.5 0.12695133396686
163840 160 0.126948939100406
164352 160.5 0.126946836768542
164864 161 0.126945074997555
165376 161.5 0.126943482663667
165888 162 0.12694201745859
166400 162.5 0.126940833519471
166912 163 0.126939869992303
167424 163.5 0.126938991172652
167936 164 0.126938210481355
168448 164.5 0.126937574883326
168960 165 0.12693705110968
169472 165.5 0.126936514845736
169984 166 0.126935900673184
170496 166.5 0.126935315223737
171008 167 0.126934748165341
171520 167.5 0.12693399030608
172032 168 0.126932985318206
172544 168.5 0.126931854261633
173056 169 0.126930600106006
173568 169.5 0.126929100983067
174080 170 0.126927229667899
174592 170.5 0.126925009847901
175104 171 0.126922660305741
175616 171.5 0.126920100349531
176128 172 0.126916980577193
176640 172.5 0.126913461336833
177152 173 0.126909850034257
177664 173.5 0.12690599353261
178176 174 0.126901532296945
178688 174.5 0.126896609178641
179200 175 0.126891587436939
179712 175.5 0.126886254239585
180224 176 0.126880378457477
180736 176.5 0.126873996542749
181248 177 0.126867347333023
181760 177.5 0.126860487913635
182272 178 0.126853113034139
182784 178.5 0.126845209955899
183296 179 0.12683700863641
183808 179.5 0.1268285335071
184320 180 0.126819720941287
184832 180.5 0.12681043614757
185344 181 0.126800795440944
185856 181.5 0.126790942086303
186368 182 0.126780801091275
186880 182.5 0.12677037449968
187392 183 0.126759649330068
187904 183.5 0.126748654142274
188416 184 0.126737524591773
188928 184.5 0.126726272497293
189440 185 0.126714762192862
189952 185.5 0.126703062495957
190464 186 0.126691347428158
190976 186.5 0.126679584888052
191488 187 0.126667754513227
192000 187.5 0.126655842311337
192512 188 0.126643910416235
193024 188.5 0.126632180426428
193536 189 0.126620569487178
194048 189.5 0.126608897821884
194560 190 0.126597366349841
195072 190.5 0.126586177802275
195584 191 0.126575273412378
196096 191.5 0.126564518770229
196608 192 0.126553922801726
197120 192.5 0.12654375352107
197632 193 0.126534121160936
198144 193.5 0.126524764021776
198656 194 0.126515566716806
199168 194.5 0.126506916586212
199680 195 0.126498970728486
200192 195.5 0.126491326466339
200704 196 0.126483922817582
201216 196.5 0.126477172035631
201728 197 0.126471114874647
202240 197.5 0.126465399536287
202752 198 0.126460025593779
203264 198.5 0.126455277576938
203776 199 0.126451136015228
204288 199.5 0.126447412139449
204800 200 0.126444026709957
205312 200.5 0.126441116151401
205824 201 0.12643876840752
206336 201.5 0.126436808178691
206848 202 0.126435100117616
207360 202.5 0.126433762498213
207872 203 0.126432843187887
208384 203.5 0.126432198765841
208896 204 0.126431819177989
209408 204.5 0.126431679383456
209920 205 0.126431706149618
210432 205.5 0.126432006049616
210944 206 0.126432530148546
211456 206.5 0.126433130231218
211968 207 0.126433874808866
212480 207.5 0.126434794507854
212992 208 0.126435829875305
213504 208.5 0.12643701331872
214016 209 0.126438253214863
214528 209.5 0.126439550439324
215040 210 0.126441024745532
215552 210.5 0.126442634916088
216064 211 0.126444280832836
216576 211.5 0.126445958317253
217088 212 0.12644778154122
217600 212.5 0.126449827469106
218112 213 0.12645196539702
218624 213.5 0.126454121085019
219136 214 0.126456447885109
219648 214.5 0.126459094927786
220160 215 0.12646193632555
220672 215.5 0.126464827429761
221184 216 0.12646796014041
221696 216.5 0.126471572521932
222208 217 0.126475432026784
222720 217.5 0.12647935434462
223232 218 0.126483653739512
223744 218.5 0.12648849203694
224256 219 0.126493603325359
224768 219.5 0.126498837689853
225280 220 0.126504442108875
225792 220.5 0.126510546395581
226304 221 0.126516962514139
226816 221.5 0.126523517632308
227328 222 0.126530327639476
227840 222.5 0.126537532760029
228352 223 0.126545003517776
228864 223.5 0.126552557485683
229376 224 0.126560176129244
229888 224.5 0.126567962700023
230400 225 0.126575915398476
230912 225.5 0.126583768774009
231424 226 0.126591445687627
231936 226.5 0.126599087962586
232448 227 0.126606613207732
232960 227.5 0.126613883900948
233472 228 0.126620822261784
233984 228.5 0.1266274092642
234496 229 0.126633671108017
235008 229.5 0.12663951105245
235520 230 0.126644859807691
236032 230.5 0.126649689054422
236544 231 0.126653963537559
237056 231.5 0.126657695862906
237568 232 0.126660879147889
238080 232.5 0.126663464228505
238592 233 0.126665400552653
239104 233.5 0.126666758702829
239616 234 0.126667651998782
240128 234.5 0.126667981217722
240640 235 0.126667694196765
241152 235.5 0.126666937951417
241664 236 0.12666584282473
242176 236.5 0.126664363593547
242688 237 0.126662373636297
243200 237.5 0.126660012906785
243712 238 0.126657549671712
244224 238.5 0.126654895789003
244736 239 0.126651798780337
245248 239.5 0.126648472317953
245760 240 0.126645245090739
246272 240.5 0.1266419475207
246784 241 0.126638347766047
247296 241.5 0.126634683282078
247808 242 0.126631221249845
248320 242.5 0.126627829527851
248832 243 0.126624369955354
249344 243.5 0.126620979084074
249856 244 0.12661784064162
250368 244.5 0.12661497681534
250880 245 0.12661223382387
251392 245.5 0.126609634366568
251904 246 0.12660737792948
252416 246.5 0.126605496261666
252928 247 0.126603886055161
253440 247.5 0.126602486928181
253952 248 0.126601425138438
254464 248.5 0.126600795628446
254976 249 0.126600517695373
255488 249.5 0.126600482482633
256000 250 0.12660073257453
256512 250.5 0.126601402735991
257024 251 0.126602409619863
257536 251.5 0.126603631126683
258048 252 0.126605130069806
258560 252.5 0.126606900808933
259072 253 0.126608876657972
259584 253.5 0.126611061133655
260096 254 0.126613415590538
260608 254.5 0.126615837153261
261120 255 0.126618319275476
261632 255.5 0.126620918483167
262144 256 0.12662355248951
262656 256.5 0.126626064313991
263168 257 0.126628452800876
263680 257.5 0.126630829775183
264192 258 0.126633137262895
264704 258.5 0.126635154381055
265216 259 0.126636891682504
265728 259.5 0.126638531360701
266240 260 0.126640020941826
266752 260.5 0.126641153018498
267264 261 0.126641908599787
267776 261.5 0.126642519695999
268288 262 0.126643021231235
268800 262.5 0.126643127704654
269312 263 0.126642851336309
269824 263.5 0.126642483418295
270336 264 0.1266420163285
270848 264.5 0.126641238957405
271360 265 0.126640176468355
271872 265.5 0.126639013496815
272384 266 0.126637825496793
272896 266.5 0.126636489522968
273408 267 0.126634895590382
273920 267.5 0.126633222220707
274432 268 0.126631614401945
274944 268.5 0.1266299093281
275456 269 0.126628011152337
275968 269.5 0.126626058920273
276480 270 0.126624169118677
276992 270.5 0.126622265232202
277504 271 0.126620216917404
278016 271.5 0.126618116450055
278528 272 0.126616094635225
279040 272.5 0.126614101027296
279552 273 0.126612016889766
280064 273.5 0.126609912366459
280576 274 0.126607898119882
281088 274.5 0.126605903502102
281600 275 0.126603902720467
282112 275.5 0.126601946826625
282624 276 0.126600038979873
283136 276.5 0.126598160762354
283648 277 0.126596338372014
284160 277.5 0.126594597062286
284672 278 0.126592869043042
285184 278.5 0.126591134739909
285696 279 0.12658948023494
286208 279.5 0.126587908533351
286720 280 0.126586282948116
287232 280.5 0.126584566595911
287744 281 0.126582878805713
288256 281.5 0.126581232912611
288768 282 0.126579438269869
289280 282.5 0.126577401908445
289792 283 0.126575289610315
290304 283.5 0.126573146698541
290816 284 0.126570716296894
291328 284.5 0.12656789942767
291840 285 0.126564873685708
292352 285.5 0.126561675931971
292864 286 0.126558095757963
293376 286.5 0.12655402263098
293888 287 0.126549591136939
294400 287.5 0.126544890097571
294912 288 0.126539780541186
295424 288.5 0.12653413093447
295936 289 0.126528035630848
296448 289.5 0.12652164299906
296960 290 0.126514889141078
297472 290.5 0.126507617019787
297984 291 0.126499896084399
298496 291.5 0.126491908183343
299008 292 0.126483652449644
299520 292.5 0.12647498331405
300032 293 0.126465919207384
300544 293.5 0.126456659614981
301056 294 0.126447246624271
301568 294.5 0.126437540513749
302080 295 0.126427548021942
302592 295.5 0.126417457383323
303104 296 0.126407289202562
303616 296.5 0.126396940488002
304128 297 0.126386483415442
304640 297.5 0.12637599274122
305152 298 0.126365461551141
305664 298.5 0.126354920284727
306176 299 0.126344395627003
306688 299.5 0.126333920314496
307200 300 0.12632347675641
307712 300.5 0.12631313328536
308224 301 0.126302995233845
308736 301.5 0.126292972699529
309248 302 0.126283050636848
309760 302.5 0.12627338410712
310272 303 0.12626403309126
310784 303.5 0.12625491216811
311296 304 0.126245982770367
311808 304.5 0.12623737068955
312320 305 0.126229194275124
312832 305.5 0.126221373147078
313344 306 0.126213787195516
313856 306.5 0.126206549144551
314368 307 0.126199835801858
314880 307.5 0.126193551691235
315392 308 0.126187522346512
315904 308.5 0.126181834855979
316416 309 0.126176666663013
316928 309.5 0.126171937318389
317440 310 0.126167450186305
317952 310.5 0.126163227941638
318464 311 0.126159435648141
318976 311.5 0.126156038952952
319488 312 0.126152799776367
320000 312.5 0.12614969464273
320512 313 0.126146886065854
321024 313.5 0.126144330557576
321536 314 0.12614183472448
322048 314.5 0.126139331514198
322560 315 0.126136922409487
323072 315.5 0.126134643082075
323584 316 0.126132314813841
324096 316.5 0.126129820698766
324608 317 0.12612727810136
325120 317.5 0.126124730839089
325632 318 0.126122012008608
326144 318.5 0.12611905401149
326656 319 0.126115954902003
327168 319.5 0.126112709133605
327680 320 0.126109246803684
328192 320.5 0.12610555272468
328704 321 0.126101660270975
329216 321.5 0.126097569073449
329728 322 0.126093251857927
330240 322.5 0.126088770876328
330752 323 0.126084119418721
331264 323.5 0.126079233948165
331776 324 0.126074189088663
332288 324.5 0.126069072667578
332800 325 0.126063847034779
333312 325.5 0.126058444259954
333824 326 0.126052940172136
334336 326.5 0.126047484470645
334848 327 0.126042025095545
335360 327.5 0.126036462529534
335872 328 0.126030892270299
336384 328.5 0.126025438629067
336896 329 0.126020094353831
337408 329.5 0.126014766405816
337920 330 0.126009459940371
338432 330.5 0.126004331829239
338944 331 0.125999444222308
339456 331.5 0.125994651668096
339968 332 0.125989907769332
340480 332.5 0.125985400996256
340992 333 0.125981211957669
341504 333.5 0.125977172658213
342016 334 0.125973217018474
342528 334.5 0.125969504589891
343040 335 0.125966137650116
343552 335.5 0.125962978533442
344064 336 0.125959905789336
344576 336.5 0.125957057225237
345088 337 0.125954561693524
345600 337.5 0.125952288795222
346112 338 0.125950108562604
346624 338.5 0.1259481273069
347136 339 0.12594646204299
347648 339.5 0.125945013458452
348160 340 0.125943655483343
348672 340.5 0.12594245836585
349184 341 0.125941511032564
349696 341.5 0.125940727115129
350208 342 0.125940024623546
350720 342.5 0.125939444520331
351232 343 0.12593900196211
351744 343.5 0.125938656120986
352256 344 0.12593838084563
352768 344.5 0.125938167734153
353280 345 0.125937981998299
353792 345.5 0.125937807956495
354304 346 0.125937677870579
354816 346.5 0.12593755602761
355328 347 0.12593735890563
355840 347.5 0.125937101814123
356352 348 0.125936846977989
356864 348.5 0.125936561971466
357376 349 0.12593615643626
357888 349.5 0.125935622950209
358400 350 0.12593504038706
358912 350.5 0.125934438419483
359424 351 0.125933705366159
359936 351.5 0.125932780462851
360448 352 0.125931791993746
360960 352.5 0.125930808974916
361472 353 0.125929708047756
361984 353.5 0.125928411590864
362496 354 0.12592703812667
363008 354.5 0.125925719890569
363520 355 0.125924350582926
364032 355.5 0.125922800893754
364544 356 0.125921208287704
365056 356.5 0.125919735717425
365568 357 0.125918288266732
366080 357.5 0.125916734519327
366592 358 0.12591518135836
367104 358.5 0.125913792379409
367616 359 0.125912524405762
368128 359.5 0.125911236141956
368640 360 0.125909983686632
369152 360.5 0.125908949699672
369664 361 0.125908109198567
370176 361.5 0.125907322015746
370688 362 0.125906639193511
371200 362.5 0.125906196596243
371712 363 0.1259059825887
372224 363.5 0.125905900171744
372736 364 0.12590596999913
373248 364.5 0.125906280863051
373760 365 0.125906818439451
374272 365.5 0.125907530582506
374784 366 0.125908436422435
375296 366.5 0.125909550254008
375808 367 0.125910849070159
376320 367.5 0.125912349961655
376832 368 0.125914054096308
377344 368.5 0.12591590378753
377856 369 0.125917894298694
378368 369.5 0.125920069283151
378880 370 0.125922418401677
379392 370.5 0.125924873448765
379904 371 0.125927404002344
380416 371.5 0.125930067350973
380928 372 0.125932873012979
