# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.5 0.000163659275378879
1024 1 0.000163519895732393
1536 1.5 0.000163456054508607
2048 2 0.000163462212187225
2560 2.5 0.000163509183123012
3072 3 0.000163565430849022
3584 3.5 0.000163608890945712
4096 4 0.00016363124612831
4608 4.5 0.000163634991840698
5120 5 0.000163628314707446
5632 5.5 0.000163620579043488
6144 6 0.000163617957889764
6656 6.5 0.000163622309988393
7168 7 0.000163632530240669
7680 7.5 0.000163645507647773
8192 8 0.000163658691460117
8704 8.5 0.000163670895457976
9216 9 0.000163682564717591
9728 9.5 0.000163692145450062
10240 10 0.000163699003986987
10752 10.5 0.000163708697986552
11264 11 0.000163721670868022
11776 11.5 0.000163736503740707
12288 12 0.000163751138469221
12800 12.5 0.000163764511905269
13312 13 0.000163779088253518
13824 13.5 0.00016379567675473
14336 14 0.000163813029571411
14848 14.5 0.000163829536117187
15360 15 0.000163845862430723
15872 15.5 0.000163862095148675
16384 16 0.000163876715928771
16896 16.5 0.000163890101984955
17408 17 0.000163900957804277
17920 17.5 0.000163909546345147
18432 18 0.00016391643766389
18944 18.5 0.000163921061979534
19456 19 0.000163922589882961
19968 19.5 0.00016392191219616
20480 20 0.00016391977626438
20992 20.5 0.000163916105400629
21504 21 0.000163912301498375
22016 21.5 0.00016390864100752
22528 22 0.00016390577012331
23040 22.5 0.000163902841125717
23552 23 0.000163897832385096
24064 23.5 0.000163887842143259
24576 24 0.000163872550937819
25088 24.5 0.000163854290585138
25600 25 0.000163836442416427
26112 25.5 0.000163821294217059
26624 26 0.000163808341750812
27136 26.5 0.000163795429900163
27648 27 0.000163780392760641
28160 27.5 0.000163763671844876
28672 28 0.000163747329216739
29184 28.5 0.000163731470255373
29696 29 0.000163715008283928
30208 29.5 0.000163695856346193
30720 30 0.000163672814046755
31232 30.5 0.000163648088503199
31744 31 0.000163623939898047
32256 31.5 0.000163598679535403
32768 32 0.000163569570504152
33280 32.5 0.000163536824332632
33792 33 0.000163500739781503
34304 33.5 0.000163461206621424
34816 34 0.0001634170753021
35328 34.5 0.000163368267518371
35840 35 0.000163316380890219
36352 35.5 0.000163262128898594
36864 36 0.000163206028900488
37376 36.5 0.000163147402276399
37888 37 0.000163082173838571
38400 37.5 0.000163002342672514
38912 38 0.000162901630203684
39424 38.5 0.00016277878568146
39936 39 0.000162643406064202
40448 39.5 0.000162496771728495
40960 40 0.000162337829743615
41472 40.5 0.000162165652449003
41984 41 0.000161980531743379
42496 41.5 0.000161782357159172
43008 42 0.000161572536496709
43520 42.5 0.000161349501210332
44032 43 0.000161120693736823
44544 43.5 0.000160897304427268
45056 44 0.000160687864001449
45568 44.5 0.00016049506320109
46080 45 0.000160318522029472
46592 45.5 0.000160160083483835
47104 46 0.000160021436864812
47616 46.5 0.000159906929571607
48128 47 0.000159829866565496
48640 47.5 0.000159782877208033
49152 48 0.000159757691638281
49664 48.5 0.000159748079032284
50176 49 0.000159750452737788
50688 49.5 0.000159761535888898
51200 50 0.000159779455784938
51712 50.5 0.000159804442245056
52224 51 0.000159835123071306
52736 51.5 0.000159870925739884
53248 52 0.000159912308136244
53760 52.5 0.000159959351897876
54272 53 0.000160011162051388
54784 53.5 0.000160066319950803
55296 54 0.000160124973588649
55808 54.5 0.000160187229699746
56320 55 0.000160251558104306
56832 55.5 0.000160316560907737
57344 56 0.00016038193400149
57856 56.5 0.000160449163563568
58368 57 0.000160517069813134
58880 57.5 0.000160584054383209
59392 58 0.0001606497632872
59904 58.5 0.000160714961955192
60416 59 0.000160780866606478
60928 59.5 0.000160846991127909
61440 60 0.000160912968301743
61952 60.5 0.000160979542785958
62464 61 0.000161046148225201
62976 61.5 0.000161112250911258
63488 62 0.000161176874166186
64000 62.5 0.000161239298553877
64512 63 0.000161299595387177
65024 63.5 0.000161358137451067
65536 64 0.000161414621776989
66048 64.5 0.000161469399658435
66560 65 0.000161523606990359
67072 65.5 0.000161576646607662
67584 66 0.000161627880290189
68096 66.5 0.000161676861494635
68608 67 0.000161724403602567
69120 67.5 0.000161771232337203
69632 68 0.000161817296034572
70144 68.5 0.000161862502821465
70656 69 0.000161905478906633
71168 69.5 0.000161943713783951
71680 70 0.000161977159946526
72192 70.5 0.000162006579150701
72704 71 0.00016203239564648
73216 71.5 0.000162054693067733
73728 72 0.0001620722803263
74240 72.5 0.000162083872417655
74752 73 0.000162088510334672
75264 73.5 0.000162087077751726
75776 74 0.000162081487818491
76288 74.5 0.00016207240327326
76800 75 0.000162058031470787
77312 75.5 0.000162037420849498
77824 76 0.000162012144901299
78336 76.5 0.000161983544629301
78848 77 0.000161952257033927
79360 77.5 0.000161918622046781
79872 78 0.000161882799717172
80384 78.5 0.000161844995077245
80896 79 0.000161805114352241
81408 79.5 0.000161764991823744
81920 80 0.000161726806104027
82432 80.5 0.000161689817706273
82944 81 0.000161652362316546
83456 81.5 0.000161614890878468
83968 82 0.000161579549856398
84480 82.5 0.000161547535175295
84992 83 0.000161517293228768
85504 83.5 0.00016148720007808
86016 84 0.000161457939392894
86528 84.5 0.000161430985106911
87040 85 0.000161406581507767
87552 85.5 0.000161383284854059
88064 86 0.000161360395287843
88576 86.5 0.000161338603856508
89088 87 0.00016131868123689
89600 87.5 0.000161300236173652
90112 88 0.000161282872702106
90624 88.5 0.000161266683823776
91136 89 0.000161251458197956
91648 89.5 0.000161237360170372
92160 90 0.000161225026813504
92672 90.5 0.000161214398561359
93184 91 0.000161204590337461
93696 91.5 0.000161195528661693
94208 92 0.000161188380217941
94720 92.5 0.000161182823742774
95232 93 0.000161178312158375
95744 93.5 0.000161174900138755
96256 94 0.00016117316386665
96768 94.5 0.000161172803215008
97280 95 0.000161173393689753
97792 95.5 0.000161175556030839
98304 96 0.000161179345751806
98816 96.5 0.000161184302646256
99328 97 0.000161190599626209
99840 97.5 0.000161198469973201
100352 98 0.000161207957545525
100864 98.5 0.000161218812035625
101376 99 0.000161231000550261
101888 99.5 0.000161244944028883
102400 100 0.000161260851433019
102912 100.5 0.000161278156567904
103424 101 0.000161296436740908
103936 101.5 0.000161316766982976
104448 102 0.00016133927619142
104960 102.5 0.000161363120410522
105472 103 0.000161387786957835
105984 103.5 0.000161413705749415
106496 104 0.00016144170916034
107008 104.5 0.000161471028775247
107520 105 0.000161500606508562
108032 105.5 0.000161531007145534
108544 106 0.000161562789006604
109056 106.5 0.000161595656680329
109568 107 0.000161628774876435
110080 107.5 0.000161661840563888
110592 108 0.000161695645345401
111104 108.5 0.000161730423371696
111616 109 0.000161765162979869
112128 109.5 0.00016179953881401
112640 110 0.000161834558145275
113152 110.5 0.000161870552051481
113664 111 0.000161906638273265
114176 111.5 0.000161942239446074
114688 112 0.000161978344572936
115200 112.5 0.000162015068328503
115712 113 0.000162051606392925
116224 113.5 0.000162088051444713
116736 114 0.000162124938026865
117248 114.5 0.000162162061379238
117760 115 0.000162199079934752
118272 115.5 0.000162235920963411
118784 116 0.000162272562410185
119296 116.5 0.000162308740900481
119808 117 0.000162344766221827
120320 117.5 0.000162381014439145
120832 118 0.000162416426544927
121344 118.5 0.000162450582168868
121856 119 0.00016248435447579
122368 119.5 0.000162517861782034
122880 120 0.000162550464683428
123392 120.5 0.000162581619367482
123904 121 0.00016261177919956
124416 121.5 0.000162641589140512
124928 122 0.00016267006368773
125440 122.5 0.000162696713008237
125952 123 0.00016272218693487
126464 123.5 0.000162747073446577
126976 124 0.000162770708883981
127488 124.5 0.000162792179713065
128000 125 0.000162811811408202
128512 125.5 0.000162830209431854
129024 126 0.000162847513862746
129536 126.5 0.000162862550606793
130048 127 0.000162874774616922
130560 127.5 0.000162885349014502
131072 128 0.000162894235596074
131584 128.5 0.000162900556729097
132096 129 0.000162903928254485
132608 129.5 0.000162905030742261
133120 130 0.000162903949788855
133632 130.5 0.000162900049111045
134144 131 0.000162893117229679
134656 131.5 0.000162883496842632
135168 132 0.000162871667832845
135680 132.5 0.000162857115024758
136192 133 0.00016283913582384
136704 133.5 0.000162818507880057
137216 134 0.000162795687107031
137728 134.5 0.000162770080176692
138240 135 0.000162741641690011
138752 135.5 0.000162710568647789
139264 136 0.000162677020198379
139776 136.5 0.000162641211753646
140288 137 0.000162603327348529
140800 137.5 0.000162563262412134
141312 138 0.000162520971258051
141824 138.5 0.000162476857697936
142336 139 0.000162431597017701
142848 139.5 0.000162385203156457
143360 140 0.000162337158780974
143872 140.5 0.000162287993059655
144384 141 0.000162238679659791
144896 141.5 0.000162189139774994
145408 142 0.000162139111963889
145920 142.5 0.000162088959332346
146432 143 0.000162039273087841
146944 143.5 0.000161990430620928
147456 144 0.000161942083230154
147968 144.5 0.000161894345992016
148480 145 0.000161847961665651
148992 145.5 0.000161803102778276
149504 146 0.000161759412006317
150016 146.5 0.000161716933709334
150528 147 0.000161676158514028
151040 147.5 0.000161637482386487
151552 148 0.000161600571418151
152064 148.5 0.000161564786438955
152576 149 0.000161530832073654
153088 149.5 0.000161499431274495
153600 150 0.000161469725515952
154112 150.5 0.00016144117762957
154624 151 0.000161414348701486
155136 151.5 0.00016138967539048
155648 152 0.000161366845478039
156160 152.5 0.000161344909448226
156672 153 0.000161324250469373
157184 153.5 0.000161305656086719
157696 154 0.000161288483387325
158208 154.5 0.000161272071213768
158720 155 0.000161256701096357
159232 155.5 0.000161242922361175
159744 156 0.000161230398403884
160256 156.5 0.000161218426829352
160768 157 0.000161207435261681
161280 157.5 0.000161197634332532
161792 158 0.00016118869156463
162304 158.5 0.000161180414394135
162816 159 0.000161172988598135
163328 159.5 0.000161166411959654
163840 160 0.000161160331387185
164352 160.5 0.000161154993655388
164864 161 0.000161150520661349
165376 161.5 0.000161146477907808
165888 162 0.000161142757964571
166400 162.5 0.00016113975214618
166912 163 0.000161137305936627
167424 163.5 0.000161135074799307
167936 164 0.000161133092802087
168448 164.5 0.000161131479172601
168960 165 0.000161130149444216
169472 165.5 0.000161128788011818
169984 166 0.000161127228797124
170496 166.5 0.000161125742509495
171008 167 0.000161124302917986
171520 167.5 0.000161122378950241
172032 168 0.000161119827617919
172544 168.5 0.000161116956262965
173056 169 0.000161113772432709
173568 169.5 0.000161109966763697
174080 170 0.000161105216311675
174592 170.5 0.000161099581248897
175104 171 0.000161093616990867
175616 171.5 0.000161087118727351
176128 172 0.000161079199588317
176640 172.5 0.000161070266684958
177152 173 0.000161061100357177
177664 173.5 0.000161051311944989
178176 174 0.000161039988993127
178688 174.5 0.000161027494210367
179200 175 0.000161014749622663
179712 175.5 0.000161001215149526
180224 176 0.000160986304375126
180736 176.5 0.000160970109987295
181248 177 0.000160953238193179
181760 177.5 0.000160935833936855
182272 178 0.000160917122864521
182784 178.5 0.000160897072887561
183296 179 0.000160876267598327
183808 179.5 0.000160854769115616
184320 180 0.000160832416196259
184832 180.5 0.000160808867159368
185344 181 0.000160784417244561
185856 181.5 0.000160759429951323
186368 182 0.000160733715253453
186880 182.5 0.000160707278507891
187392 183 0.000160680086982818
187904 183.5 0.000160652213268779
188416 184 0.000160624001396503
188928 184.5 0.000160595481410582
189440 185 0.000160566309575937
189952 185.5 0.000160536660458543
190464 186 0.000160506975131624
190976 186.5 0.000160477172274092
191488 187 0.000160447200334231
192000 187.5 0.000160417023915943
192512 188 0.000160386800455155
193024 188.5 0.000160357091195513
193536 189 0.000160327686172572
194048 189.5 0.000160298130076722
194560 190 0.000160268931667159
195072 190.5 0.000160240604105891
195584 191 0.000160212998394184
196096 191.5 0.000160185774115396
196608 192 0.000160158953765052
197120 192.5 0.000160133215552013
197632 193 0.000160108838179706
198144 193.5 0.000160085159107661
198656 194 0.000160061886216746
199168 194.5 0.000160039999441507
199680 195 0.000160019895953664
200192 195.5 0.000160000556712139
200704 196 0.000159981827313241
201216 196.5 0.000159964750461307
201728 197 0.000159949428976361
202240 197.5 0.000159934972798727
202752 198 0.000159921380731793
203264 198.5 0.000159909372270606
203776 199 0.000159898897995417
204288 199.5 0.000159889480367636
204800 200 0.000159880918906283
205312 200.5 0.000159873558536122
205824 201 0.000159867621564105
206336 201.5 0.000159862664624152
206848 202 0.000159858345417516
207360 202.5 0.000159854962994546
207872 203 0.000159852638365729
208384 203.5 0.000159851008847651
208896 204 0.000159850049006557
209408 204.5 0.000159849695517211
209920 205 0.000159849763199034
210432 205.5 0.000159850521537302
210944 206 0.00015985184679763
211456 206.5 0.000159853364200643
211968 207 0.00015985524699184
212480 207.5 0.000159857572622434
212992 208 0.000159860190762572
213504 208.5 0.000159863183369581
214016 209 0.000159866318760259
214528 209.5 0.000159869599152983
215040 210 0.000159873327387001
215552 210.5 0.00015987739924523
216064 211 0.00015988156155333
216576 211.5 0.000159885803747685
217088 212 0.000159890414566961
217600 212.5 0.000159895588669667
218112 213 0.000159900995527692
218624 213.5 0.000159906447393846
219136 214 0.000159912332117192
219648 214.5 0.000159919026899549
220160 215 0.000159926213392074
220672 215.5 0.000159933525768392
221184 216 0.000159941449420764
221696 216.5 0.000159950586561704
222208 217 0.000159960349063616
222720 217.5 0.000159970270754321
223232 218 0.000159981146632967
223744 218.5 0.000159993386177789
224256 219 0.000160006316822334
224768 219.5 0.000160019559368837
225280 220 0.000160033738732777
225792 220.5 0.000160049183493085
226304 221 0.00016006541803804
226816 221.5 0.000160082005140529
227328 222 0.000160099238125531
227840 222.5 0.000160117471969954
228352 223 0.000160136379153141
228864 223.5 0.000160155498061671
229376 224 0.000160174781818652
229888 224.5 0.000160194491820344
230400 225 0.000160214623589623
230912 225.5 0.000160234505170318
231424 226 0.000160253941212834
231936 226.5 0.000160273290729586
232448 227 0.000160292345079323
232960 227.5 0.000160310755964828
233472 228 0.000160328326302504
233984 228.5 0.000160345007769631
234496 229 0.000160360866582934
235008 229.5 0.000160375657596037
235520 230 0.000160389205157097
236032 230.5 0.000160401437375817
236544 231 0.000160412264797734
237056 231.5 0.000160421719213004
237568 232 0.000160429783065162
238080 232.5 0.000160436331703657
238592 233 0.000160441236971641
239104 233.5 0.000160444677602808
239616 234 0.000160446940628846
240128 234.5 0.000160447774657732
240640 235 0.000160447047531253
241152 235.5 0.000160445131699882
241664 236 0.000160442357384993
242176 236.5 0.000160438610045583
242688 237 0.000160433568951809
243200 237.5 0.000160427588695471
243712 238 0.000160421348888421
244224 238.5 0.000160414626273233
244736 239 0.00016040678134295
245248 239.5 0.000160398355404714
245760 240 0.000160390181040934
246272 240.5 0.000160381828718358
246784 241 0.000160372711249142
247296 241.5 0.000160363430099522
247808 242 0.000160354661952272
248320 242.5 0.000160346072109345
248832 243 0.000160337310665903
249344 243.5 0.000160328723442094
249856 244 0.000160320775687468
250368 244.5 0.00016031352353949
250880 245 0.000160306577538704
251392 245.5 0.00016029999514436
251904 246 0.000160294281461783
252416 246.5 0.000160289516836626
252928 247 0.000160285439642683
253440 247.5 0.000160281896964004
253952 248 0.000160279208470835
254464 248.5 0.000160277614537557
254976 249 0.000160276910807364
255488 249.5 0.000160276821648355
256000 250 0.000160277454884078
256512 250.5 0.000160279151747206
257024 251 0.000160281701215556
257536 251.5 0.000160284794144611
258048 252 0.000160288589599925
258560 252.5 0.000160293073324429
259072 253 0.000160298076485935
259584 253.5 0.000160303608013903
260096 254 0.000160309570075023
260608 254.5 0.000160315702180212
261120 255 0.000160321987761463
261632 255.5 0.000160328569975208
262144 256 0.000160335240450638
262656 256.5 0.000160341601636511
263168 257 0.000160347650587436
263680 257.5 0.000160353670495514
264192 258 0.000160359514530433
264704 258.5 0.000160364623251138
265216 259 0.000160369023350062
265728 259.5 0.000160373176251953
266240 260 0.000160376949041462
266752 260.5 0.000160379816378547
267264 261 0.000160381730137968
267776 261.5 0.000160383277949515
268288 262 0.000160384548265751
268800 262.5 0.000160384817948173
269312 263 0.000160384117945904
269824 263.5 0.000160383186063531
270336 264 0.00016038200299748
270848 264.5 0.000160380034046666
271360 265 0.000160377342959361
271872 265.5 0.000160374397394464
272384 266 0.000160371388465562
272896 266.5 0.000160368004787009
273408 267 0.000160363967811869
273920 267.5 0.000160359729699989
274432 268 0.000160355657660429
274944 268.5 0.00016035133936443
275456 269 0.000160346532083963
275968 269.5 0.000160341587976804
276480 270 0.000160336802049953
276992 270.5 0.000160331980525341
277504 271 0.000160326793322105
278016 271.5 0.000160321474133598
278528 272 0.000160316354206762
279040 272.5 0.000160311305789504
279552 273 0.000160306028208945
280064 273.5 0.000160300699094423
280576 274 0.000160295598663345
281088 274.5 0.000160290548015835
281600 275 0.000160285481840534
282112 275.5 0.000160280529402915
282624 276 0.000160275698697055
283136 276.5 0.000160270943084109
283648 277 0.000160266328892015
284160 277.5 0.000160261920053625
284672 278 0.000160257544925487
285184 278.5 0.000160253153947379
285696 279 0.000160248965061523
286208 279.5 0.000160244985868482
286720 280 0.000160240870306205
287232 280.5 0.000160236525002746
287744 281 0.000160232252067419
288256 281.5 0.000160228085256767
288768 282 0.000160223541927157
289280 282.5 0.000160218386738921
289792 283 0.000160213039399351
290304 283.5 0.000160207614651703
290816 284 0.000160201462239088
291328 284.5 0.000160194331655329
291840 285 0.000160186672510792
292352 285.5 0.000160178578147092
292864 286 0.000160169516018816
293376 286.5 0.000160159206440827
293888 287 0.000160147990169266
294400 287.5 0.000160136092098062
294912 288 0.000160123160594115
295424 288.5 0.000160108862913416
295936 289 0.00016009343800601
296448 289.5 0.000160077261471817
296960 290 0.000160060171743793
297472 290.5 0.000160041771640252
297984 291 0.000160022237093639
298496 291.5 0.000160002028358633
299008 292 0.000159981143370022
299520 292.5 0.000159959214042893
300032 293 0.000159936287209686
300544 293.5 0.000159912867609793
301056 294 0.000159889061788591
301568 294.5 0.00015986451651166
302080 295 0.000159839248988405
302592 295.5 0.000159813735312643
303104 296 0.000159788027635402
303616 296.5 0.000159761865647275
