# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
149504 146 -0.00525876649987171
150016 146.5 -0.00527242777260987
150528 147 -0.00528718063999711
151040 147.5 -0.0053016390950269
151552 148 -0.00531541257447009
152064 148.5 -0.00533112431705044
152576 149 -0.00534426825837627
153088 149.5 -0.00536117122191348
153600 150 -0.00537701996724739
154112 150.5 -0.00538763712893446
154624 151 -0.00540496486204861
155136 151.5 -0.00542170148310408
155648 152 -0.00543532463987932
156160 152.5 -0.00544996655748653
156672 153 -0.00546447600712995
157184 153.5 -0.00548144766719417
157696 154 -0.00549692299231442
158208 154.5 -0.00550977435323563
158720 155 -0.00552524827082365
159232 155.5 -0.00554173583575007
159744 156 -0.00555798493266064
160256 156.5 -0.00557086444571785
160768 157 -0.00558419452589814
161280 157.5 -0.00560256691891251
161792 158 -0.00561974284014476
162304 158.5 -0.00563061992073542
162816 159 -0.0056432926400181
163328 159.5 -0.00566304953598905
163840 160 -0.00567981128157731
164352 160.5 -0.00569058919254997
164864 161 -0.00570312456996709
165376 161.5 -0.00572151453858318
165888 162 -0.00573885312005529
166400 162.5 -0.00574970068235724
166912 163 -0.00576229064270956
167424 163.5 -0.00577990466886057
167936 164 -0.00579551188331841
168448 164.5 -0.00580874163935758
168960 165 -0.00582041707380841
169472 165.5 -0.00583614017210308
169984 166 -0.00585258796126196
170496 166.5 -0.00586489488133983
171008 167 -0.00587817265402991
171520 167.5 -0.00589235740709615
172032 168 -0.00590695648759517
172544 168.5 -0.00592077252955714
173056 169 -0.00593333827919634
173568 169.5 -0.00594771199078514
174080 170 -0.00596201952381185
174592 170.5 -0.00597340392733609
175104 171 -0.00598840001885069
175616 171.5 -0.00600268130446282
176128 172 -0.00601432100748237
176640 172.5 -0.00602758206878662
177152 173 -0.0060418601852445
177664 173.5 -0.00605539831644138
178176 174 -0.00606765625779263
178688 174.5 -0.00608026669483884
179200 175 -0.00609439348203763
179712 175.5 -0.00610843675575447
180224 176 -0.00612134079947053
180736 176.5 -0.00613229568497948
181248 177 -0.00614689987011581
181760 177.5 -0.00616181089392835
182272 178 -0.00617346546997779
182784 178.5 -0.00618476758683413
183296 179 -0.00619821029392607
183808 179.5 -0.00621417666761243
184320 180 -0.00622530283762805
184832 180.5 -0.00623549195460469
185344 181 -0.00624955006848359
185856 181.5 -0.0062663485642941
186368 182 -0.00627682639560154
186880 182.5 -0.00628609227740539
