# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.04440593719482 0 0.211998462677002 0 1.94780874252319 0 0 0 0 0 0 0 0 0 42.5669514475894 62239.4317781368 0 62239.4317781368 160 427535 2447 425088 0 0 0 0 2.04299783706665 1717531531.67461 266
512 0.5 2791.79266824812 2791.79266824812 2.82372093200684 0.644747018814087 0.858599424362183 0 1.96786022186279 3 371196.75317027 371196.75317027 239328 239328 182248.225383237 182248.225383237 117504 117504 92.6151381947576 224867.011164943 8550.61630267314 216316.39486227 186 442085 16997 425088 0 0 0 0 2.81328558921814 1717531532.45393 905
1024 1 2599.24980728758 2599.24980728758 3.56398892402649 1.38501501083374 1.52175235748291 0 2.08950614929199 6 345596.254376956 345596.254376956 478656 478656 169679.027419733 169679.027419733 235008 235008 119.476853953782 219596.988589338 8910.32914506954 210686.659444269 284 457302 18390 438912 0 0 0 0 3.54568552970886 1717531533.1942 1544
1536 1.5 2584.36630813707 2584.36630813707 4.26846098899841 2.08948707580566 2.1658947467804 0 2.10486936569214 9 343617.344329904 343617.344329904 717984 717984 168707.432595188 168707.432595188 352512 352512 145.536437262113 218059.241508767 9308.62467351008 208750.616835257 310 458685 19773 438912 0 0 0 0 4.24343061447144 1717531533.89867 2183
2048 2 2525.05944540145 2525.05944540145 5.03039193153381 2.85141801834106 2.82164025306702 0 2.30523777008057 12 335731.903860577 335731.903860577 957312 957312 164835.880595807 164835.880595807 470016 470016 185.625212647083 259852.660484861 9503.10539868845 250349.555086173 492 885181 21181 864000 0 0 0 0 4.99770355224609 1717531534.6606 2822
2560 2.5 2497.90308076206 2497.90308076206 5.78199601173401 3.60302209854126 3.46703195571899 0 2.31732797622681 15 332121.193618124 332121.193618124 1196640 1196640 163063.113112147 163063.113112147 587520 587520 222.03368500019 382880.674841135 9656.73740890904 373223.937432226 518 886555 22555 864000 0 0 0 0 5.74152421951294 1717531535.4122 3461
3072 3 2518.57333221912 2518.57333221912 6.46711587905884 4.28814196586609 4.10104966163635 0 2.40684866905212 18 334869.510251854 334869.510251854 1435968 1435968 164412.467127264 164412.467127264 705024 705024 243.442045602373 377401.525546803 10047.4787328216 367354.046813982 616 901789 23965 877824 0 0 0 0 6.41874217987061 1717531536.09732 4100
3584 3.5 2536.89057143729 2536.89057143729 7.14568400382996 4.96671009063721 4.72881484031677 0 2.41914224624634 21 337304.970378303 337304.970378303 1675296 1675296 165608.216503427 165608.216503427 822528 822528 263.977880818586 373609.384252907 10402.3007863011 363207.083466606 642 903166 25342 877824 0 0 0 0 7.08989715576172 1717531536.77589 4739
4096 4 2517.20834580866 2517.20834580866 7.89959692955017 5.72062301635742 5.36507034301758 0 2.67555093765259 24 334688.021658719 334688.021658719 1914624 1914624 164323.360814389 164323.360814389 940032 940032 292.756842221611 401824.153438172 10480.0636699332 391344.089768239 824 1329666 26754 1302912 0 0 0 0 7.82338809967041 1717531537.5298 5378
4608 4.5 2491.1521651092 2511.81232933264 8.68198895454407 6.50301504135132 5.99673080444336 0 2.687575340271 27 331223.591872919 331223.591872919 2153952 2153952 162622.413338328 162622.413338328 1057536 1057536 315.053507972137 495612.684370807 10403.4690292076 485209.2153416 850 1331049 28137 1302912 0 0 0 0 8.61108374595642 1717531538.3122 6017
5120 5 2503.60587692578 2510.19200855546 9.36860394477844 7.18963003158569 6.63259935379028 0 2.78488516807556 30 332879.437396051 332879.437396051 2393280 2393280 163435.391645715 163435.391645715 1175040 1175040 331.870788152464 488833.609565309 10729.148663233 478104.460902076 948 1346284 29548 1316736 0 0 0 0 9.29015278816223 1717531538.99881 6656
5632 5.5 2513.87039091555 2509.21374217779 10.0552749633789 7.87630105018616 7.26008176803589 0 2.79757189750671 33 334244.207176131 334244.207176131 2632608 2632608 164105.459118967 164105.459118967 1292544 1292544 347.024313602396 482064.353277965 10992.8000866607 471071.553191304 974 1347662 30926 1316736 0 0 0 0 9.96942186355591 1717531539.68548 7295
6144 6 2512.84078007846 2509.49258968148 10.7748229503632 8.59584903717041 7.88020873069763 0 3.00234413146973 36 334107.310119232 334107.310119232 2871936 2871936 164038.246123522 164038.246123522 1410048 1410048 371.033898991936 505400.33627315 11108.5614730779 494291.774800072 1156 1774171 32347 1741824 0 0 0 0 10.6811952590942 1717531540.40503 7934
6656 6.5 2497.8093135243 2507.40057307615 11.5471830368042 9.36820912361145 8.53494954109192 0 3.01447153091431 39 332108.726326191 332108.726326191 3111264 3111264 163056.991986866 163056.991986866 1527552 1527552 391.071941028744 589381.932883724 11131.9391566858 578249.993727038 1182 1775557 33733 1741824 0 0 0 0 11.4460923671722 1717531541.17739 8573
7168 7 2510.12814336394 2507.05725118011 12.2183020114899 10.0393280982971 9.1565842628479 0 3.10457491874695 42 333746.63794167 333746.63794167 3350592 3350592 163861.165198798 163861.165198798 1645056 1645056 405.001408294414 582016.092368539 11418.7534156298 570597.33895291 1280 1790802 35154 1755648 0 0 0 0 12.1097455024719 1717531541.84851 9212
7680 7.5 2516.76209681371 2506.9754936629 12.9070439338684 10.7280700206757 9.79121804237366 0 3.11824083328247 45 334628.688392351 334628.688392351 3589920 3589920 164294.229679999 164294.229679999 1762560 1762560 417.866737533076 575122.95693144 11661.4346453643 563461.522286075 1306 1792184 36536 1755648 0 0 0 0 12.790486574173 1717531542.53725 9851
8192 8 2514.03934445145 2507.456426716 13.6346418857574 11.4556679725647 10.41663813591 0 3.31089353561401 48 334266.671238265 334266.671238265 3829248 3829248 164116.488405791 164116.488405791 1880064 1880064 436.916830835473 592744.803386399 11733.6718460289 581011.13154037 1488 2218687 37951 2180736 0 0 0 0 13.51038646698 1717531543.26485 10490
8704 8.5 2508.16176326608 2506.79507448251 14.3791439533234 12.2001700401306 11.0580201148987 0 3.32320880889893 51 333485.188043858 333485.188043858 4068576 4068576 163732.79990601 163732.79990601 1997568 1997568 454.665370357355 668408.378608657 11782.4573559296 656625.921252727 1514 2220066 39330 2180736 0 0 0 0 14.2475984096527 1717531544.00935 11129
9216 9 2515.19382669701 2507.00531416785 15.0606849193573 12.8817110061646 11.684718132019 0 3.41940927505493 54 334420.171197634 334420.171197634 4307904 4307904 164191.853006781 164191.853006781 2115072 2115072 465.64439137727 659507.67298734 12013.1513592217 647494.521628118 1612 2235307 40747 2194560 0 0 0 0 14.9214513301849 1717531544.69089 11768
9728 9.5 2521.88508370267 2507.29074279425 15.7402579784393 13.5612840652466 12.3098878860474 0 3.43265509605408 57 335309.840729106 335309.840729106 4547232 4547232 164628.65826411 164628.65826411 2232576 2232576 476.333443911478 651967.554451396 12223.170932196 639744.3835192 1638 2236691 42131 2194560 0 0 0 0 15.5940113067627 1717531545.37047 12407
10240 10 2516.20169868299 2507.75005338335 16.4862530231476 14.3072791099548 12.9579310417175 0 3.61867547035217 60 334554.17785689 334554.17785689 4786560 4786560 164257.646890026 164257.646890026 2350080 2350080 492.585429886299 666595.626016743 12287.9941876584 654307.631829084 1820 2663200 43552 2619648 0 0 0 0 16.3324158191681 1717531546.11646 13046
10752 10.5 2511.15101950206 2507.49084496309 17.2318320274353 15.0528581142426 13.6034290790558 0 3.6306676864624 63 333882.639552994 333882.639552994 5025888 5025888 163927.938553094 163927.938553094 2467584 2467584 507.661366779193 734324.450152363 12340.6911076395 721983.759044723 1846 2664634 44986 2619648 0 0 0 0 17.070704460144 1717531546.86204 13685
11264 11 2516.33457917023 2507.72467929724 17.91614985466 15.7371759414673 14.235244512558 0 3.72295570373535 66 334571.845646474 334571.845646474 5265216 5265216 164266.321328233 164266.321328233 2585088 2585088 517.264048662736 725660.605679858 12566.4736528065 713094.132027052 1944 2679928 46456 2633472 0 0 0 0 17.7471172809601 1717531547.54636 14324
11776 11.5 2521.50466946316 2507.96826780246 18.5977418422699 16.4187679290771 14.8636946678162 0 3.73632121086121 69 335259.260851822 335259.260851822 5504544 5504544 164603.824822555 164603.824822555 2702592 2702592 526.506470901137 718026.547265631 12767.1124045117 705259.434861119 1970 2681354 47882 2633472 0 0 0 0 18.4214472770691 1717531548.22795 14963
