# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000898490228190496
512 0.5 -0.000778408190832406
1024 1 -0.000876581091971422
1536 1.5 -0.00097907316395151
2048 2 -0.00108113772143635
2560 2.5 -0.00117235028224711
3072 3 -0.00124844473506427
3584 3.5 -0.00131522900197332
4096 4 -0.00138302757018232
4608 4.5 -0.00145581506149169
5120 5 -0.00153165227335622
5632 5.5 -0.00160846697563239
6144 6 -0.00168167837119905
6656 6.5 -0.00175644556732251
7168 7 -0.00183990234037251
7680 7.5 -0.00193321095818795
8192 8 -0.00203295331525166
8704 8.5 -0.00213584048008944
9216 9 -0.0022369715105229
9728 9.5 -0.00232950433902677
10240 10 -0.00241440992101889
10752 10.5 -0.00250311694080861
11264 11 -0.0025997550776805
11776 11.5 -0.00268876697002201
12288 12 -0.00275555969114556
12800 12.5 -0.00281148082789623
13312 13 -0.00288044895118331
13824 13.5 -0.00296473868764884
14336 14 -0.00304041718935239
14848 14.5 -0.0030882149753128
15360 15 -0.00311723961601434
15872 15.5 -0.00315200342463475
16384 16 -0.00320079858225372
16896 16.5 -0.00324628685626926
17408 17 -0.00327093740251483
17920 17.5 -0.00328134085939492
18432 18 -0.00329481440410787
18944 18.5 -0.00331076828272269
19456 19 -0.00331643227547069
19968 19.5 -0.00331386266768382
20480 20 -0.00332391873602865
20992 20.5 -0.00335184954236243
21504 21 -0.00337466848298623
22016 21.5 -0.00337176925506972
22528 22 -0.0033599697085805
23040 22.5 -0.0033717004983163
23552 23 -0.00341011702832592
24064 23.5 -0.00344808852133242
24576 24 -0.0034683086940102
25088 24.5 -0.00348162885166718
25600 25 -0.00350231917385464
26112 25.5 -0.00352770982838319
26624 26 -0.00355263255678171
27136 26.5 -0.00358453977223851
27648 27 -0.00362857704782072
28160 27.5 -0.00367072552422575
28672 28 -0.00369285121194981
29184 28.5 -0.00369867055291386
29696 29 -0.00371082461968442
30208 29.5 -0.00374381271285547
30720 30 -0.00378928865385329
31232 30.5 -0.00382754377651263
31744 31 -0.00384703995641791
32256 31.5 -0.00385284187448976
32768 32 -0.00386047759711552
33280 32.5 -0.00388227294520574
33792 33 -0.0039172724694042
34304 33.5 -0.00395298032202959
34816 34 -0.0039764776084928
35328 34.5 -0.00398501661897675
35840 35 -0.00398888675121271
36352 35.5 -0.00400424185104879
36864 36 -0.00403808427608745
37376 36.5 -0.00407805442032081
37888 37 -0.00410304913421674
38400 37.5 -0.00410801775790622
38912 38 -0.00411166587050637
39424 38.5 -0.00413346057729047
39936 39 -0.00416958134847864
40448 39.5 -0.0042002141789262
40960 40 -0.00421559294362878
41472 40.5 -0.00422445991372293
41984 41 -0.00423878521866462
42496 41.5 -0.00426040410058889
43008 42 -0.00428395793207997
43520 42.5 -0.0043054006668734
44032 43 -0.00432357186188236
44544 43.5 -0.00433753956724635
45056 44 -0.00434738427077499
45568 44.5 -0.00435687839803887
46080 45 -0.00437123678767597
46592 45.5 -0.00439052408428718
47104 46 -0.00440810424416896
47616 46.5 -0.00441818909257996
48128 47 -0.00442293041745214
48640 47.5 -0.00442957101931024
49152 48 -0.00444217933093968
49664 48.5 -0.00445800580911319
50176 49 -0.00447067145998772
50688 49.5 -0.00447631498281756
51200 50 -0.0044778852263375
51712 50.5 -0.00448254528530613
52224 51 -0.00449326163228754
52736 51.5 -0.00450519978989178
53248 52 -0.00451262974939649
53760 52.5 -0.00451619555552267
54272 53 -0.00452012480380278
54784 53.5 -0.00452525484093208
55296 54 -0.00452912955950861
55808 54.5 -0.00453173960753098
56320 55 -0.00453684568293166
56832 55.5 -0.00454547880197521
57344 56 -0.00455211646418567
57856 56.5 -0.00455213182581659
58368 57 -0.00455072505520878
58880 57.5 -0.0045577262020053
59392 58 -0.00457231770553387
59904 58.5 -0.00458158447650105
60416 59 -0.00457882060966437
60928 59.5 -0.00457464836900787
61440 60 -0.00458215191193049
61952 60.5 -0.00459748025514325
62464 61 -0.00460649581814396
62976 61.5 -0.00460619454820915
63488 62 -0.00460776551129022
64000 62.5 -0.00461864574398782
64512 63 -0.00463296456240822
65024 63.5 -0.00464277241248226
65536 64 -0.00464993052131109
66048 64.5 -0.00466017464877956
66560 65 -0.0046725793716323
67072 65.5 -0.00468336075015344
67584 66 -0.00469565167682947
68096 66.5 -0.00471562820736827
68608 67 -0.00474009785157877
69120 67.5 -0.00475811180101368
69632 68 -0.0047648535796256
70144 68.5 -0.0047710102954312
70656 69 -0.00478599931690785
71168 69.5 -0.00480437582175835
71680 70 -0.0048129135819376
72192 70.5 -0.00480928454619876
72704 71 -0.00480402059824074
73216 71.5 -0.0048057056705186
73728 72 -0.00481161017086134
74240 72.5 -0.00481478275731897
74752 73 -0.00481331754567392
75264 73.5 -0.00480863003472709
75776 74 -0.00480100308956004
76288 74.5 -0.00479242967594613
76800 75 -0.00478839558693719
77312 75.5 -0.00479013195047224
77824 76 -0.0047893863889693
78336 76.5 -0.00477845604093853
78848 77 -0.00476261755523714
79360 77.5 -0.00475423092937298
79872 78 -0.00475521174199945
80384 78.5 -0.00475420984940278
80896 79 -0.00474321537387829
81408 79.5 -0.00472995878844735
81920 80 -0.00472645373080795
82432 80.5 -0.00473226095072366
82944 81 -0.00473856041871872
83456 81.5 -0.0047415785881089
83968 82 -0.00474554462371855
84480 82.5 -0.00475327227667053
84992 83 -0.00476162135823955
85504 83.5 -0.00476763751281079
86016 84 -0.00477289476355862
86528 84.5 -0.00477914301417427
87040 85 -0.00478441913022338
87552 85.5 -0.0047865909265318
88064 86 -0.00478738916376425
88576 86.5 -0.00478962520160457
89088 87 -0.00479272727963939
89600 87.5 -0.00479451168050873
90112 88 -0.00479573799093162
90624 88.5 -0.00479914888643853
91136 89 -0.00480478842380073
91648 89.5 -0.00481003242588678
92160 90 -0.00481450413919076
92672 90.5 -0.00482108702675373
93184 91 -0.00483073596273166
93696 91.5 -0.00484080580134585
94208 92 -0.00484795748935692
94720 92.5 -0.00485254700151332
95232 93 -0.00485813542567277
95744 93.5 -0.00486712987459588
96256 94 -0.00487790766970382
96768 94.5 -0.00488644001564219
97280 95 -0.00489082731351785
97792 95.5 -0.00489412319654362
98304 96 -0.00490111960548219
98816 96.5 -0.00491282100546852
99328 97 -0.004925177645881
99840 97.5 -0.00493354358673281
100352 98 -0.00493797528594577
100864 98.5 -0.0049432166196019
101376 99 -0.00495326232801174
101888 99.5 -0.00496669783037867
102400 100 -0.00497834074410168
102912 100.5 -0.00498523293535029
103424 101 -0.00498976028624068
103936 101.5 -0.00499662282041058
104448 102 -0.00500786550544304
104960 102.5 -0.00502130397670378
105472 103 -0.00503303376639509
105984 103.5 -0.00504117916713846
106496 104 -0.00504773939667986
107008 104.5 -0.00505683495260417
107520 105 -0.00507060083923967
108032 105.5 -0.00508678940633978
108544 106 -0.00510106798590767
109056 106.5 -0.00511191432817384
109568 107 -0.00512247775244537
110080 107.5 -0.00513685244922511
110592 108 -0.00515518855747783
111104 108.5 -0.00517385593212423
111616 109 -0.0051901286968726
112128 109.5 -0.00520487987079097
112640 110 -0.00522050508358653
113152 110.5 -0.00523817459983301
113664 111 -0.00525763180256781
114176 111.5 -0.00527786554806972
114688 112 -0.00529733968334325
115200 112.5 -0.00531515300339266
115712 113 -0.00533257641990934
116224 113.5 -0.00535198077548117
116736 114 -0.0053737775286001
117248 114.5 -0.00539580327291515
117760 115 -0.00541615330331231
118272 115.5 -0.0054354105145551
118784 116 -0.00545541486905849
119296 116.5 -0.00547692095982326
119808 117 -0.00549912091791143
120320 117.5 -0.00552091840647185
120832 118 -0.00554173198279208
121344 118.5 -0.00556187959223006
121856 119 -0.00558239193178514
122368 119.5 -0.00560395874832703
122880 120 -0.00562594996201276
123392 120.5 -0.00564711510422654
123904 121 -0.00566733775973314
124416 121.5 -0.00568791948151907
124928 122 -0.00570981180238262
125440 122.5 -0.00573230655954541
125952 123 -0.00575413638464075
126464 123.5 -0.00577534876255496
126976 124 -0.00579714764396994
127488 124.5 -0.0058199872766813
128000 125 -0.00584292835753492
128512 125.5 -0.00586530064157372
129024 126 -0.00588790839267641
129536 126.5 -0.0059116121072683
130048 127 -0.00593557395190974
130560 127.5 -0.00595835661755523
131072 128 -0.0059803692564785
131584 128.5 -0.00600354002957411
132096 129 -0.00602839383299042
132608 129.5 -0.00605306920108422
133120 130 -0.00607589132701389
133632 130.5 -0.00609760922787107
134144 131 -0.00612012090065968
134656 131.5 -0.00614388588847123
135168 132 -0.00616767912444672
135680 132.5 -0.00619045720386862
136192 133 -0.00621241382355259
136704 133.5 -0.00623418809349569
137216 134 -0.00625592687191453
137728 134.5 -0.00627753421904073
