# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.125 -0.00145842935441363 -0.00145842935441363 -0.00145842935441363
1024 0.25 -0.00291291941573779 -0.00291291941573779 -0.00291291941573779
1536 0.375 -0.00436077412932831 -0.00436077412932831 -0.00436077412932831
2048 0.5 -0.00579899046872638 -0.00579899046872638 -0.00579899046872638
2560 0.625 -0.00722901428488667 -0.00722901428488667 -0.00722901428488667
3072 0.75 -0.00865424625865064 -0.00865424625865064 -0.00865424625865064
3584 0.875 -0.0100756506537907 -0.0100756506537907 -0.0100756506537907
4096 1 -0.0114925089581616 -0.0114925089581616 -0.0114925089581616
4608 1.125 -0.012904064917699 -0.012904064917699 -0.012904064917699
5120 1.25 -0.0143094606379711 -0.0143094606379711 -0.0143094606379711
5632 1.375 -0.01570446065654 -0.01570446065654 -0.01570446065654
6144 1.5 -0.0170883723268247 -0.0170883723268247 -0.0170883723268247
6656 1.625 -0.0184607889630116 -0.0184607889630116 -0.0184607889630116
7168 1.75 -0.019821451875589 -0.019821451875589 -0.019821451875589
7680 1.875 -0.0211699085023248 -0.0211699085023248 -0.0211699085023247
8192 2 -0.0225054399790878 -0.0225054399790878 -0.0225054399790877
8704 2.125 -0.0238272516658886 -0.0238272516658885 -0.0238272516658884
9216 2.25 -0.0251345647076369 -0.0251345647076369 -0.0251345647076368
9728 2.375 -0.0264266056000363 -0.0264266056000366 -0.0264266056000366
10240 2.5 -0.0277026694635235 -0.0277026694635235 -0.0277026694635236
10752 2.625 -0.0289621666172953 -0.0289621666172953 -0.0289621666172951
11264 2.75 -0.0302045910899434 -0.0302045910899436 -0.0302045910899434
11776 2.875 -0.0314294536637746 -0.0314294536637748 -0.0314294536637748
12288 3 -0.0326362702172659 -0.0326362702172656 -0.0326362702172656
12800 3.125 -0.0338246398610614 -0.0338246398610612 -0.0338246398610613
13312 3.25 -0.0350272139812815 -0.0350272139812814 -0.0350272139812814
13824 3.375 -0.036210727244977 -0.0362107272449771 -0.0362107272449768
14336 3.5 -0.0373746014310915 -0.0373746014310914 -0.0373746014310913
14848 3.625 -0.038518283270662 -0.0385182832706616 -0.0385182832706617
15360 3.75 -0.0396413720944082 -0.0396413720944081 -0.0396413720944084
15872 3.875 -0.0407436053959264 -0.0407436053959262 -0.0407436053959265
16384 4 -0.0418248278515785 -0.0418248278515783 -0.0418248278515784
16896 4.125 -0.0428849962769701 -0.0428849962769697 -0.0428849962769701
17408 4.25 -0.0439241901396868 -0.0439241901396866 -0.0439241901396872
17920 4.375 -0.0449425941037581 -0.0449425941037588 -0.044942594103759
18432 4.5 -0.0459447754227079 -0.0459447754227091 -0.0459447754227087
18944 4.625 -0.0469338850853225 -0.0469338850853245 -0.0469338850853245
19456 4.75 -0.0479887900582984 -0.0479887900582995 -0.0479887900583012
19968 4.875 -0.0490900395131853 -0.0490900395131876 -0.049090039513191
20480 5 -0.0501707446490781 -0.0501707446490813 -0.0501707446490888
20992 5.125 -0.0512307434507281 -0.0512307434507311 -0.0512307434507451
21504 5.25 -0.0522699609290597 -0.0522699609290611 -0.052269960929081
22016 5.375 -0.0532884082359778 -0.0532884082359768 -0.0532884082360017
22528 5.5 -0.0542861765747364 -0.0542861765747318 -0.0542861765747614
23040 5.625 -0.0552634367295279 -0.055263436729522 -0.0552634367295508
23552 5.75 -0.0562204402302106 -0.0562204402302114 -0.0562204402302282
24064 5.875 -0.0571575029962175 -0.0571575029962253 -0.0571575029962316
24576 6 -0.0580749946914282 -0.058074994691439 -0.0580749946914437
25088 6.125 -0.0590091061199465 -0.0590091061199485 -0.0590091061199623
25600 6.25 -0.0599564588363769 -0.059956458836385 -0.0599564588364067
26112 6.375 -0.0608847120217819 -0.0608847120217948 -0.0608847120218295
26624 6.5 -0.0618288596805493 -0.0618288596805558 -0.0618288596805837
27136 6.625 -0.0627657506180122 -0.0627657506180095 -0.0627657506180354
27648 6.75 -0.0636840285567603 -0.0636840285567669 -0.0636840285567737
28160 6.875 -0.06460992901218 -0.064609929012201 -0.0646099290121923
28672 7 -0.0655288880921416 -0.0655288880921718 -0.065528888092162
29184 7.125 -0.0664258004198253 -0.0664258004198593 -0.0664258004198382
29696 7.25 -0.067300912277663 -0.0673009122777042 -0.067300912277661
30208 7.375 -0.0681539679139535 -0.0681539679139869 -0.0681539679139286
30720 7.5 -0.068984035782634 -0.0689840357826706 -0.0689840357826046
31232 7.625 -0.0697893436948828 -0.0697893436949223 -0.0697893436948737
31744 7.75 -0.0705683305440307 -0.0705683305440792 -0.0705683305440545
32256 7.875 -0.0713198245431619 -0.0713198245432309 -0.0713198245432324
32768 8 -0.0720429680429337 -0.0720429680430334 -0.0720429680430523
33280 8.125 -0.0727371372727659 -0.0727371372728922 -0.0727371372728964
33792 8.25 -0.0734019391624672 -0.0734019391625738 -0.0734019391625678
34304 8.375 -0.0740370223217375 -0.0740370223218087 -0.074037022321823
34816 8.5 -0.0746388410419864 -0.0746388410420192 -0.0746388410420708
35328 8.625 -0.0752026716521021 -0.0752026716521106 -0.0752026716521917
35840 8.75 -0.0757244066784898 -0.0757244066785004 -0.0757244066785931
36352 8.875 -0.076200540439965 -0.0762005404400034 -0.0762005404401014
36864 9 -0.076628165152116 -0.0766281651521939 -0.0766281651522943
37376 9.125 -0.0770050695659684 -0.0770050695660681 -0.0770050695661532
37888 9.25 -0.0773294200695913 -0.0773294200696882 -0.0773294200697546
38400 9.375 -0.0775996883997646 -0.0775996883998098 -0.0775996883998962
38912 9.5 -0.0778158116332978 -0.0778158116332298 -0.0778158116333418
39424 9.625 -0.078149767341957 -0.0781497673418644 -0.0781497673419944
39936 9.75 -0.0784324280465415 -0.0784324280464239 -0.078432428046573
40448 9.875 -0.078657019505216 -0.0786570195050655 -0.0786570195052487
40960 10 -0.0788181147448823 -0.07881811474468 -0.0788181147449035
41472 10.125 -0.0789117866642599 -0.0789117866639966 -0.0789117866642512
41984 10.25 -0.0789356398712094 -0.0789356398708917 -0.078935639871166
42496 10.375 -0.0790996196549514 -0.0790996196546137 -0.079099619654793
43008 10.5 -0.0792131374936952 -0.0792131374932619 -0.0792131374934608
43520 10.625 -0.0792589341373274 -0.0792589341367997 -0.0792589341370048
44032 10.75 -0.0792335349775932 -0.0792335349769616 -0.0792335349771739
44544 10.875 -0.0794313613393263 -0.0794313613387276 -0.0794313613388345
45056 11 -0.0797217498163075 -0.0797217498156169 -0.0797217498157079
45568 11.125 -0.0799816121180181 -0.0799816121172266 -0.0799816121173187
46080 11.25 -0.0802101223822603 -0.080210122381347 -0.080210122330626
46592 11.375 -0.0804070727859109 -0.0804070727849106 -0.0804070724106434
47104 11.5 -0.0805677188514359 -0.0805677192876089 -0.080567719287794
47616 11.625 -0.0806764667822007 -0.0806764724378266 -0.0806764724380103
48128 11.75 -0.0807188113789644 -0.0807188288376062 -0.080718828837821
48640 11.875 -0.0806834264095836 -0.0806834641216364 -0.0806834641219213
49152 12 -0.0805622754961452 -0.0805623434808014 -0.0805623434811837
49664 12.125 -0.080400051579047 -0.0804000515460915 -0.0804000512375518
50176 12.25 -0.0802172086367123 -0.0802172081725165 -0.0802172077348303
50688 12.375 -0.0802594899232004 -0.0802594902890438 -0.0802594902893288
51200 12.5 -0.0802384427567749 -0.0802384432382816 -0.0802384432377782
51712 12.625 -0.0801338654760584 -0.0801338660987062 -0.0801338660961395
52224 12.75 -0.0799375474076751 -0.0799375482019704 -0.0799375481958227
52736 12.875 -0.0796449290910668 -0.0796449300972745 -0.0796449300843231
53248 13 -0.0792550119736322 -0.0792550132532135 -0.0792550132277965
53760 13.125 -0.079333914716767 -0.0793338374236144 -0.0793335530005723
54272 13.25 -0.0796857580366443 -0.079685695261941 -0.0796854224378954
54784 13.375 -0.0800349292006721 -0.0800348655623686 -0.080034603731584
55296 13.5 -0.0803793319358589 -0.0803792667876183 -0.0803790153786599
55808 13.625 -0.0807137536919739 -0.0807137031848853 -0.0807134617109688
56320 13.75 -0.0810332860203191 -0.0810332719534635 -0.0810330399433129
56832 13.875 -0.0813336348664627 -0.0813336348118605 -0.0813334115618444
57344 14 -0.0816109253910458 -0.0816109252820331 -0.0816107101060188
57856 14.125 -0.0818618121355289 -0.0818618119521179 -0.0818616043214404
58368 14.25 -0.0820835386068323 -0.0820835383355337 -0.082083337805368
58880 14.375 -0.082273848721889 -0.0822738483602551 -0.0822736543146977
59392 14.5 -0.0824301843359233 -0.0824301839192795 -0.0824299960018335
59904 14.625 -0.0825409542695137 -0.0825409538588449 -0.0825407720894019
60416 14.75 -0.0825831663997587 -0.0825831660607111 -0.0825829904754514
60928 14.875 -0.0825380265992088 -0.0825380263943937 -0.0825378569285597
61440 15 -0.0823907853392995 -0.0823907853229867 -0.0823906217676713
61952 15.125 -0.0821305298242454 -0.0821305300367549 -0.0821303719628612
62464 15.25 -0.0817488116222334 -0.0817488120830439 -0.0817486590520108
62976 15.375 -0.0812421345673583 -0.0812421352692339 -0.0812419871144919
63488 15.5 -0.0806122480115799 -0.0806122489209864 -0.0806121054852225
64000 15.625 -0.0798652075933896 -0.0798652086563272 -0.0798650704604866
64512 15.75 -0.079107863266754 -0.0791083478168607 -0.0791089422177376
65024 15.875 -0.079227727074922 -0.0792281999246866 -0.0792292392091638
65536 16 -0.0792396132365538 -0.0792400625173408 -0.0792414721194373
66048 16.125 -0.0791234049330867 -0.0791238200357422 -0.0791255125917253
66560 16.25 -0.0788673706809311 -0.0788677425788866 -0.0788696402823458
