# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:39:58+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
# Run ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 0.024267305823312 0.024267305823312 0.024267305823312
1024 0.5 0.0234889275179548 0.0234889275179548 0.0234889275179548
1536 0.75 0.0227315751787067 0.0227315751787067 0.0227315751787067
2048 1 0.0219976392578934 0.0219976392578934 0.0219976392578934
2560 1.25 0.0212881426611197 0.0212881426611197 0.0212881426611197
3072 1.5 0.0206028808899454 0.0206028808899454 0.0206028808899453
3584 1.75 0.0199406790917601 0.0199406790917601 0.0199406790917601
4096 2 0.0193007610530973 0.0193007610530974 0.0193007610530974
4608 2.25 0.0186820782210072 0.0186820782210072 0.0186820782210072
5120 2.5 0.0180842122288129 0.0180842122288129 0.0180842122288129
5632 2.75 0.0175069300822418 0.0175069300822418 0.0175069300822418
6144 3 0.0169497551808446 0.0169497551808445 0.0169497551808446
6656 3.25 0.0164120305336677 0.0164120305336673 0.0164120305336678
7168 3.5 0.0158887426447688 0.0158887426447664 0.0158887426447689
7680 3.75 0.0153574923075766 0.0153574923075696 0.0153574923075766
8192 4 0.0147948343774702 0.0147948343774566 0.0147948343774705
8704 4.25 0.0141730306605622 0.0141730306605284 0.0141730306605647
9216 4.5 0.0135066832197236 0.0135066832196449 0.0135066832197317
9728 4.75 0.0128099535139874 0.0128099535138515 0.0128099535140008
10240 5 0.0122536923087623 0.0122536923072751 0.012253692308751
10752 5.25 0.0126938094722243 0.0126938094704565 0.0126938094722088
11264 5.5 0.0131203566496507 0.013120356647532 0.0131203566496492
11776 5.75 0.0135321323778005 0.0135321323752899 0.0135321323778222
12288 6 0.013928900805652 0.0139289008027235 0.013928900805682
12800 6.25 0.0143106076213724 0.0143106076179938 0.0143106076213938
13312 6.5 0.0146773407968099 0.0146773407929081 0.0146773407968421
13824 6.75 0.0150292694065217 0.0150292694020121 0.015029269406594
14336 7 0.015366754139585 0.0153667541344157 0.0153667541397113
14848 7.25 0.0156905988730123 0.0156905988671107 0.0156905988731773
15360 7.5 0.0160011283477516 0.016001128341027 0.0160011283479351
15872 7.75 0.0162987063529181 0.0162987063452954 0.0162987063531068
16384 8 0.0165837479277305 0.0165837479191022 0.0165837479278911
16896 8.25 0.0168568078727538 0.016856807863026 0.0168568078728809
17408 8.5 0.0171186176169516 0.0171186176061518 0.0171186176171742
17920 8.75 0.0173699441933882 0.017369944181562 0.0173699441938966
18432 9 0.0176114862288149 0.0176114862158697 0.0176114862297509
18944 9.25 0.0178439582732113 0.0178439582589419 0.0178439582747141
19456 9.5 0.0180680846944682 0.0180680846786536 0.0180680846967273
19968 9.75 0.0182844521706665 0.0182844521532136 0.0182844521737813
20480 10 0.0184935824993948 0.0184935824802062 0.0184935825033734
20992 10.25 0.0186962015628551 0.0186962015417843 0.0186962015678928
21504 10.5 0.0188931319628577 0.0188931319399549 0.0188931319695236
22016 10.75 0.0190845625212633 0.019084562496763 0.0190845625299809
22528 11 0.0192709449311924 0.0192709449045259 0.0192709449413632
23040 11.25 0.019452763797759 0.0194527637672508 0.0194527638082088
23552 11.5 0.0196306270102473 0.0196306269750157 0.0196306270209179
24064 11.75 0.0198051330086738 0.019805132972414 0.0198051330204305
24576 12 0.0199768177536946 0.0199768177245293 0.0199768177677321
25088 12.25 0.0201851580011854 0.0201851580224388 0.0201851580104089
25600 12.5 0.0203992785860034 0.0203992786205442 0.0203992785975934
26112 12.75 0.020611343246525 0.0206113432820076 0.0206113432622265
26624 13 0.0208233860823548 0.0208233861377043 0.0208233861740158
27136 13.25 0.0210383084210201 0.0210383084849709 0.0210383085314224
27648 13.5 0.0212491856123098 0.0212491856586156 0.0212491857484707
28160 13.75 0.0214558287569092 0.021455828761276 0.021455828924424
28672 14 0.0216582024130051 0.021658202351816 0.0216582026190948
29184 14.25 0.0218575288131174 0.021857528636572 0.021857529065671
29696 14.5 0.0220564184282446 0.0220564180838064 0.0220564187357384
30208 14.75 0.0222549231084557 0.02225492253949 0.0222549234748717
30720 15 0.0224528555746917 0.0224528547171408 0.0224528560090958
31232 15.25 0.0226502806834996 0.0226502794673169 0.022650281187736
31744 15.5 0.0228472303037366 0.0228472286458416 0.0228472308706821
32256 15.75 0.0230436942556105 0.0230436920650108 0.0230436948688547
32768 16 0.0232395334747188 0.0232395307330319 0.0232395340231542
33280 16.25 0.0234343397689232 0.0234343364110308 0.0234343401145547
33792 16.5 0.0236276313089032 0.0236276272469165 0.0236276313629041
34304 16.75 0.0238189181117665 0.0238189132860163 0.0238189177921901
34816 17 0.0240078424369928 0.0240078367483187 0.0240078416326268
35328 17.25 0.0241942050031787 0.0241941982870612 0.0241942035689933
35840 17.5 0.0243778718556452 0.0243778638877837 0.0243778696198532
36352 17.75 0.0245589999452548 0.0245589907296087 0.0245589960422251
36864 18 0.0247397446110941 0.0247397345341909 0.0247397377519494
37376 18.25 0.0249205013410785 0.0249204902189221 0.0249204900132582
37888 18.5 0.025100642385309 0.0251006301205593 0.0251006261308542
38400 18.75 0.0252811171670202 0.0252811038935026 0.0252810978460667
38912 19 0.0254984372866972 0.0254984391733139 0.0254984395710763
39424 19.25 0.0257227119244491 0.0257227870540783 0.0257240875737897
39936 19.5 0.0259834088273409 0.0259835026227357 0.0259858557299905
40448 19.75 0.0262342146729992 0.0262343275112413 0.0262380533652349
40960 20 0.0264753064347146 0.0264754380091047 0.0264808862526006
41472 20.25 0.0267071782547305 0.0267073278992907 0.0267148396356365
41984 20.5 0.0269302587474093 0.0269304254899848 0.0269402607693833
42496 20.75 0.0271449257738285 0.0271451081973598 0.0271567446488636
43008 21 0.0273515746870488 0.0273517703745047 0.0273636946287096
43520 21.25 0.0275516500822512 0.0275518575548731 0.027563968006242
44032 21.5 0.0277472109401956 0.02774742823052 0.0277585158649151
