# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:39:58+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
# Run ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
19456 9.5 -0.0855689429825553 -0.0855689429824257 -0.0855689429817611
19968 9.75 -0.0874797255970978 -0.0874797255970362 -0.087479725596036
20480 10 -0.0893495084624047 -0.0893495084623735 -0.0893495084610673
20992 10.25 -0.0911786272706236 -0.0911786272706318 -0.0911786272689934
21504 10.5 -0.0929677313663962 -0.0929677313665259 -0.0929677313643191
22016 10.75 -0.0947896753995826 -0.0947896753995369 -0.0947896753967544
22528 11 -0.0965651572556969 -0.0965651572563774 -0.0965651572520761
23040 11.25 -0.0982591641855418 -0.0982591641866224 -0.0982591641807792
23552 11.5 -0.0998535564278339 -0.0998535564282164 -0.0998535564221534
24064 11.75 -0.101322485184322 -0.101322485184596 -0.10132248517937
24576 12 -0.102641182009938 -0.102641182012133 -0.102641182006692
25088 12.25 -0.103852156462383 -0.103852156458479 -0.103852156454662
25600 12.5 -0.105083290446394 -0.105083290437591 -0.105083290434941
26112 12.75 -0.106177510634061 -0.106177510631159 -0.106177510624247
26624 13 -0.107095548805629 -0.10709554881256 -0.107095548797985
27136 13.25 -0.107807049811085 -0.107807049800888 -0.107807049801728
27648 13.5 -0.108291991764461 -0.10829199169768 -0.108291991757269
28160 13.75 -0.108541060734219 -0.108541060616923 -0.108541060735052
28672 14 -0.108785916378427 -0.108785916288086 -0.108785916407551
29184 14.25 -0.108900692152078 -0.10890069206518 -0.108900692201852
29696 14.5 -0.108760924690523 -0.108760924601628 -0.108760924787871
30208 14.75 -0.108790809006667 -0.108790814001367 -0.108790816435726
30720 15 -0.109545519735289 -0.109545513795244 -0.10954567580737
31232 15.25 -0.110372585391923 -0.110372578143644 -0.11037310526791
31744 15.5 -0.111103218945237 -0.111103210731096 -0.11110440509563
32256 15.75 -0.111741765572074 -0.111741756812613 -0.111744030060974
32768 16 -0.112292726840968 -0.112292717993491 -0.112296603790122
33280 16.25 -0.11276068825656 -0.112760679732095 -0.112766853247174
33792 16.5 -0.113134553274214 -0.113134546482454 -0.113143964603852
34304 16.75 -0.113376060480987 -0.113376057907864 -0.113390008036697
34816 17 -0.113454343987652 -0.113454345357929 -0.113474440662682
35328 17.25 -0.1133282531402 -0.113328256319058 -0.1133558362704
35840 17.5 -0.112956974014818 -0.112956972075346 -0.112992753026456
36352 17.75 -0.112779429442271 -0.112786785257726 -0.112778304376413
36864 18 -0.112703916744152 -0.112715863814827 -0.112702744295085
37376 18.25 -0.113926257804488 -0.113905054367576 -0.113910807751501
37888 18.5 -0.11573786150613 -0.115718264830341 -0.115725894035783
38400 18.75 -0.117537050410334 -0.117519382836928 -0.117522394204976
38912 19 -0.119372454349988 -0.119359972042023 -0.119336132252952
39424 19.25 -0.11905346780285 -0.119048333976836 -0.120200232204675
39936 19.5 -0.119300371711966 -0.119296917409973 -0.119655948542979
40448 19.75 -0.121350334279913 -0.121347925234252 -0.121441853948631
40960 20 -0.123375280129441 -0.123373420490166 -0.123476016887959
41472 20.25 -0.125374921977832 -0.125373491907953 -0.12548450358072
41984 20.5 -0.127356390777378 -0.127345932324028 -0.127462331775028
42496 20.75 -0.129089914450504 -0.129067922213214 -0.129410213561515
43008 21 -0.131031129347239 -0.131038365181843 -0.131155495058158
43520 21.25 -0.133203878322681 -0.133210332684255 -0.133336970631652
44032 21.5 -0.135347706053088 -0.135353883272558 -0.135488056846032
44544 21.75 -0.137463819324028 -0.137471431233163 -0.137613832468463
45056 22 -0.139325385257723 -0.139334449000758 -0.139713390852172
45568 22.25 -0.138629255013466 -0.138641030680501 -0.139255807567608
46080 22.5 -0.139603607540977 -0.139652000145981 -0.139349725218503
46592 22.75 -0.141675407417938 -0.141717719977628 -0.141409612547138
47104 23 -0.143735693823235 -0.143772683323483 -0.143458312959469
47616 23.25 -0.145742420291043 -0.145815346037615 -0.145227246812012
48128 23.5 -0.147441713842526 -0.147556922930242 -0.146932842186905
48640 23.75 -0.149107353690421 -0.149231190162857 -0.148601283572112
49152 24 -0.150463566170807 -0.150869690578409 -0.150243057165795
49664 24.25 -0.149813728424455 -0.151611152103001 -0.150113783359841
50176 24.5 -0.151333204800286 -0.152330429820165 -0.150968419513943
50688 24.75 -0.152691350290674 -0.15390547946201 -0.152320664504499
51200 25 -0.153876402805711 -0.155294640456138 -0.153501654907344
51712 25.25 -0.154874992953106 -0.156483536365509 -0.154501047584134
52224 25.5 -0.15568401165297 -0.157460431230795 -0.155309776291621
52736 25.75 -0.155013300073356 -0.157960235235693 -0.155927722505883
53248 26 -0.152517849996416 -0.155719867059881 -0.153620690205333
53760 26.25 -0.150062084541054 -0.153219855804365 -0.151100591210327
54272 26.5 -0.147659445955903 -0.150739835361193 -0.148642467605849
54784 26.75 -0.145328707315998 -0.148305908205225 -0.146256025868295
55296 27 -0.143080743651441 -0.145935157929265 -0.143952336910155
55808 27.25 -0.140970594526123 -0.143638204200729 -0.141739921099773
56320 27.5 -0.138955823662457 -0.141421708511173 -0.139659791995291
56832 27.75 -0.137001927657178 -0.139287739233948 -0.137695168601081
57344 28 -0.135106735316103 -0.137230127514581 -0.135792866947199
57856 28.25 -0.133268067982963 -0.135243418425879 -0.133951406576776
58368 28.5 -0.131483705082372 -0.133322893448885 -0.132167839978487
58880 28.75 -0.129751189564153 -0.131464861296293 -0.130437303696721
59392 29 -0.128070126361556 -0.129667553279123 -0.128754884386865
59904 29.25 -0.126437435961902 -0.127926116318038 -0.127116491155502
60416 29.5 -0.124848500333144 -0.126234364334442 -0.1255195765213
60928 29.75 -0.123298547890691 -0.124587230295549 -0.123961908405149
61440 30 -0.121783474334249 -0.122980106522197 -0.122464505110575
61952 30.25 -0.120269950397101 -0.121377634780519 -0.123295417054117
62464 30.5 -0.121952363028454 -0.123130078794654 -0.123882735745529
62976 30.75 -0.123844506176361 -0.125029567739233 -0.125795579940291
63488 31 -0.125714459994727 -0.126905911003043 -0.127684765814286
64000 31.25 -0.127562738806731 -0.128757854409064 -0.129549151514662
64512 31.5 -0.129392302267859 -0.130585585430348 -0.13138688494184
65024 31.75 -0.131203110122034 -0.132392855201766 -0.133197542386786
65536 32 -0.132101985865425 -0.134180714442621 -0.134986216765102
66048 32.25 -0.131651543904541 -0.134233611287432 -0.13675516789381
66560 32.5 -0.131065880260099 -0.133587628457446 -0.136275866594904
67072 32.75 -0.130356009856012 -0.132808831691412 -0.135456315289433
67584 33 -0.12974533014982 -0.13206228746803 -0.134507222242199
68096 33.25 -0.131604637924058 -0.1339560858387 -0.135316548238507
68608 33.5 -0.133554435980317 -0.135918023307276 -0.137274867365778
69120 33.75 -0.135537420502053 -0.137904566802858 -0.13925991215547
69632 34 -0.137537528430074 -0.139905375009395 -0.141261539066963
70144 34.25 -0.139545955413151 -0.141908315133752 -0.143267173504285
70656 34.5 -0.140632308212297 -0.142960770218133 -0.144455815349074
71168 34.75 -0.141002046438876 -0.14327649146642 -0.144774529489659
71680 35 -0.141290347602115 -0.143508494595887 -0.14500885203342
72192 35.25 -0.14149275063564 -0.143650745449804 -0.145152673950982
72704 35.5 -0.141603472120727 -0.143697485166734 -0.145199860328865
73216 35.75 -0.141619249396788 -0.143644667380192 -0.145145960032509
73728 36 -0.141537439867882 -0.143490207050038 -0.144987276263278
74240 36.25 -0.141355264507555 -0.143231856362284 -0.144721972833008
74752 36.5 -0.141211098127673 -0.143685377582425 -0.144914716955267
75264 36.75 -0.142610511477499 -0.145032976838611 -0.146255446324093
75776 37 -0.14384901962714 -0.146214604556445 -0.147430806145671
76288 37.25 -0.144913806770503 -0.147216930843521 -0.148428097055536
76800 37.5 -0.145792854506194 -0.148028207621413 -0.14923388493089
77312 37.75 -0.146478300804758 -0.148640662613556 -0.149839473223576
77824 38 -0.14696280522061 -0.149045678527344 -0.150236503101812
78336 38.25 -0.147208639465392 -0.149200987521503 -0.150383867343958
78848 38.5 -0.147156453734078 -0.149046420531929 -0.150220631212327
79360 38.75 -0.146750335282749 -0.148525468936878 -0.149689619861601
79872 39 -0.145936379833915 -0.147582212004708 -0.148733245620216
80384 39.25 -0.144517932600033 -0.145420061809016 -0.146551534414531
80896 39.5 -0.141098398231151 -0.14185303194165 -0.142953464383916
81408 39.75 -0.137392119219695 -0.137994363714694 -0.139052347816649
81920 40 -0.133403919572277 -0.133847673773608 -0.13484928168808
82432 40.25 -0.129158450676815 -0.129441780480229 -0.130374497790244
82944 40.5 -0.124707045461218 -0.124833857703485 -0.12568831657937
83456 40.75 -0.120123174252808 -0.122838213290028 -0.120874573768644
83968 41 -0.11548571625606 -0.122378418834037 -0.116251587331667
84480 41.25 -0.112640749973079 -0.122913528066142 -0.115643025674656
84992 41.5 -0.111233128709983 -0.123855998500992 -0.115264171758402
85504 41.75 -0.111929560368237 -0.124699825058898 -0.114795333119298
86016 42 -0.113177192298113 -0.124909391790619 -0.114238274735172
86528 42.25 -0.113500631663685 -0.123413929987954 -0.11359535621526
87040 42.5 -0.113101583336048 -0.12174942532639 -0.113254033579652
87552 42.75 -0.113685360130154 -0.120301521252523 -0.113346890488277
88064 43 -0.11421865100336 -0.121477273332926 -0.113103293862146
88576 43.25 -0.114698720151341 -0.122594071996027 -0.113470830357948
89088 43.5 -0.115114746575815 -0.12366263022019 -0.113740258360256
89600 43.75 -0.115422926602682 -0.123830580301797 -0.114269301566194
90112 44 -0.115522361405811 -0.122695545419776 -0.114610651926581
90624 44.25 -0.116382953504056 -0.121440301129947 -0.114860569416237
91136 44.5 -0.117525524586568 -0.120088828247613 -0.115523098115565
91648 44.75 -0.117808398876372 -0.119978925955049 -0.115936745116429
92160 45 -0.118001870978096 -0.120186781648493 -0.116233224327802
92672 45.25 -0.118096928432606 -0.120278007649674 -0.1179964639974
93184 45.5 -0.118395169105578 -0.120239787743006 -0.118345582282747
93696 45.75 -0.119180257774303 -0.120075544573652 -0.119015854279331
94208 46 -0.118581442598055 -0.121475991241837 -0.120056941227788
94720 46.25 -0.118371353572928 -0.123404546080892 -0.121042053103126
95232 46.5 -0.118477831829824 -0.125090201827081 -0.121179715920552
95744 46.75 -0.118971934193473 -0.126575252226307 -0.122249671439713
96256 47 -0.120062904871595 -0.127395626913 -0.123011733159169
96768 47.25 -0.121906551762328 -0.127226566978019 -0.123476177885534
97280 47.5 -0.123740899664829 -0.126882524457331 -0.124204112894651
97792 47.75 -0.124771487395872 -0.126579264317833 -0.124411922522664
98304 48 -0.125397009490935 -0.126410762531363 -0.124354528701984
