# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:39:58+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
# Run ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.140799999169416
512 0.25 0.140716906031763
1024 0.5 0.140629618759032
1536 0.75 0.140539345387791
2048 1 0.140447900239934
2560 1.25 0.140357391820623
3072 1.5 0.14026968777122
3584 1.75 0.140186355093903
4096 2 0.140108528048866
4608 2.25 0.140036669433074
5120 2.5 0.139970664984624
5632 2.75 0.139908770034981
6144 3 0.139848545122108
6656 3.25 0.139789440253521
7168 3.5 0.139730959638738
7680 3.75 0.139672627061486
8192 4 0.139614000646553
8704 4.25 0.13955468265836
9216 4.5 0.139494313145116
9728 4.75 0.139432550852649
10240 5 0.139369057290375
10752 5.25 0.139303493663333
11264 5.5 0.139235535001078
11776 5.75 0.139164889952933
12288 6 0.139091309769758
12800 6.25 0.139014580491026
13312 6.5 0.138934505490808
13824 6.75 0.138850893445511
14336 7 0.138763563240441
14848 7.25 0.138672367493733
15360 7.5 0.138577213242783
15872 7.75 0.138478058956433
16384 8 0.13837488162121
16896 8.25 0.138267647466279
17408 8.5 0.138156296635839
17920 8.75 0.138040755486489
18432 9 0.137920683244732
18944 9.25 0.137794437618473
19456 9.5 0.137661685521955
19968 9.75 0.137522415734414
20480 10 0.137376619943683
20992 10.25 0.137224134658914
21504 10.5 0.137064844495191
22016 10.75 0.136898791701125
22528 11 0.136726203044455
23040 11.25 0.13654743328389
23552 11.5 0.136362863121547
24064 11.75 0.136172844587629
24576 12 0.135977722854957
25088 12.25 0.135777872140413
25600 12.5 0.135573695902814
26112 12.75 0.135365616803592
26624 13 0.135154080583979
27136 13.25 0.134939535699835
27648 13.5 0.134722369796865
28160 13.75 0.1345028726969
28672 14 0.134281280810017
29184 14.25 0.134057833571484
29696 14.5 0.133832752440786
30208 14.75 0.133606189471761
30720 15 0.13337824859492
31232 15.25 0.133149047688014
31744 15.5 0.132918701356117
32256 15.75 0.132687232893719
32768 16 0.132454550319792
33280 16.25 0.132220522633515
33792 16.5 0.131985042754248
34304 16.75 0.131748014238135
34816 17 0.131509331862513
35328 17.25 0.13126889988357
35840 17.5 0.131026628819481
36352 17.75 0.130782388903416
36864 18 0.130535999614558
37376 18.25 0.13028729203579
37888 18.5 0.130036165586627
38400 18.75 0.129782578427116
38912 19 0.129526501466489
39424 19.25 0.129267925395066
39936 19.5 0.129006852702612
40448 19.75 0.128743258130518
40960 20 0.12847710174773
41472 20.25 0.128208417132467
41984 20.5 0.12793737460022
42496 20.75 0.127664232418712
43008 21 0.127389228379521
43520 21.25 0.1271125284463
44032 21.5 0.126834272278281
44544 21.75 0.126554659528957
