# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:39:58+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
# Run ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 -1.14224555326721e-05 -1.14224555326919e-05 -1.14224555327115e-05
1024 0.5 -1.61058768275308e-05 -1.61058768275522e-05 -1.61058768274926e-05
1536 0.75 -1.74035900260331e-05 -1.7403590026059e-05 -1.7403590026003e-05
2048 1 -1.39101417399307e-05 -1.39101417398892e-05 -1.39101417398463e-05
2560 1.25 -1.21057958317231e-05 -1.21057958317514e-05 -1.21057958317787e-05
3072 1.5 -1.55722663694663e-05 -1.55722663693972e-05 -1.55722663692167e-05
3584 1.75 -2.13941462968864e-05 -2.13941462967361e-05 -2.13941462971135e-05
4096 2 -1.60074450474634e-05 -1.60074450473518e-05 -1.60074450480041e-05
4608 2.25 -1.81187247459145e-05 -1.81187247452363e-05 -1.81187247461667e-05
5120 2.5 -1.89062654425074e-05 -1.89062654416408e-05 -1.89062654387097e-05
5632 2.75 -9.9032008058202e-06 -9.90320080664479e-06 -9.90320080122793e-06
6144 3 -1.32505970910271e-05 -1.32505970860802e-05 -1.32505970921748e-05
6656 3.25 -1.36570384434378e-05 -1.36570384840029e-05 -1.36570384297892e-05
7168 3.5 -1.81526177608261e-05 -1.81526175209338e-05 -1.81526174747459e-05
7680 3.75 -1.43869771113283e-05 -1.4386976099676e-05 -1.4386975834953e-05
8192 4 -1.30545284674578e-05 -1.30545284307219e-05 -1.30545284108567e-05
8704 4.25 -1.26862057427161e-05 -1.26862057346234e-05 -1.26862057262596e-05
9216 4.5 -3.09318769853654e-05 -3.09318778812632e-05 -3.09318786276245e-05
9728 4.75 -2.90922116127581e-05 -2.90922119042492e-05 -2.90922125162807e-05
10240 5 -2.44420833940736e-05 -2.44420834152092e-05 -2.44420803647189e-05
10752 5.25 -2.34480465366394e-05 -2.34480514505404e-05 -2.34480484886733e-05
11264 5.5 -2.03240317096811e-05 -2.03240316369921e-05 -2.03240320758779e-05
11776 5.75 -3.01176204175825e-05 -3.01176106855302e-05 -3.01176113844352e-05
12288 6 -1.91996807933556e-05 -1.91996698297353e-05 -1.91996737005363e-05
12800 6.25 -2.67697113860004e-05 -2.67697008088353e-05 -2.67697107435843e-05
13312 6.5 -1.6333907914787e-05 -1.63338942326676e-05 -1.6333899503607e-05
13824 6.75 -1.28229772184437e-05 -1.28229826712346e-05 -1.2822973850496e-05
14336 7 -2.1402726911367e-05 -2.14027213988074e-05 -2.14027400250526e-05
14848 7.25 -1.31697947620895e-05 -1.31697944323873e-05 -1.31698064478088e-05
15360 7.5 -1.4842313524148e-05 -1.48423436258583e-05 -1.48423212640894e-05
15872 7.75 -1.39320987908733e-05 -1.39321303638189e-05 -1.39321190656137e-05
16384 8 -1.19958451452044e-05 -1.19958451490472e-05 -1.19958451486552e-05
16896 8.25 -1.64444641506836e-05 -1.644446416384e-05 -1.64444641563069e-05
17408 8.5 -2.10877866834475e-05 -2.1087786703743e-05 -2.10877866864016e-05
17920 8.75 -2.54502048463845e-05 -2.54502048658519e-05 -2.54502048420457e-05
18432 9 -3.00367288542025e-05 -3.00367288944623e-05 -3.00367288573937e-05
18944 9.25 -3.60740234859297e-05 -3.60740235026028e-05 -3.60740234859018e-05
19456 9.5 -3.78204768149964e-05 -3.78204767731363e-05 -3.78204768120995e-05
19968 9.75 -3.7723956412313e-05 -3.7723956345292e-05 -3.77239564273932e-05
20480 10 -3.93028966278176e-05 -3.93028966065308e-05 -3.93028966411139e-05
20992 10.25 -4.02306080335008e-05 -4.02306081000544e-05 -4.02306080327751e-05
21504 10.5 -4.03284900055437e-05 -4.0328490143054e-05 -4.0328489994448e-05
22016 10.75 -4.07937400739575e-05 -4.07937401549767e-05 -4.07937400201861e-05
22528 11 -4.63048119544959e-05 -4.63048122195895e-05 -4.63048119257952e-05
23040 11.25 -5.15628636341281e-05 -5.15628639570863e-05 -5.15628636581855e-05
23552 11.5 -5.6030986296326e-05 -5.60309865823063e-05 -5.60309863794064e-05
24064 11.75 -5.90265687811219e-05 -5.90265690531284e-05 -5.90265688748917e-05
24576 12 -5.95344020488605e-05 -5.95344023747964e-05 -5.95344020207342e-05
25088 12.25 -5.72177918192525e-05 -5.72177922500077e-05 -5.72177916134605e-05
25600 12.5 -5.30502507478718e-05 -5.30502514611286e-05 -5.3050250725326e-05
26112 12.75 -4.80759343746619e-05 -4.80759351070029e-05 -4.80759345776197e-05
26624 13 -4.71921161047492e-05 -4.71921163608202e-05 -4.71921161262696e-05
27136 13.25 -4.65172141511625e-05 -4.65172164046324e-05 -4.65172152691625e-05
27648 13.5 -4.64776257330912e-05 -4.64776280919087e-05 -4.64776272240229e-05
28160 13.75 -4.72149054451478e-05 -4.72149046757397e-05 -4.72149052454157e-05
28672 14 -4.77910611351796e-05 -4.77910574433715e-05 -4.77910584351056e-05
29184 14.25 -4.6893982187669e-05 -4.68939793551713e-05 -4.68939794621118e-05
29696 14.5 -4.42945580023044e-05 -4.42945576082102e-05 -4.42945593755507e-05
30208 14.75 -4.16616405462525e-05 -4.16616271392134e-05 -4.16616354322311e-05
30720 15 -3.97621689531037e-05 -3.97621609006905e-05 -3.97621729414121e-05
31232 15.25 -3.88560974093572e-05 -3.88560852116728e-05 -3.8856094201339e-05
31744 15.5 -4.01399671888297e-05 -4.01399405930771e-05 -4.01399731941391e-05
32256 15.75 -4.06303151579981e-05 -4.06303173854759e-05 -4.06303182487829e-05
32768 16 -4.02554407588454e-05 -4.02555278174267e-05 -4.02554263227305e-05
33280 16.25 -3.85456307758102e-05 -3.85457852937207e-05 -3.85456125294831e-05
33792 16.5 -3.48255808483805e-05 -3.48256533281756e-05 -3.48255808416589e-05
34304 16.75 -3.42902642017882e-05 -3.42900281536294e-05 -3.42902523076343e-05
34816 17 -3.34304364673225e-05 -3.34302254623466e-05 -3.34304484474079e-05
35328 17.25 -3.0989128143117e-05 -3.09896265190468e-05 -3.09892404061262e-05
35840 17.5 -3.19416730346646e-05 -3.19423237699538e-05 -3.19417162246241e-05
36352 17.75 -3.05445602431707e-05 -3.05444206563627e-05 -3.05445117643248e-05
36864 18 -3.13084796517836e-05 -3.13084715234311e-05 -3.13082897055471e-05
37376 18.25 -3.16153762603066e-05 -3.16151464573766e-05 -3.16152870249562e-05
37888 18.5 -2.77575060534364e-05 -2.77572982095198e-05 -2.77574291430595e-05
38400 18.75 -2.7350104648574e-05 -2.73497006134015e-05 -2.73500621261725e-05
38912 19 -2.63864421325167e-05 -2.63866528015368e-05 -2.63865245486922e-05
39424 19.25 -3.0317183594451e-05 -3.03171148167967e-05 -3.03171837780753e-05
39936 19.5 -3.05412720725095e-05 -3.05410766841168e-05 -3.05412910713293e-05
40448 19.75 -2.65941232707937e-05 -2.65941860107225e-05 -2.65941163362749e-05
40960 20 -2.53412032136352e-05 -2.53412495128561e-05 -2.53412101194908e-05
41472 20.25 -2.68553127841205e-05 -2.68567311160255e-05 -2.68550473467334e-05
41984 20.5 -2.59410889586275e-05 -2.59410819611801e-05 -2.59410758788004e-05
42496 20.75 -2.56306787712573e-05 -2.56309986730134e-05 -2.56304302651656e-05
43008 21 -2.51526011297484e-05 -2.51527713085646e-05 -2.51519872363342e-05
43520 21.25 -2.48398496736676e-05 -2.48281951697146e-05 -2.48309363492046e-05
44032 21.5 -2.49104847911323e-05 -2.49105493994849e-05 -2.49108293203518e-05
44544 21.75 -2.53963731393531e-05 -2.53952971480202e-05 -2.53961884046215e-05
45056 22 -2.5841182745681e-05 -2.5838338037072e-05 -2.58396325152772e-05
45568 22.25 -2.38774265277354e-05 -2.38729164360457e-05 -2.38738628462045e-05
46080 22.5 -2.52825211165384e-05 -2.52977794136689e-05 -2.5304428649502e-05
46592 22.75 -2.39226130895208e-05 -2.39434107076678e-05 -2.39553903196347e-05
47104 23 -2.16799059738339e-05 -2.16839886690111e-05 -2.16819183597764e-05
47616 23.25 -2.13111309276578e-05 -2.13081474051425e-05 -2.13087565410269e-05
48128 23.5 -2.18134751319676e-05 -2.18153248740784e-05 -2.18153657631763e-05
48640 23.75 -2.28656938351007e-05 -2.28690127884543e-05 -2.28707392958131e-05
49152 24 -2.47697418801834e-05 -2.47690298673367e-05 -2.47737592962127e-05
49664 24.25 -2.15353376181591e-05 -2.15291145215906e-05 -2.1533835856376e-05
50176 24.5 -1.65278909238677e-05 -1.6531378806934e-05 -1.65282169456065e-05
50688 24.75 -1.74979008538305e-05 -1.74989544139671e-05 -1.7498384394958e-05
51200 25 -1.93960066917464e-05 -1.93969372282706e-05 -1.9396520367035e-05
51712 25.25 -1.89155827623943e-05 -1.89179309767874e-05 -1.89173120992059e-05
52224 25.5 -2.00926636102907e-05 -2.00924441016012e-05 -2.00927076093511e-05
52736 25.75 -2.16672525816506e-05 -2.16670873537062e-05 -2.16672716834852e-05
53248 26 -2.01363277640282e-05 -2.01363180919709e-05 -2.01364351968816e-05
53760 26.25 -1.95637495281238e-05 -1.95634949545693e-05 -1.9563710030623e-05
54272 26.5 -1.84162506961802e-05 -1.84161356482621e-05 -1.84162716584502e-05
54784 26.75 -1.68507661393299e-05 -1.68510983341817e-05 -1.68515887527614e-05
55296 27 -1.72048741795838e-05 -1.72052264565111e-05 -1.72053737018477e-05
55808 27.25 -1.74854662643257e-05 -1.74859009019579e-05 -1.74859764712301e-05
56320 27.5 -1.75437221733674e-05 -1.75445728146646e-05 -1.75438016323735e-05
56832 27.75 -1.82675334356884e-05 -1.82673778013779e-05 -1.82671783917479e-05
57344 28 -1.86260261510619e-05 -1.86245049857905e-05 -1.86247276940523e-05
57856 28.25 -1.87801260875042e-05 -1.87772059315547e-05 -1.87775639567197e-05
